lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
день	NN	example	22	22_день_10052		Номенклатурный рой(брежневский) повсюду в эти дни опускался сильно пониже, однако же и пониже они находили на запах травку и какие-никакие цветочки, в которые можно сунуть свои нежно выдроченные хоботки, а там и понюхать, подсосать кой-какой нектар за счет старых связей и связишек.	46:49	0:282
день	NN	example	22	22_день_371123		А за дачу рук сказано такое наказание: какая деревня даст руки на согласие чиновника или своим помещикам, так от синода будет велено семь лет там не крестить, семь лет не венчать и по семи дней не хоронить каждого мертвого, чтоб даже издали всем пахло, как душегубное село.	5:9	0:273
день	NN	example	22	22_день_307526		Прекрасная до сих пор погода, способствовавшая артиллерийской подготовке, со вчерашнего дня, к сожалению, испортилась.	88:91	0:118
день	NN	example	22	22_день_293237		Общевойсковым начальникам иметь в виду, что на разведку и пристрелку ДЗОТ потребно от одного до трех дней.	93:95	0:106
день	NN	example	22	22_день_2379		Это письмо, полученное мной по электронной почте, насколько я знаю, не первый день ходит по Интернету.	78:82	0:102
день	NN	example	22	22_день_46669		Приходилось ли топать на детализацию аномалии в дождливый день или ходить в маршруты в самое комариное время,-- он не роптал и не уклонялся.	58:62	0:140
день	NN	example	22	22_день_92637		Последний день, учиться лень.	10:14	0:29
день	NN	example	22	22_день_325873		Уже короче стали дни, пошли дожди, и падали с деревьев пожелтевшие листья.	17:20	0:74
день	NN	example	22	22_день_441040		Третий пост учрежден во имя святых апостолов Петра и Павла; начинается на первой неделе после Пятидесятницы и оканчивается в день святого Петра.	125:129	0:144
день	NN	example	22	22_день_275664		Днем взял 17 вещей с моей разгромленной выставки.	0:4	0:49
день	NN	example	22	22_день_163468		7 Если съесть ее на третий день, то жертва не будет угодной, это-- порченое мясо.	27:31	0:81
день	NN	example	22	22_день_120496		Такая композиция составляется всего за 15 минут, а простоит не менее 10 дней!	72:76	0:77
день	NN	example	22	22_день_297521		-- Дубье внизу лежит, такое дубье на дне, прямо столетнее…	37:40	0:58
день	NN	example	22	22_день_214358		Когда она была уже на дне, она услышала: об пол шлепнули босые ноги.	22:25	0:68
день	NN	example	22	22_день_283248		В ближайшие дни положение еще осложнилось событиями в Москве.	12:15	0:61
день	NN	example	22	22_день_233528		За обедом тетя Даша потребовала, чтобы ей было рассказано все, начиная с того дня и часа, когда мы пять лет тому назад расстались с нею на Энском вокзале.	78:81	0:154
день	NN	example	22	22_день_353011		Я рассказала подробно Хвостикову, что знала, и вздумала было сделать днем репетицию тем прекрасным действиям, какие представляли мы по ночам в доме Премудрости; но Хвостиков в сем случае оказался ниже даже самого Скорпиона.	69:73	0:223
день	NN	example	22	22_день_248958		Однако, через день, не заезжая в Севастополь, он вернулся в Ялту.	14:18	0:65
день	NN	example	22	22_день_57776		В нем боролись два одинаково сильных чувства: досады оттого, что попался сегодня в парке, как двоечник за списыванием на годовой контрольной(не иначе, черти их всех в этот дурацкий парк понесли среди дня!), и злости за испорченную машину(джип-то при чем, елки-палки!).	77:80	0:268
день	NN	example	22	22_день_143463		Бюстик я по три дня ношу, а трусы(пардон за подробности)каждый день меняю, значит надо к каждому бюстику минимум по 3 пары одинаковых трусов покупать, если придерживаться правила?	63:67	0:179
день	NN	example	22	22_день_116426		-- 120 лет со дня рождения(14 апреля 1884 г.) Оскара Антоновича Вальтера-- физиолога растений, д-ра биол. наук(ученая степень присуждена по совокупности работ).	14:17	0:160
день	NN	example	22	22_день_300032		Этот день приходился на субботу, и я остался дома, потому что думал, что в кабаре будет слишком много публики.	5:9	0:110
день	NN	example	22	22_день_157813		Позднее идея собственно«поколений» стала отходить на задний план, но сама концепция дожила до сегодняшних дней.	84:86	0:111
день	NN	example	22	22_день_397029		В Петербурге Екатерина заложила Исаакиевский собор(день праздника преподобного Исаакия был днем рождения Петра I; собор окончен при Александре II).	51:55	0:147
день	NN	example	22	22_день_276758		30 апреля 1942 года 313-й день войны	26:30	0:36
день	NN	example	22	22_день_308778		Был морозный, ясный день.	20:24	0:25
день	NN	example	22	22_день_232624		Ровно 13 лет со дня смерти Марии Борисовны.	16:19	0:43
день	NN	example	22	22_день_76674		Уголовники считали, что главное— перейти границу, а там каждый человек будет сам себе хозяин и каждый захваченный город будут отдавать на три дня.	142:145	0:146
день	NN	example	22	22_день_314750		Еще ночь впереди и день!	19:23	0:24
день	NN	example	22	22_день_209302		За четыре дня, которые я провел в Ясной, я мало видел Л. H., так как он лежит в постели, почти не вставая, и еще очень слаб, но все время общался с ним, читая и переписывая неизвестные мне его письма и новую статью«Единственное средство».	10:13	0:238
день	NN	example	22	22_день_299094		На днях будет.	3:7	0:14
день	NN	example	22	22_день_87068		Если не жечься куцыми экономическими потребностями дня, а создавать для наших детей страну с чистым воздухом и чистыми водами, придется отказаться от многих видов промышленного производства с ядовитыми отходами.	51:54	0:211
день	NN	example	22	22_день_89874		Строгое черное платье с высоким воротником, такое не подходящее для дальней дороги, напоминало ей далекие счастливые дни.	117:120	0:121
день	NN	example	22	22_день_420968		Путь из Багдада в Xит и Дамаск(Шам), чрез Казимейн, вдоль Мидийской стены, до половины ее протяжения на полтора дня езды арабского всадника.	112:115	0:140
день	NN	example	22	22_день_265498		На-днях через Вильну проехал эвакуированный из варшавского лазарета доброволец Р. Гордон, 49 лет.	3:7	0:97
