lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
часть	NN	example	22	22_часть_144443		Последнюю составляет его биография, другим, т. е. не Вашингтоном писанная, а 11 частей все Вашингтоновы сочинения.	80:86	0:114
часть	NN	example	22	22_часть_170971		— Частью в амбаре сложены, частью здесь.	27:33	0:40
часть	NN	example	22	22_часть_117310		Испытываемая часть помещалась на конце особой палочки в самой середине струи ветра в комнате испытаний.	13:18	0:103
часть	NN	example	22	22_часть_66294		В западной части Судакского залива на глубине 11 метров найдены были россыпи керамики.	11:16	0:86
часть	NN	example	22	22_часть_61699		В этот день в химической аудитории Петербургского университета собралась небольшая группа ученых во главе с Д.И. Менделеевым и основала с целью«содействовать успехам всех частей химии и распространению химических знаний» Русское химическое общество.	171:177	0:249
часть	NN	example	22	22_часть_120317		Один из них, принадлежавший Н.С. Тихонравову и ныне хранящийся в Москве, в Государственной библиотеке СССР имени Ленина, судя по совпадению соответствующих частей его текста с выписками Карамзина из списка XVI в., тождествен с ним по редакции; другой, открытый А.Н. Пыпиным и хранящийся в Ленинграде, в Погодинском собрании Публичной библиотеки РСФСР имени Салтыкова-Щедрина, представляет собой позднейшую русифицированную редакцию старого перевода, отразившего в себе элементы устной поэтической традиции.	156:162	0:506
часть	NN	example	22	22_часть_14226		Он свернул на боковую улочку, уводящую в сторону Худерии, заглянул в два-три заведения, где над баром висели все те же, подвешенные за волосатые копытца, части свиных туш(дались же они тебе!); наконец, в полуподвале углового дома на крошечной площади против Паласио де Фуэнсалида обнаружил то, что требовалось: небольшой опрятный кафетерий.	154:159	0:340
часть	NN	example	22	22_часть_175747		Войдя во второй кварталъ Трои, мы приходимъ въ самыя интересныя части ея...	64:69	0:75
часть	NN	example	22	22_часть_130960		Чернов дѣлает поправку(то же утвержденіе найдем мы и в воспоминаніях Гучкова): войсковую часть можно было отыскать на фронтѣ, но посылка ея не достигла бы цѣли, ибо войска, приходившія в Петербург, переходили на сторону народа.	89:94	0:227
часть	NN	example	22	22_часть_141432		Затем приступили к конкретной части.	30:35	0:36
часть	NN	example	22	22_часть_13290		В числе причин этого отметим, что военные расходы Японки составляют одну шестую или одну пятую часть английских, французских и западногерманских, одну десятую часть американских и лишь одну треть итальянских.	95:100	0:208
часть	NN	example	22	22_часть_146904		Гости-литераторы, из особенной благосклонности ко мне, вызвались, по предложению Василия Андреевича Жуковского, подарить меня на новоселье каждый своим произведением, и вот дары коих часть издаю ныне...»	183:188	0:203
часть	NN	example	22	22_часть_110153		Большею частью весь похищенный товар продавался барышникам Семену Жорину и Ивану Орлову.	8:14	0:88
часть	NN	example	22	22_часть_153992		Надеюсь, Вы не откажете мне, почтеннейший друг Александр Васильевич, отобедать в среду, то есть послезавтра(в 41/2 ч.), в кругу добрых приятелей Тургенева, Боткина, Майковых, Краевского etc. etc.	31:32	0:195
