lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
жена	NN	example	22	22_жена_111752		-- Какая вина?-- сказала жена после долгого молчания, глядя на меня красными, блестящими от слез глазами.	25:29	0:105
жена	NN	example	22	22_жена_46144		Так же любовь, или еще одна ее форма,-- это и отношение капитана к жене, без капли осуждения, без тени ревности, в принятии любого ее жеста, любого ее желания, в способности всегда встать на ее защиту от молвы и сплетен.	67:71	0:220
жена	NN	example	22	22_жена_123312		Николай Ивановичъ взглянулъ вопросительно на жену и сказалъ по-русски:	45:49	0:70
жена	NN	example	22	22_жена_105285		Явно, что я, не добившись толку в московском сенате, ездил с Василием Петровичем в Петербург, а затем, воротившись в Москву, остановился на зиму в доме Петра Петровича на Маросейке, по-прежнему во флигеле, куда подъехала и жена.	223:227	0:228
жена	NN	example	22	22_жена_43932		Потому что я-- Великая Мудрая Страшная Жена с колотушкой.	39:43	0:57
жена	NN	example	22	22_жена_105065		Жена рыдала на коленях у кровати возле покойника; добрый, милый молодой человек из университетских товарищей, ходивший последнее время за ним, суетился, отодвигал стол с лекарствами, поднимал сторы... я вышел вон, на дворе было морозно и светло, восходящее солнце ярко светило на снег, точно будто сделалось что-нибудь хорошее; я отправился заказывать гроб.	0:4	0:357
жена	NN	example	22	22_жена_116956		Самъ же феодалъ, памятуя о рыцарскомъ отношеніи къ женщинѣ, билъ кулаками жену капитана Жуковскаго....	74:78	0:102
жена	NN	example	22	22_жена_39201		-- Где находится Занзибар?-- спросил меня предатель и злодей Антон, человек, чьей женой я должна была стать через несколько минут.	82:87	0:130
жена	NN	example	22	22_жена_117431		-- А! это дело другое, теперь понимаю; вы говорили: жена с детьми, я думал, что ваша собственная; но выходит, что не ваша, а просто жена с детьми, вместе с которой вы держите стол, вместе приходы и расходы, так?	52:56	0:211
жена	NN	example	22	22_жена_44225		И даже когда у нас со свекровью заход о ней речь, то это о том, какая она хорошая хозяйка(кстати в отличии от меня), какая она заботливая жена и другое хорошее.	138:142	0:160
жена	NN	example	22	22_жена_95986		Жена его еще счастливее.	0:4	0:24
жена	NN	example	22	22_жена_14837		Он едет с женой в открытой машине, а мимо идут танки, на маневры следуют.	10:15	0:73
жена	NN	example	22	22_жена_125244		Зная же, что сей последний оставил в своих улусах только жен, детей и старцев, Иоанн велел крымскому царевичу Нордоулату и воеводе звенигородскому, князю Василью Ноздреватому, с небольшим отрядом сесть на суда и плыть туда Волгою, чтобы разгромить беззащитную Орду или по крайней мере устрашить хана.	57:60	0:300
жена	NN	example	22	22_жена_55264		Оба были раскрасневшиеся-- жена злая как черт, а ребенок испуган до истерики.	27:31	0:77
жена	NN	example	22	22_жена_108255		Въ срединѣ дня я собрался выйти изъ дома, имѣя въ виду смутное желаніе побывать въ тѣхъ мѣстахъ, гдѣ жила моя жена,-- наканунѣ я получилъ о ней кое какія свѣдѣнія, которыя въ сущности и были причиной моего дурного настроенія.	110:114	0:225
жена	NN	example	22	22_жена_70925		Я с женой принялись немедленно хлопотать и нам удалось устроить несчастного в лучший госпиталь.	4:9	0:95
жена	NN	example	22	22_жена_110396		Они, говорят, зарезали его жену, а он говорит, что он сам зарезал; ведь это неправда, неправда?	27:31	0:95
жена	NN	example	22	22_жена_45857		Не у всякого жена Елена Боннэр, а кому Бог даст.	13:17	0:48
жена	NN	example	22	22_жена_73272		От первой жены у него было 24 ребенка; после ее смерти он женился снова и от второй жены имел 11 детей.	10:14	0:103
жена	NN	example	22	22_жена_95265		«Жена Анфиза и дети: Влас, Раиса и Лидия!	1:5	0:41
жена	NN	example	22	22_жена_124740		Ну, ну, теперь посудите сами,-- ну, ведь вы знаете мою жену, ведь это, это, это... наконец, ангел!..	55:59	0:100
жена	NN	example	22	22_жена_101332		Ты, говорит, бежишь жаловаться в волость на мужа, а ты на жену; наказывают вас и усмиряют, а лучше вам от этого не будет!	58:62	0:121
жена	NN	example	22	22_жена_88001		Увы! он любил их-- своих жен, и гордых и смиренных,-- лишь за их одежды.	25:28	0:72
жена	NN	example	22	22_жена_82638		Только Айлыпу хоть бы что-- спит себе, похрапывает и сон видит, будто подъезжает он к своему кошу, а из коша его жена Золотой Волос навстречу выходит.	113:117	0:150
жена	NN	example	22	22_жена_55095		Но Ирка не любила бывать у жены помощника.	27:31	0:42
жена	NN	example	22	22_жена_73940		Стучавший отозвался жене Бурова, что принес письмо.	20:24	0:51
жена	NN	example	22	22_жена_84399		Твоя жена в больнице; сутки, может быть, но не более...	5:9	0:55
жена	NN	example	22	22_жена_67520		Ушла раз жена в гости, я в переднем углу сижу-- вспомнился мне тут профессор Николаев, пожалел я ихнее дешевое пребывание, про фронт вспомнил, а здесь будто качнуло меня чуть-чуть, как будто чемодан немецкий ляпнул за плечью.	9:13	0:225
жена	NN	example	22	22_жена_110904		Он ничего не распознал ни в голосе, ни в выражении лица жены.	56:60	0:61
жена	NN	example	22	22_жена_25557		-- Но раз до нашего времени, через семь с половиной веков, сквозь грандиозные события истории дошло то предание о любви прекрасного витязя и его жены, значит, воистину была их любовь, как у сокола с соколицей…	145:149	0:209
жена	NN	example	22	22_жена_36246		Но его забрала жена…	15:19	0:20
жена	NN	example	22	22_жена_18311		-- Да, эта морщинка чертовски идет тебе,-- устало сказал он жене, когда кисть в конце концов все-таки выпала из руки.	60:64	0:117
жена	NN	example	22	22_жена_18308		Она полетела к бывшему застенчивому Кролику, и он вышел к ней с женой и детьми-- их было у него уже трое.	64:69	0:105
жена	NN	example	22	22_жена_69972		И это только потому, что жена президента оказалась якобы неприлично тощей.	25:29	0:74
