lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
слово	NN	example	22	22_слово_119811		Некоторые слова нужно пояснить.	10:15	0:31
слово	NN	example	22	22_слово_132425		Что касается статей о Галиче(Максимов, Плющ...), то в них та«тональность», присущая всему, что пишут«третьи», которая все-таки всегда отдает пропагандой, нажатой педалью Между тем как ясно, что Набоков-- явление исключительное во всех смыслах этого слова и что именно исключительность его следовало бы попытаться понять и объяснить-- себе в первую очередь.	249:254	0:356
слово	NN	example	22	22_слово_217572		Это-- слова вызова на смертный бой, насмешки, презрения, кидаемые в лицо крадущемуся в густой траве врагу.	6:11	0:106
слово	NN	example	22	22_слово_215916		«Пусть только не забывают они, однако,-- прибавлял он,-- что центр тяжести в русской земле-- русский народ и что слияние с этой силой, а, следовательно, и образование крепкого земства-- может быть достигнуто не внешним наружным способом, а через сближение в духе, через единение нравственное, в общих началах народной жизни, и зависит-- повторим слова наши-- преимущественно от общества, от успехов в нем-- русского самосознания»3.	346:351	0:431
слово	NN	example	22	22_слово_35594		В общем, слово это оказалось неудобным для парадов и проявления народных восторгов.	9:14	0:83
слово	NN	example	22	22_слово_231834		Вот в этой-то именно точке, где животное получает дар слова, и происходит отталкивание друг от друга Аксюши с Л. Аксюша подозревает в Л. какую-то для нее непонятную мысль: не затверженную мысль, а мысль свою собственную, которую от себя, как высший дар свой, человек прикладывает к той установленной, собранной веками мысли.	54:59	0:324
слово	NN	example	22	22_слово_266608		И вот с высоты трона раздаются приснопамятные слова царя-народолюбца:«Не ждите ни передела земель, ни новой нарезки.	46:51	0:116
слово	NN	example	22	22_слово_333148		«Постой, голубчик!» закричал кузнец:«а вот это как тебе покажется?» При сем слове он сотворил крест, и чорт сделался так тих, как ягненок.	76:81	0:138
слово	NN	example	22	22_слово_132038		Идеалы справедливости, братства, свободы, самоотверженного служения, вера в конечную победу добра и ценность человеческой личности-- словом, все, что противостоит тирании, лжи и насилию, черпает, пусть и бессознательно, живую воду из евангельского родника.	133:139	0:256
слово	NN	example	22	22_слово_186640		Пусть четко распределит их по стилям, ибо каждое слово имеет свой стиль-- то сентиментальный, то пышно-торжественный, то юмористический, то деловой.	49:54	0:148
слово	NN	example	22	22_слово_9973		Мне случалось слышать в свой адрес резкие слова, особенно во время первой встречи в Израиле.	42:47	0:92
слово	NN	example	22	22_слово_132236		Каким образом исполнить слова, обращенные ко мне:«вы же свидетели сему»!?	24:29	0:73
слово	NN	example	22	22_слово_121455		Обоснование такого решения сводится к следующему: род существительного определяется по форме согласованного с ним слова; во мн. числе согласуемые слова родов не различают; pluralia tantum имеют только мн. число, следовательно, их род определить нельзя.	114:119	0:252
слово	NN	example	22	22_слово_176894		Кратко сообщили об этом в газетах-- и верь на слово!	46:51	0:52
слово	NN	example	22	22_слово_52269		Не говоря ни слова, мы спустились с крыльца и медленно зашагали в Курбу.	13:18	0:72
слово	NN	example	22	22_слово_258760		-- Нужно прекратить смятение в царских палатах,-- внушал своим товарищам выборный стрелец Кузьма Чермный, и словам его начали вторить сторонники его: Борис Одинцов, Цыклер и Обросим Петров, полагая, что в этом случае необходимо участие стрельцов и заступничество за царя Ивана и царевен.	108:114	0:287
слово	NN	example	22	22_слово_286975		Она говорила при мне в самых обидных выражениях о судьбе этого пола: женщина, по ее мнению, должна родиться, жить и умереть в рабстве; что вечная неволя, тягостная зависимость и всякого рода угнетение есть ее доля от колыбели до могилы; что она исполнена слабостей, лишена всех совершенств и не способна ни к чему; что, одним словом, женщина самое несчастное, самое ничтожное и самое презренное творение в свете!	326:332	0:412
слово	NN	example	22	22_слово_318662		Слово«евангелие»-- греческое, оно означает«благовестие», т.е. добрая и радостная весть.	0:5	0:87
слово	NN	example	22	22_слово_244283		Сначала рассказ его был сбивчив, но затем он поуспокоился и передал Якову Савельичу со всеми подробностями о подслушанных им на огороде словах матери, и о двух убитых монахах, и о чудовищах, и о том, как он, кажется, видел мать над обрывом в коляске незнакомца и как выслеживал чудовищ.	136:142	0:286
слово	NN	example	22	22_слово_128555		Эллипсис С2 означает здесь снятие слова«тот»: Которых имел воинов, прислал.	34:39	0:75
слово	NN	example	22	22_слово_53685		Слово«совесть» в данном случае есть конечная инстанция объяснения.	0:5	0:66
слово	NN	example	22	22_слово_184043		Ведь не в Сережиных словах правда?..	20:26	0:36
слово	NN	example	22	22_слово_276924		С этими словами Дюбуа взял пакет и, прежде, нежели изумленный Мишо мог что-нибудь выговорить, он вышел из ворот и был далеко на улице.	8:15	0:134
слово	NN	example	22	22_слово_149964		Ей подошло бы слово«отсутствие», если под отсутствием понимать текучее состояние, в котором присутствующее рассеивается, а отсутствие возвещает-- но что?	14:19	0:153
слово	NN	example	22	22_слово_294145		Но одна способность говорить сама по себе не дает еще способности разумно обращаться со словом.	88:94	0:95
слово	NN	example	22	22_слово_326454		Ищите за словом его содержание.	9:15	0:31
слово	NN	example	22	22_слово_329961		Теперь я понимаю каждый взгляд, каждое слово, каждое движение!	39:44	0:62
слово	NN	example	22	22_слово_196382		Но удивительно, что не знали таких слов ни рабочие, сидевшие рядом и слушавшие молча, пряча губы в густые, спутанные бороды свои, ни тот, образованного вида, ясноглазый.	35:39	0:169
слово	NN	example	22	22_слово_240598		На арену вышел Али-египтянин и стал хриплым голосом выкрикивать смешные слова с сильным кавказским акцентом.	72:77	0:108
слово	NN	example	22	22_слово_40360		Бобриска день и ночь талдычила-талдычила слова эти нерусские-- не лезут они в голову, хоть ты лопни.	41:46	0:100
слово	NN	example	22	22_слово_76188		Напр[имер], нужно свести как-то слово“мертвечина” в том почти смысле, как употребил его Маяковский:“ненавижу всяческую мертвечину”,-- т.е. в смысле чего-то мёртвенного, отживающего или имеющего быть изжитым, с чем“человечество расстаётся смеясь”.	32:37	0:246
слово	NN	example	22	22_слово_250279		Долго и непонятно говорил старик Грязнов, ходил вокруг да около, кидал увертливые, лисьи петли слов, видимо, боясь проговориться.	95:99	0:129
слово	NN	example	22	22_слово_135256		Слово стало плотью, как говорит евангелист Иоанн(Ин 1:14), вся полнота Божества обитала в Нем телесно(Кол 2:9).	0:5	0:111
слово	NN	example	22	22_слово_45185		В своей статье«Слово композитора-песенника» он пишет:	15:20	0:53
слово	NN	example	22	22_слово_171503		Вероятно, от солнца-- у Диди в висках стучало, и, вероятно, от солнца-- О'Келли с трудом подыскивал слова.	100:105	0:106
