lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
отношение	NN	example	22	22_отношение_48611		В среде интернет-ресурсов наблюдается другая тенденция: происходит формирование информационной элиты, либо ее еще называют«новая элита», которая объективно к государственной власти может и не иметь отношения.	198:207	0:208
отношение	NN	example	22	22_отношение_32475		Следует сказать, что существуют и иные точки зрения в отношении применения электронно-цифровой подписи в суде.	54:63	0:110
отношение	NN	example	22	22_отношение_31920		Сейчас у нас с братом прекрасные отношения, мы дружны, часто встречаемся.	33:42	0:73
отношение	NN	example	22	22_отношение_79495		Те же люди, что клеветали на Царя, стараясь снять с Него величие Царского сана и печатанием гнусных сплетней, чужих писем хотят вытравить из народной души величие символа«За Веру, Царя и Отечество», также всячески старались зачернить отношения между солдатом и офицером.	234:243	0:270
отношение	NN	example	22	22_отношение_15403		Отношения завязались почти приятельские.	0:9	0:40
отношение	NN	example	22	22_отношение_789		Дело не только в табачных акцизах, сомнению подвергается сама система межбюджетных отношений, где господствовать по-прежнему собирается федеральный центр.	83:92	0:154
отношение	NN	example	22	22_отношение_21574		-- Но я категорически против слишком... тесных отношений врач-- пациент в рабочее время на рабочем месте.	47:56	0:105
отношение	NN	example	22	22_отношение_103320		энергичной политики государства в отношении переселений и превращения неудобных земель в удобные;	34:43	0:97
отношение	NN	example	22	22_отношение_70843		О«сложном пути автора» или-- значительно сужая тему-- о его«непростой журнальной судьбе» принято говорить в отношении поэтов, присутствующих в литературе давно.	108:117	0:160
отношение	NN	example	22	22_отношение_45750		Любимая, дорогая моя сестричка, если бы ты знала, как мне не хватает тебя сейчас, понимаешь, так хочется нормальных человеческих отношений.	129:138	0:139
отношение	NN	example	22	22_отношение_59206		Его отношения с Соловьевым не могут сложиться беспроблемно.	4:13	0:59
отношение	NN	example	22	22_отношение_97233		Одновременно в Москве и Петербурге заводчики и фабриканты собрались на экстренные совещания, чтобы выяснить, какой тактики держаться им по отношению к рабочим, как предотвратить дальнейшее развитие забастовочного движения.	139:148	0:222
отношение	NN	example	22	22_отношение_43801		Солонина и сушеные продукты в этом отношении не могли помочь ничем.	35:44	0:67
отношение	NN	example	22	22_отношение_23306		Прежде всего-- отношение к искусству прошлого.	15:24	0:46
отношение	NN	example	22	22_отношение_7008		На ипподроме не появляется, не хочет засвечивать свои отношения с ипподромным воротилой.	54:63	0:88
