lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ребенок	NN	example	22	22_ребенок_148999		Дети горько, не по-детски как-то, заплакали.	0:0	0:44
ребенок	NN	example	22	22_ребенок_132129		Дети хотят быть, как взрослые и взрослые хотят быть«как все»-- появляется мода, начинается быт.	0:0	0:95
ребенок	NN	example	22	22_ребенок_125954		О детях никто и не знает, и не помнит.	0:0	0:38
ребенок	NN	example	22	22_ребенок_82538		Может показаться, что в языке маленького ребенка дело ровно так и обстоит: да значит и«дай», и«дядя», и«подойди ко мне»(см. главу о детской речи).	41:48	0:146
ребенок	NN	example	22	22_ребенок_52094		2 видно, что негармоничные стили воспитания(имеющие более трех отклонений от критериальных значений) в группе детей с ОЛЛ практикует почти половина родителей(43,4%) и только 11,9% в группе здоровых детей.	148:157	0:204
ребенок	NN	example	22	22_ребенок_148315		Не трудно, кажется, заставить детей в такт встать и сесть, обернуться туда и назад, поднять руки и опустить их, выйти из-за скамей в порядке и опять усесться на них стройно, ловко и без шума и толкотни; но если бы хотя эти простые приемы принялись в наших школах, то помогли бы разрушить ту тяжелую, усыпляющую атмосферу, которая, по большей части, царствует в них, и много способствовали бы не только к сохранению здоровья детей, но свежести и живости их учения.	92:96	0:463
ребенок	NN	example	22	22_ребенок_32766		Ведь на утренник приходят дети.	0:0	0:31
ребенок	NN	example	22	22_ребенок_1939		В обоих случаях-- и обрезания детей, и убиения скота-- Бромберг П.И. не рассчитывал на зубных врачей, как вообразилось Г-зону в часы гипертонического криза.	72:83	0:156
ребенок	NN	example	22	22_ребенок_24303		Отдала бы я тебе сироток, чтобы ты сама узнала, что правдивы мои слова, но ведь и этих детей люди убьют у тебя.	0:0	0:111
ребенок	NN	example	22	22_ребенок_176013		Брат между тем в своих письмах постоянно советовал отцу отправить меня в университет, представляя различные резоны, на которые отец отвечал только помахиванием головы и известною фразой, что он учился на медные деньги-- и детей так же хочет образовать.	108:114	0:252
ребенок	NN	example	22	22_ребенок_8343		По тревоге уходили в душевую мамы с детьми(и то не все) да несколько старух, остальные пытались не реагировать.	99:110	0:111
ребенок	NN	example	22	22_ребенок_135065		Ну, куда бы я делся с маленьким ребенком на руках?	32:40	0:50
ребенок	NN	example	22	22_ребенок_27184		За это дети прозвали балерину Музой-Медузой.	0:0	0:44
ребенок	NN	example	22	22_ребенок_178577		Ребенок лет тринадцати, Мартынов, превосходно играл на фортепиано и возбудил всеобщее удивление.	0:7	0:96
ребенок	NN	example	22	22_ребенок_41957		К тому же погибший оказался единственным сыном(сейчас ведь чуть не в каждой семье ребенок-- единственный), родные требовали отмщения, писали во все инстанции.	82:89	0:158
ребенок	NN	example	22	22_ребенок_139935		Ранним утром, бросив ребенка и мужа, Антониа поспешила в почтовой карете в Рим.	21:28	0:79
ребенок	NN	example	22	22_ребенок_62696		Когда актриса театра Ленком Александра Захарова слышит слова«природа на детях отдыхает», она вспоминает Андрея Миронова и Константина Райкина.	134:141	0:142
ребенок	NN	example	22	22_ребенок_125659		Формально, конечно, Достоевский прав, но ведь и младенец с той же прямотою и непосредственностью и неудержимостью сосет сахар и хватает всякие лакомства, как эпикуреец, да ребенок и в точности есть эпикуреец и никакого«долга» и«совести» не знает со своими крошечными зубками, но ради этого делать на него те окрики, какие делает Достоевский в сторону Облонского, это-- все равно, как если бы начать приговаривать к гильотине равно старых французских маркизов конца XVIII века и грудных детей за«одинаково сластолюбивый образ жизни».	172:179	0:532
ребенок	NN	example	22	22_ребенок_72868		Однако и сегодня 70% японских женщин вынуждены оставлять работу в связи с рождением ребенка.	84:91	0:92
ребенок	NN	example	22	22_ребенок_148860		Между немногочисленными нашими спутниками находились английский майор Л. с женой и ребенком; отправившись из Англии с намерением объехать вокруг света, они, доехав до Японии, застали там такую холодную погоду(всюду лежал снег), что побоялись продолжать путешествие и теперь направлялись в Индию.	83:91	0:295
ребенок	NN	example	22	22_ребенок_135977		«Любить одинаково своего ребенка и чужого-- противоестественно.	25:32	0:63
