lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
государство	NN	example	22	22_государство_52266		-- Жизнь наша неотделима от жизни государства, интересы Родины-- превыше всего!	34:45	0:79
государство	NN	example	22	22_государство_2483		Рушилась экономика, билось в конвульсиях сельское хозяйство, чахла культура, гигантская эпидемия коррупции и преступности поражала страну, разваливалась армия, но вместо полной мобилизации сил на спасение государства Россия почти десять лет только и наблюдала за тем, как президент ловко ставит«сдержки и противовесы», изгоняет бездарных или проворовавшихся министров и назначает других, перетряхивает свою кремлевскую команду, воюет с парламентом или борется за продление президентского мандата на новый срок и добивается победы за счет ее щедрой проплаты из кошельков олигархов, старательно и страстно облизывающих десницы«монарха» в надежде на то, что в знак благодарности и им достанется желанный жирный шмат недвижимости или кусок нефтяной трубы...	205:216	0:753
государство	NN	example	22	22_государство_63562		Послы, стоя о том гораздо, говоря и споря пространными речами, не могли добиться ничего другого и перешли к жалобе на новое оскорбление, злее прежнего: по повелению короля Яна Казимира в первый год его царствования напечатаны в Польше многие книги и разнесены в Московское царство и во все окрестные государства; в этих книгах напечатано многое бесчестье и укоризна отцу великого государя, царю Михаилу Феодоровичу, самому царю Алексею Михайловичу, боярам и всяких чинов людям, чего по вечному докончанью и посольским договорам не только печатать, и помыслить нельзя, от бога в грех и от людей в стыд.	300:311	0:601
государство	NN	example	22	22_государство_1039		Увеличение состава совета директоров«Аэрофлота» с 9 до 11 человек, предложенное на майском собрании председателем совета, министром транспорта Сергеем Франком, позволило государству увеличить свое представительство с 5 мест до 7.	170:181	0:229
государство	NN	example	22	22_государство_68707		Обладая всем, чтобы быть великим монархом и самым любезным человеком в своем государстве, он достиг только того, что внушал страх и отвращение.	77:88	0:143
государство	NN	example	22	22_государство_32984		Экономика стремительно выходит из-под власти национальных государств и становится управляемой над- и вненациональными силами, а не усилиями правительств отдельных стран.	58:68	0:169
государство	NN	example	22	22_государство_13365		Министрами транспорта стран СНГ, их заместителями при проведении в г. Астана 18 мая 2001 г. заседания Координационного транспортного совещания было высказано пожелание более четко координировать работу транспортных советов в проработке и организации исполнения общетранспортных программ, соглашений, принимаемых главами государств и правительств решений по стратегическим вопросам развития сотрудничества стран Содружества.	320:330	0:423
государство	NN	example	22	22_государство_60065		Можно, пожалуй, согласиться, что здесь было завоевано государство, лишена своей самостоятельности народность; но какое государство и какая народность?	54:65	0:150
государство	NN	example	22	22_государство_20202		Адвокату постоянно приходится вступать в противоборство с государственными служащими, чиновниками, которые в массовом сознании и олицетворяют конкретное государство.	153:164	0:165
государство	NN	example	22	22_государство_68424		О привозимой каждым иностранной монете должно объявлять в таможнях, и в таком токмо случае обратный вывоз оной из Государства может быть позволен.	114:125	0:146
государство	NN	example	22	22_государство_39643		Государство готово в этом случае взять решение и ответственность на себя, оно предлагает свои услуги, но не навязывает их.	0:11	0:122
государство	NN	example	22	22_государство_16327		Подобный конфликт интересов-- повсеместное явление, так как государство, будучи не в состоянии справляться со своими полномочиями или просто не желая утруждать себя их исполнением, сплошь и рядом делегирует их первой же структуре, которая выразит желание взять их на себя.	60:71	0:272
государство	NN	example	22	22_государство_47493		Котошихин, имея в виду 1660-е годы, пишет, что ежегодно в царскую казну во все московские приказы приходит со всего государства 1311 тысяч рублей, кроме сибирской пушной казны, которой точно оценить он не умеет, а лишь чаятельно назначает на нее больше 600 тысяч.	116:127	0:263
государство	NN	example	22	22_государство_70080		Какие основания в прошедшем и настоящем имеем мы для противоположных надежд на небывалую долговечность этих западных государств, кроме нашего вечного умственного рабства перед их идеями?..	117:127	0:188
государство	NN	example	22	22_государство_14980		Эта сторона деятельности Организации рассматривается государствами-членами как задача особой важности.	53:66	0:102
государство	NN	example	22	22_государство_6853		(Нечто вроде русской буквы«ф».) Чжунго-- Срединное государство.	51:62	0:63
государство	NN	example	22	22_государство_23096		Советское государство-- самое могущественное и самое прочное государство в мире.	10:21	0:80
государство	NN	example	22	22_государство_35165		-- А вы не в курсе, что Россия до революции 1917 года была православным государством?	72:84	0:85
