lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
город	NN	example	22	22_город_97130		Проблема в том, что люди в городе живут не«со временем», а уже сейчас и каждый божий день.	27:33	0:90
город	NN	example	22	22_город_51844		И. В. Воронин родился в августе 1904 г. в г. Моршанске Тамбовской губ.	26:27	0:70
город	NN	example	22	22_город_140626		Сильный рост городов происходит в коренной России, Крыму и Закавказье.	13:20	0:70
город	NN	example	22	22_город_138044		В 9 ч. вечера нас на санитарных автомобилях перевезли на другую окраину города в главный госпиталь для тифозно-больных...	72:78	0:121
город	NN	example	22	22_город_27355		За то, что, когда я носился, как чумной, из города в город, Бандит уютно устроился в ее квартирке-постели, за то, что Бандит был«внимательный и щедрый» человек и ей нужно было именно это, и совсем не нужна настоящая нежность-- прозрачная и хрупкая.	44:49	0:248
город	NN	example	22	22_город_141955		Тихо-тихо подплыли призраки кораблей, и столь же тихо стали с них спускаться призраки людей и, выстроившись, направились к сонному городу.	131:137	0:138
город	NN	example	22	22_город_115933		Отец почти ежедневно ездил в город как бы для того, чтоб наблюдать, как умирает монах.	29:34	0:86
город	NN	example	22	22_город_180159		И я от нечего делать пошел шляться по городу.	38:44	0:45
город	NN	example	22	22_город_28152		Последним, что от него услышали флорентийцы, оказалось предсказание страшного наводнения, которому суждено было обрушиться на город 4 ноября 1966 года.	126:131	0:151
город	NN	example	22	22_город_27953		И город понял: это Минога и Громобоев возвращаются под звуки Пан-- флейты, тростникового ная, Сиринги.	2:7	0:102
город	NN	example	22	22_город_191091		В таких-то кварталах, далеких от треволнений деловых центров города, и живет ученая буржуазия, этот цвет страны, воплощение ее лучших духовных, умственных и нравственных сил.	61:67	0:174
город	NN	example	22	22_город_49991		Министрами транспорта стран СНГ, их заместителями при проведении в г. Астана 18 мая 2001 г. заседания Координационного транспортного совещания было высказано пожелание более четко координировать работу транспортных советов в проработке и организации исполнения общетранспортных программ, соглашений, принимаемых главами государств и правительств решений по стратегическим вопросам развития сотрудничества стран Содружества.	67:68	0:423
город	NN	example	22	22_город_5877		Они появлялись над городом, так сказать, поштучно, но практически каждую ночь, взрываясь то в одном, то в другом районе.	19:26	0:120
город	NN	example	22	22_город_25595		В песенке говорилось, что шестью мохлинскими красавицами гордится не только город, но и вся округа, и если посторонний взглянет на их наряды, он непременно подумает, что эти платья присланы прямо из Лондона или Парижа.	76:81	0:218
город	NN	example	22	22_город_41697		Речь в нем идет о земле в городах.	26:33	0:34
город	NN	example	22	22_город_6119		А в это время в Капитолии, где полгода назад Хрущев распивал чаи с сенаторами, Аллен Даллес показывал группе конгрессменов увеличенные до необъятных размеров фотографии советских городов, ракетных установок и военных объектов, которые были получены У-2.	179:186	0:253
город	NN	example	22	22_город_90126		В отличие от города культуры аперитива у деревенских не существует, ну разве что хозяин выпьет с утра заветную четвертинку, которую он прячет в мешке с крупой.	13:19	0:159
город	NN	example	22	22_город_157824		Сейчас все дома темны, в темноте весь город, кроме тех мест, где эти разбойничьи притоны,-- там пылают люстры, слышны балалайки, видны стены, увешанные черными знаменами, на которых белые черепа с надписями:«Смерть, смерть буржуям!»	38:43	0:232
город	NN	example	22	22_город_150732		Дорога в город шла гротом из зеленой прохлады, принесенной с гор журчанием арыков.	9:14	0:82
город	NN	example	22	22_город_113832		Очутившись в этом странном городе, я соблюдал, разумеется, строжайшее инкогнито.	27:33	0:80
город	NN	example	22	22_город_6777		Мы наливали воду в глиняные амфоры здешнего же производства-- город Сафи кроме своих сардин славится и керамическими изделиями.	62:67	0:127
город	NN	example	22	22_город_133666		В городе циркулируют упорные слухи, что найденный недавно убитым чиновник особых поручений Васильев, был убит Лазовским.	2:8	0:120
город	NN	example	22	22_город_185647		Страусенъ* подаетъ о тогдашнемъ купечествѣ въ Астрахани слѣдующее извѣстіе:«Астрахань есть изрядной купеческой городъ, не токмо для Бухарскихъ, Нагайскихъ и Калмыцкихъ Татаръ, но и для Персіянъ, Армянъ и Индѣйцовъ, которые чрезъ Каспійское море приходятъ туда на своихъ судахъ грузомъ до 40 ластовъ.	111:117	0:299
город	NN	example	22	22_город_187129		Окруженный ими, вскорѣ почувствовалъ онъ власть свою, и, чрезъ нѣсколько дней, пирующіе и притомъ-же не имѣвшіе должнаго между собою единодушія, увидѣли въ немъ и повелителя, не требовавшаго болѣе руководства ихъ; и одинъ изъ главныхъ, дѣйствовавшихъ въ сей перемѣнѣ, лицъ, военный градоначальникъ Паленъ, отрѣшенъ былъ отъ своей должности и высланъ изъ города.	354:360	0:361
город	NN	example	22	22_город_23706		Во втором часу ночи идем по центральной улице— по Крещатику, который есть в каждом тамошнем городе.	92:98	0:99
город	NN	example	22	22_город_57789		Татьяна ЖУКОВА, воспитатель Московского областного дома ребенка, г. Видное:	37:38	0:75
город	NN	example	22	22_город_66141		Правда, пока его поставили на учет в Курской области, в партячейке города Льгова.	67:73	0:81
город	NN	example	22	22_город_82840		Эти представления развивали А. Бернгарди(1832 г.).	35:36	0:50
город	NN	example	22	22_город_48610		Теперь, когда стирка для населения становится в нашем городе все большей редкостью, мы открыли и прачечную.	54:60	0:107
город	NN	example	22	22_город_196438		Городской голова сообщилъ намъ, что все Цетинье построено на монастырской землѣ, даже дворецъ князя; поэтому недавнимъ указомъ князя приказано платить за мѣста для построекъ не князю и не городу, а монастырю.	188:194	0:208
город	NN	example	22	22_город_186902		Его оставили в городе, и матушка тревожится.	15:21	0:44
город	NN	example	22	22_город_61615		Но и сами москвичи охотно помогают родному городу.	43:49	0:50
город	NN	example	22	22_город_61221		Для выбивания остатков хлеба из городов в деревни направили 112 тысяч членов партии, людей, не знавших и не желавших знать проблемы села.	32:39	0:137
