lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
рука	NN	example	22	22_рука_366813		Он у нас действительно летал и любил летать в своих дрожках с желтым задком, и по мере того как«до разврата доведенные пристяжные» сходили все больше и больше с ума, приводя в восторг всех купцов из Гостиного ряда, он подымался на дрожках, становился во весь рост, придерживаясь за нарочно приделанный сбоку ремень, и, простирая правую руку в пространство, как на монументах, обозревал таким образом город.	336:340	0:406
рука	NN	example	22	22_рука_396270		Француз, как только увидел перед собой Сашу Николаича, так и всплеснул руками и громко воскликнул:	71:77	0:98
рука	NN	example	22	22_рука_260995		Товарищи окружают Костика, радостно трясут его руки, трясут…	47:51	0:60
рука	NN	example	22	22_рука_378965		Сеня смотрѣлъ на него, не выпуская его руки, и это лицо съ растеряннымъ выраженіемъ, съ слезинками на глазахъ, съ безграничной любовью во взглядѣ стало ему безмѣрно дорого и мило.	39:43	0:179
рука	NN	example	22	22_рука_179291		Пришлось долго ждать, опустив голову и скрестив на груди руки( правую над левой, ждать, когда начальник по набору кадров, медлительный божок безразличия, снизойдет до беседы.	57:61	0:174
рука	NN	example	22	22_рука_289189		Почти через два десятка лет австрийской партии пришлось после всяких мытарств передать с ущербом и срамом свое предприятие в частные руки.	133:137	0:138
рука	NN	example	22	22_рука_117526		Сослуживцы здороваются, вяло пожимая друг другу руки.	48:52	0:53
рука	NN	example	22	22_рука_153245		Кто-то жмет мне руку...	16:20	0:23
рука	NN	example	22	22_рука_29931		Цертелев махнул ему рукой:	20:25	0:26
рука	NN	example	22	22_рука_359964		-- Чего изволите, ваше благородие?-- вскрикнул бодрым голосом старый воин, отдав мне честь, то есть вытянув горизонтально левую руку, в которой держал свою секиру.	128:132	0:163
рука	NN	example	22	22_рука_335684		Рука, опустившаяся на плечо пригорюнившейся Чекки, заставила ее оглянуться: за нею стояла синьора Пиэррина, спокойная и беспечная, хотя слышала весь разговор своих слуг.	0:4	0:169
рука	NN	example	22	22_рука_93706		Руку тебе протянули: давай выкарабкивайся, прислоняйся к нам.	0:4	0:61
