lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
место	NN	example	22	22_место_90703		Сейчас наша страна занимает первое место в мире по объему и темпам жилищного строительства.	35:40	0:91
место	NN	example	22	22_место_141763		Что касается проблемы контроля над вооруженными формированиями, то она ушла в прошлое, уступив место наличию системы связей в силовых структурах-- от армии до ФСБ.	95:100	0:163
место	NN	example	22	22_место_215588		-- Петербург-- место темное, место неудобное... право, пятнадцать лет тому назад, когда я последний раз видел петербургское небо-- оно мне казалось фарфоровым.	15:20	0:159
место	NN	example	22	22_место_64802		-- Я себе в этих командировках места не нахожу, стремлюсь домой…	31:36	0:64
место	NN	example	22	22_место_286547		И ковалерия в тех же местах разложилась на контонир-квартиры.	21:27	0:61
место	NN	example	22	22_место_288056		А как между тем день уже уклонялся к вечеру, то я не рассудил никуда из оного прекрасного места идти, но остался в сей беседке ночевать и на другой день до половины дня тут пробыл.	90:95	0:180
место	NN	example	22	22_место_283540		Ибо первым есть общаго согласия нашего доказательством, когда мы все вкупе в едином месте собираемся: а напротив когда друг друга убегаем, или кроясь по углам, некоторыя от других скрываемыя составляем сборища; то тем самим даем знаки нашего с другими несогласия и чуждения, и целость ризы Христовой раздираем.	84:89	0:310
место	NN	example	22	22_место_214219		А поездками в те места, где люди хотят веселиться, он пытался заставить Шурочку улыбаться и смеяться, как улыбаются и смеются другие веселящиеся дамы.	17:22	0:150
место	NN	example	22	22_место_136112		-- Когда сдаешься в Мэшту, тебе выдают постельные принадлежности и определяют твое место в лагере,-- продолжает Женя.	83:88	0:117
место	NN	example	22	22_место_145065		Есть у меня невеста в Урале»(дикие места, лес)(З. П. 12) и т. д.	35:40	0:64
место	NN	example	22	22_место_116349		Мороз по нашим местам редкий-- за сорок пять!	15:21	0:45
место	NN	example	22	22_место_100616		Как известно, суд в советском обществе воспринимается широкими народными массами не как правовое пространство разрешения конфликта, а как место наказания.	138:143	0:154
место	NN	example	22	22_место_261044		Туда последовали за ним, в двух местах, несколько рот Французских егерей.	32:38	0:73
место	NN	example	22	22_место_220602		А если это справедливо, то и в хорошем историческом романе нет им места.	66:71	0:72
место	NN	example	22	22_место_62857		Но Усольцев прав, изобразить можно было бы и получше-- бросить портфель не под кусты в двух шагах от места покушения, а в ту же, например, Волгу, пихнув внутрь пару камней-- и никто бы его никогда не нашел.	101:106	0:206
место	NN	example	22	22_место_227212		Из них каждый нес с собою по большому пуку соломы, которую раскладывали при опасных местах и, по приближении нашем, зажигали, отчего такие места проходили мы, как днем.	84:89	0:168
место	NN	example	22	22_место_110427		Не к месту...	5:10	0:13
место	NN	example	22	22_место_280333		В ней особенно любопытно одно место.	30:35	0:36
место	NN	example	22	22_место_166562		А кругом этого промышленного уголка, бог весть какими чарами поднявшегося из земли в безлюдном гиблом месте, разливанное море уходящей во все стороны тайги.	102:107	0:156
