lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
результат	NN	example	22	22_результат_76510		Сказанное нами достаточно для того, чтобы вывести всѣ нужные результаты и данныя для опредѣленія настоящаго характера нашей образованности и ея отношеній къ просвѣщенію общечеловѣческому.	61:71	0:187
результат	NN	example	22	22_результат_46892		«Мы же обычно не говорим, что чья-либо мысль или предвидение пусты, кроме тех, что не имели никакого результата, и не утверждали, что мыслить-- напрасно, кроме тех случаев, когда мысль не реализована в произведении»25.	101:111	0:218
результат	NN	example	22	22_результат_25807		Представлены результаты серотипирования вариантов ВИЧ-1 при исследовании 56-позитивных сывороток, собранных на территории Республики Таджикистан(РТ) от лиц, употребляющих наркотики внутривенно(ЛУНВ).	13:23	0:199
результат	NN	example	22	22_результат_68327		Бомбардировки флотом для открытия проливов имели, при недостатке средств, незаконченный вид как бы полуусилий, что, без сомнения, являлось результатом непродуманности.	139:150	0:167
результат	NN	example	22	22_результат_44801		В результате того, что я поддерживаю чистоту рабочего места в течение смены, на окончательную уборку после работы затрачиваю всего лишь 10 минут.	2:12	0:145
результат	NN	example	22	22_результат_33879		При этом учитываются организации, осуществлявшие продажу(закупку) товаров(работ, услуг) по заказам, полученным(переданным) в результате заполнения в интерактивном режиме специальной формы, размещенной на веб-сайте, или с использованием другого специализированного программного обеспечения.	125:135	0:289
результат	NN	example	22	22_результат_73338		Выборы дали результаты неожиданные; избирались большею частью люди порядочные и либеральные; и крепостники страшно бесились.	12:22	0:124
результат	NN	example	22	22_результат_31192		Обязательно проставляются грифы секретности на носителях секретной информации, образовавшейся в процессе сотрудничества Сторон, а также полученной в результате перевода, копирования или тиражирования.	149:159	0:200
результат	NN	example	22	22_результат_34798		Чтобы результаты деятельности оценивал не чиновник, а потребитель; чтобы у него была свобода выбора и достаточно силы, власти, денег для противостояния производителю-монополисту.	6:16	0:178
результат	NN	example	22	22_результат_19931		К числу таких направлений и технологий относится геомаркетинг, который явился результатом синтеза геоинформатики, информационного маркетинга и обычного маркетинга.	78:89	0:163
результат	NN	example	22	22_результат_10329		И вдруг результаты американца, уверяющие в обратном:«Вы не ошибались.	8:18	0:69
результат	NN	example	22	22_результат_80129		При этом некоторые из них(Ковальская, Ковалевская, Богомолец, Щехтер и Россикова) не допустили себя обыскивать, и когда предположено было употребить силу, то заведующий ссыльнокаторжными поручик Шубин заявил, что он против употребления силы, так как применение ее в данном случае, ввиду результатов обыска, находит неуместным, вследствие сего к личному обыску помянутых пяти преступниц приступлено не было.	287:298	0:406
результат	NN	example	22	22_результат_70011		Сегодня также я проснулся позднее 5 часов утра и до 7 часов думал, редактировал телеграмму в Москву, Кремль, Н. П. Горбунову:«Верхний курган дал блестящие результаты; ценности Верхнего и Мокрого высылаю.	155:165	0:203
результат	NN	example	22	22_результат_36003		«Мы подбираем кандидатов в сборную по результатам Всероссийской олимпиады школьников по физике,-- пояснил профессор МФТИ Станислав Козел.	38:49	0:137
результат	NN	example	22	22_результат_1787		Инструкция обязывала агитаторов два раза в неделю сообщать в центр о своей деятельности, о результатах, об общем ходе работы по организации Красной Армии; о числе завербованных добровольцев, какая нужна литература, нужна ли дополнительная агитаторская помощь, и сообщать о каждом переезде с одного пункта в другой.	91:102	0:314
результат	NN	example	22	22_результат_31036		Достигнуты следующие результаты:	21:31	0:32
результат	NN	example	22	22_результат_1201		Несмотря на экспромт, эта затея принесла неплохие результаты»,-- въедливо разъяснял после матча свои тактические ходы корреспонденту«Известий» Душан Ивкович.	50:60	0:157
результат	NN	example	22	22_результат_4977		Обзор результатов, полученных Таммом в области фундаментальных взаимодействий, мы начнем с его работы 1931 года, в которой было дано решение уравнения Шредингера для электрона, находящегося в поле магнитного монополя, предсказанного незадолго до этого П. Дираком.	6:17	0:263
результат	NN	example	22	22_результат_37069		О результатах переговоров было доложено на Совете министров 28-го числа.	2:13	0:72
результат	NN	example	22	22_результат_14290		Результаты анализа опыта длительного патрулирования многонациональными ВМС отдельных морских зон подтолкнули руководство США к намерению наделить свой флот исключительным правом останавливать и досматривать торговые суда в любом районе Мирового океана.	0:10	0:252
результат	NN	example	22	22_результат_25124		Результаты идентификации в ИФА, а также генетический анализ штамма позволяют говорить о гомологичности двух указанных изолятов.	0:10	0:127
результат	NN	example	22	22_результат_6278		А то, что в результате творческого соревнования победила другая машина, так-- господи!-- должен же кто-нибудь победить!	12:22	0:119
результат	NN	example	22	22_результат_52221		Стоит отдать должное Якунину: он умеет лоббировать интересы РЖД, но в результате, расплетая нити нынешнего«заговора», мы имеем слишком много подозреваемых.	70:80	0:155
результат	NN	example	22	22_результат_36419		В книге«Гомеопатия»(М.: Медицина, 1960) читаем:«В тех случаях, когда нам не удается при помощи наших средств добиться благоприятных результатов, мы охотно обращаемся и к другим средствам и методам и применяем сильнодействующие медикаменты академической медицины».	132:143	0:263
результат	NN	example	22	22_результат_69150		В тот же вечер ко мне на квартиру явились незваные гости с ордером Чрезвычайной Комиссии на производство обыска и на арест независимо от результатов обыска.	137:148	0:156
результат	NN	example	22	22_результат_9312		Я надеюсь, что будущий кандидат филологических наук неопровержимо установит кричащее противоречие между самым лучшим намерением и плачевным результатом.	140:151	0:152
результат	NN	example	22	22_результат_7757		Таким образом, в случае экспоненциального роста, когда скорость роста пропорциональна первой степени населения, для представления результатов обращаются к осям, на которых время отложено в линейном, а численность населения-- в логарифмическом масштабе.	130:141	0:252
результат	NN	example	22	22_результат_32900		Это понятие появилось в нынешней космологии в результате последовательного развития идей А. Эйнштейна.	46:56	0:102
результат	NN	example	22	22_результат_26892		После операции образуется гематома-- как правило, в результате повышения артериального давления, реже-- из-за повышенной свертываемости крови.	52:62	0:142
результат	NN	example	22	22_результат_28385		Какъ результатъ неслыханнаго страданія народа и полнаго попранія законовъ Божескихъ и человѣческихъ на Руси въ тѣ печальные годы, Соборъ 1613 года, не только призвалъ къ державной власти Михаила Ѳедоровича Романова, но и принесъ торжественную присягу вѣрности Ему и Его потомству на вѣчныя времена и отлучилъ отъ Святыя Троицы, всякаго кто дерзнетъ посягнуть на власть Государя.	5:15	0:378
результат	NN	example	22	22_результат_39446		Экономические единицы не декларируют и стремятся вывести из-под налогообложения доходы, полученные в результате неформального и скрытого производства.	101:111	0:150
результат	NN	example	22	22_результат_72469		«Используя же,-- думал я,-- эту свою особенность, представлю поступок Веры как результат происшедших перед этим тяжелых сцен.	79:88	0:125
результат	NN	example	22	22_результат_57813		Результаты оказались не впечатляющие-- правительство одобрило доклад Минфина о сокращении расходов только на 0,2% ВВП в 2004 году, или в реальном выражении на 28,5 млрд руб.	0:10	0:173
результат	NN	example	22	22_результат_30840		Все это дает немало положительных результатов: укрепляется сердечно-сосудистая система, улучшается кровоснабжение и обмен веществ, интенсивно выводятся продукты распада и шлаки, мышцы становятся более сильными и выносливыми, кожа-- упругой и эластичной.	34:45	0:253
результат	NN	example	22	22_результат_61744		Расстройство речи и мышления в понятиях при афазии сказывается в том, что больные в состоянии выполнить только такие действия, которые непосредственно вызываются теми конкретными ситуациями, в которых они находятся, но они не в состоянии произвести аналогичные действия в результате волевого решения в отсутствие непосредственных импульсов.&lt;...&gt; Действие этих больных всегда как бы подчиняется толчку, идущему сзади, лишено характера волевого акта.	272:282	0:454
