lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
положение	NN	example	22	22_положение_77168		Немного простояв в этом комитрагическом положении, она воскликнула:	40:49	0:67
положение	NN	example	22	22_положение_56986		-- Итак, вы говорите, любезный Лесток, что положение вашей очаровательной пациентки становится день ото дня все тяжелее и опаснее?..	43:52	0:132
положение	NN	example	22	22_положение_15720		Ограничение трудоустройства крестьян в городах, различия в государственной ценовой политике при потреблении для бытовых нужд электроэнергии в городе и деревне, низкий объем государственных инвестиций при строительстве начальных и средних учебных заведений на селе-- все это ставит китайское крестьянство в неравное положение по сравнению с рабочим классом и усиливает конфликтность социальной обстановки в стране.	315:324	0:413
положение	NN	example	22	22_положение_90608		Из-за всех его слов ясно виднелся смертельный страх за свое личное положение, за квартиру и оклад.	67:76	0:98
положение	NN	example	22	22_положение_3633		Разумеется, Сталин и не подумал считать резко ухудшившееся военное положение на фронте результатом своих ошибок и просчетов.	67:76	0:124
положение	NN	example	22	22_положение_21308		Зритель видит и чувствует, что ведущие попали в двусмысленное положение.	62:71	0:72
положение	NN	example	22	22_положение_7465		-- Не имея никакого положения да еще в таком возрасте…	20:29	0:54
положение	NN	example	22	22_положение_73767		Как только же человек стал развивать свои духовные, чисто человеческие особенности, так и стали для него постыдными все те положения, в которых эти духовные его особенности совершенно подчинялись его животной природе.	123:132	0:217
положение	NN	example	22	22_положение_52253		Удаление преданного России монарха вызывает в дипломатических кругах оживленный обмен мыслей, причем здесь не без основания говорят, что на отъезде шаха настаивает английская дипломатия, которая за последнее время сделалась полновластным хозяином положения.	247:256	0:257
положение	NN	example	22	22_положение_25621		Мы окажемся в положении человека, во сне перенесенного на вершину горы и забытого там.	14:23	0:86
положение	NN	example	22	22_положение_58553		Взамен этого, совершенно легально и не подвергаясь ни малейшему риску, газета такого положения, как«Новое Время», может наделать величайших неприятностей всякому«Ведомству» и отравить министру«час его цветения».	85:94	0:211
положение	NN	example	22	22_положение_3641		Ведь по своему положению генерального секретаря Союза писателей он скреплял своей подписью постановления об аресте того или иного члена Союза.	15:24	0:142
положение	NN	example	22	22_положение_34815		Это«иго» не было тяжким, но все-таки существовало, и некоторые уездные деятели роптали, усматривая в создавшемся положении покушение на самостоятельность Уездных Земств.	113:122	0:169
положение	NN	example	22	22_положение_54686		На последнем пленуме ИККИ, наша партия уже указала абсолютную невыносимость такого положения.	83:92	0:93
положение	NN	example	22	22_положение_35259		Все тогда умилились этой истории, кроме Петровой, но Петрова не умилилась ей даже сейчас, когда ей самой было плохо, просто вспомнила ее, потому что оказалась в похожем положении.	169:178	0:179
положение	NN	example	22	22_положение_54505		В старые времена казачество, пребывая долгое время в несемейном положении, обыкновенно, ставя городок, расселялось компаниями(группами) в куренях(или избах), довольно обширных и поместительных.	64:73	0:193
положение	NN	example	22	22_положение_14226		Сегодня же положение людей среднего класса даже в западном мире, похоже, становится более шатким и неопределенным.	11:20	0:114
положение	NN	example	22	22_положение_64974		Без преувеличения можно сказать, что у проповедников нравственного самоочищения не было ни одного положения, ни одной значительной мысли, каких мы не встретили бы у Гоголя, хотя бы в зачаточном виде.	98:107	0:199
положение	NN	example	22	22_положение_92616		Я его не послушалась, я укрепляла в тебе твою решимость отказать Сержу, потому что я предвидела твое положение в этой напыщенной семье...	101:110	0:137
положение	NN	example	22	22_положение_20916		Во-первых, в сценарии имелись наметки на роли, игровые положения, и наши популярные певцы должны были проявить известные актерские дарования.	55:64	0:141
положение	NN	example	22	22_положение_84994		Положение наше тем не менее было ненадежно, и решено было начать устройство другой преграды, выведя через улицу от угла русского посольства вторую и более основательную баррикаду, подготовляя себя ко всякой случайности.	0:9	0:219
положение	NN	example	22	22_положение_63954		Наше экономическое положение было поначалу блестяще: паства усердно несла свои жертвы; видные финансовые деятели, к которым обращался граф Коковцов за денежной поддержкой, также обильно давали свои пожертвования.	19:28	0:212
положение	NN	example	22	22_положение_42814		Они только ухудшили дело-- развороченный хворост запылал, и положение на дереве стало невыносимым.	60:69	0:98
положение	NN	example	22	22_положение_4072		Вырванные из родных деревень, измученные пешим переходом от Владикавказа до Тифлиса и новизной положения, застенчивые белорусы страдали от этой милости пуще, чем от царской службы.	95:104	0:180
положение	NN	example	22	22_положение_82055		Вот каково положение дела, затруднительное для правительства.	11:20	0:61
положение	NN	example	22	22_положение_21361		очень странное положение: ряд союзных республик этот закон принял, а РСФСР, Украинаи Белоруссия-- еще нет.	15:24	0:106
положение	NN	example	22	22_положение_33307		Положение Боевого Знамени воинской части в строю, вынос и относ его	0:9	0:67
положение	NN	example	22	22_положение_13753		Так, к примеру, в ООО СУ-5«Березникихимстрой» при выполнении работ по капитальному ремонту склада руды, находящегося на территории БПКР-4 ОАО«Уралкалий», при монтаже прогона и его закреплении в проектном положении, упал с почти двенадцати метровой высоты электросварщик М. И. Мурин.	204:213	0:282
положение	NN	example	22	22_положение_42671		Так как при обнародовании Положения 1870 года тогдашнему составу думы оставалось еще два года до выборов, то новое положение введено было в действие только в 1873 году.	115:124	0:168
положение	NN	example	22	22_положение_65382		Временное положение о поселковом управлении	10:19	0:43
положение	NN	example	22	22_положение_8807		Вручили анкету с вопросами об отношении к религии, власти, семейно-имущественное положение, происхождение и прочее.	81:90	0:115
положение	NN	example	22	22_положение_88804		-- В угождение тебе я выпью чашку,-- сказала Саломея Петровна, садясь на стул и заводя разговор с Дмитрицким об отчаянных положениях, в которые люди могут впадать.	122:132	0:163
положение	NN	example	22	22_положение_49734		Наше тяжелое положение осложнялось еще тем, что в районе Екатеринослава, Полтавской и Харьковской губерний в тылу армии повсеместно вспыхивали крестьянские восстания.	13:22	0:166
положение	NN	example	22	22_положение_91526		Эта мысль была подсказана ей графом Паленом, который рассчитывал упрочить этим положение братьев Зубовых, необходимых ему в Петербурге как людей, подходящих для его плана.	79:88	0:171
положение	NN	example	22	22_положение_48088		Бесконечно разнообразны могут быть эти действия в зависимости от бесконечного многообразия тех жизненных положений, в которых я и другой оказываемся в тот или иной момент, но везде, всегда и при всех обстоятельствах этот избыток моей активности есть, и состав его стремится к некоторому устойчивому постоянству.	105:114	0:311
