lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
случай	NN	example	22	22_случай_105048		Это явление очень распространенное и представляется чрезвычайно разнообразных формах, если вы примените к нему всевозможные случаи торможения.	124:130	0:142
случай	NN	example	22	22_случай_42715		В обоих случаях, после подписания противоборствующими сторонами соглашения о прекращении огня, штаб СВР организовывал ввод и развертывание в районе конфликта группировки многонациональных миротворческих сил и руководил их действиями в ходе операции.	8:15	0:249
случай	NN	example	22	22_случай_54745		По официальным данным, в 1946-1958 гг. в Омской области было зарегистрировано 972 случая ОГЛ, что не отражает действительного положения, так как в поле зрения врачей попадали преимущественно случаи с явно выраженными клиническими проявлениями, тогда как при ОГЛ(как и при других арбовирусных инфекциях) преобладают стертые формы.	82:88	0:329
случай	NN	example	22	22_случай_69064		Однако, как отмечают авторы нового исследования, в обоих случаях точность оценки такова, что звезда Пиона может оказаться по меньшей мере равной по силе«коронованной» Эта Киля.	57:64	0:176
случай	NN	example	22	22_случай_19994		Помню случай со мною.	6:12	0:21
случай	NN	example	22	22_случай_92226		Одно дело-- деньги: тут уже все, заплатили и заплатили, останется Андрюха или уедет-- в любом случае ничего не поправишь.	94:100	0:121
случай	NN	example	22	22_случай_184940		Я не получил ни одной телеграммы, которая не была бы искажена самым варварским образом, и когда однажды по какому-то случаю в мою телеграмму вошел кусок чьей-то чужой и я, чтобы восстановить смысл обеих телеграмм, попросил исправить ошибку, то мне сказали, что это можно сделать не иначе, как только за мой счет.	117:123	0:312
случай	NN	example	22	22_случай_58710		Ее преступление было переквалифицировано на статью 104 УК РСФСР, применяемую в тех случаях, когда убийство совершается в состоянии сильного душевного волнения и наказывается лишением свободы сроком до пяти лет или исправительными работами на срок до одного года.	83:90	0:262
случай	NN	example	22	22_случай_42517		Подробности этого контракта на сегодняшний момент не раскрываются, однако в случае удачного завершения переговоров стабильные заказы«Авиаагрегату» будут обеспечены.	76:82	0:164
случай	NN	example	22	22_случай_200984		Бог с вами совсем: только упросили, и сейчас же на первый случай такое надо мной обхождение.	58:64	0:92
случай	NN	example	22	22_случай_71498		А с другой стороны, во многих случаях у людей, обладающих вполне нормальным мозгом, отклонения могут возникать не на физиолого-биохимическом уровне, а на уровне сознания, морально-этических ценностей.	30:37	0:200
случай	NN	example	22	22_случай_98546		Зоопарк в эти дни объявил акцию по случаю своего дня рождения: посетителям со звериными фамилиями решили подарить посещение с 50-процентной скидкой.	35:41	0:148
случай	NN	example	22	22_случай_62992		Заявление подается в территориальный орган ПФР по месту жительства лично или иным способом(в случае отправления заявления посредством почтовой связи датой подачи заявления будет считаться дата, указанная на почтовом штемпеле).	93:99	0:226
случай	NN	example	22	22_случай_46776		В соответствии с содержанием случая или сделки требуется наличие общего вопроса права или факта.	29:35	0:96
случай	NN	example	22	22_случай_207442		А ежели приход нуждным некиим случаем обнищает так, что священнику с причтом весьма невозможно пропитатися, и о таковых самому Архиерею иметь попечение: не допуская их скитатися, и определять их туды, где новаго священника требуют.	30:37	0:231
случай	NN	example	22	22_случай_143639		Насир Ад-Дин иногда принимал участие в походах монголов, чтобы собирать рукописи для библиотеки при обсерватории: по преувеличенным, как всегда в таких случаях, цифрам она состояла из 400 тысяч томов.	152:159	0:200
случай	NN	example	22	22_случай_155161		И обратился я, и видел под солнцем, что не проворным достается успешный бег, не храбрым-- победа, не мудрым-- хлеб, и не у разумных-- богатство, и не искусным-- благорасположение, но время и случай для всех их»(Еккл 1.1-2; 3.19; 4.2-3; 9.11).	191:197	0:242
случай	NN	example	22	22_случай_119416		А обыкновенно он не упускал случая, если кто-нибудь по близости от него чихал, вежливо пожелать: будьте здоровы.	28:34	0:112
случай	NN	example	22	22_случай_629		В этом случае МЭФ будет контролировать поставки более половины электроэнергии в регионе.	7:13	0:88
случай	NN	example	22	22_случай_151542		Все же в портретах его молодости, зрелости и первых лет старости всегда есть нечто преобладающее, такое, что, во всяком случае, не назовешь добротой.	120:126	0:149
случай	NN	example	22	22_случай_112211		В некоторых случаях в зависимости от характера основной болезни повышенное настроение носит несколько особенный отпечаток.	12:19	0:122
случай	NN	example	22	22_случай_66673		По мнению одних она несопоримо свидетельствует о реальности Якова, сводного брата Иисуса Христа, а следовательно,— и о реальности самого Иисуса(названного в надписи на ивритский манер«Иешуа»), тогда как по мнению других эта надпись представляет собой в лучшем случае случайное совпадение, в худшем– целенаправленную подделку.	260:266	0:325
случай	NN	example	22	22_случай_122505		Василий Иванович в редчайших случаях был доволен собой.	29:36	0:55
случай	NN	example	22	22_случай_189757		Противодействие преступлениям, согласное с нравственным началом, должно осуществлять или во всяком случае иметь в виду равномерное осуществление этих трех прав.	99:105	0:160
случай	NN	example	22	22_случай_142526		В этом случае комендант сам следит за переправой подразделений и через свой сигнально-регулировочный пост отдает необходимые распоряжения в исходный район.	7:13	0:155
случай	NN	example	22	22_случай_180710		Из получаемых от сербов известий я вижу, что беспокойства их по случаю выхода войск наших из Сербии все еще продолжаются.	64:70	0:121
случай	NN	example	22	22_случай_66104		&lt;Недостатки&gt; По большому счету существенных недостатков не выявлено. по мелочи: емкость батареи(возможно, то, что она съемная, может в каких-то случаях это сгладить)-- на интенсивный рабочий день хватает впритык, новый интерфейс потребовал обретения навыков(у меня-- после андроида), не обильное(пока?) наличие ориентированных на российских пользователей приложений для BB OS 10, замена внешней карты требует снятия задней крышки(и, соответственно, выключения), подключение к ПК посредством собственных драйверов.	150:157	0:519
случай	NN	example	22	22_случай_103156		Увольнение может последовать только в случае ликвидации должности, а это ставит существенные препоны для проведения административной реформы в стране.	38:44	0:150
случай	NN	example	22	22_случай_147568		Несколько штук мы заряжаем пулями на случай встречи с медведем и диким оленем.	37:43	0:78
случай	NN	example	22	22_случай_152034		Распределение бороздок по всей коже, а в особенности на внутренней поверхности ладони, индивидуально различно, так что оно во многих случаях применяется для установления тождества личности(дактилоскопия).	133:140	0:204
случай	NN	example	22	22_случай_157831		Когда это дело производилось, уже не было формальной пытки или застенка, но еще существовали, так называемые, допросы, с родительским увещанием, употребляемые в таких только случаях, когда улики были явные и запирательство приписываемо было ожесточению преступника.	174:181	0:265
случай	NN	example	22	22_случай_43676		Порой надо было объяснять, по какому случаю отдается приказ командира и как его надо выполнять.	37:43	0:95
случай	NN	example	22	22_случай_118985		Но приведенные цитаты весьма ценны для нас: во всяком случае, в них Гроссе очень близко подходит к истине, дает верное указание на первооснову хозяйственного строя первобытных обществ.	54:60	0:184
случай	NN	example	22	22_случай_206885		По случаю поручительства за одного своего пріятеля, ему должно было поспѣшно оставить Эдинбургъ, гдѣ онъ учился физикѣ.	3:9	0:119
случай	NN	example	22	22_случай_38616		Не прошло и нескольких дней, как агент предупредил о готовящихся обысках у курсисток и студентов: всем удалось сообщить, но в одном случае какая-то радикальная идиотка чуть не погубила дело.	132:138	0:190
