lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
конец	NN	example	22	22_конец_26246		Чтение на слух-- монотонное, не подчеркивается ни мысль, ни метафора, ни подробность, не расставляются логические акценты и не выделяется конец строфы.	138:143	0:151
конец	NN	example	22	22_конец_102332		«Конец!» зазвенело у него в голове, и Арбузову показалось, что пол под ним медленно опустился куда-то вниз.	1:6	0:107
конец	NN	example	22	22_конец_36438		Федорка замигала длинными ресницами, вытерла концом платка круглые, как горошинки, слезы:	45:51	0:89
конец	NN	example	22	22_конец_122929		Только под самый конец отличное настроение всех нас было испорчено моей ошибкой: я не сумел во время понажать на Петю, чтобы охота в Тресте вышла по моему плану, он удрал, как Ярик, один.	17:22	0:187
конец	NN	example	22	22_конец_80251		В конце разговора мама, помявшись, сказала:«Не хотела тебе говорить…	2:7	0:68
конец	NN	example	22	22_конец_61586		Так она в конце 1940 года смогла вернуться в Москву, поступила на работу преподавателем немецкого языка в Пушно-меховой институт в подмосковной Балашихе, где и проработала до самой пенсии.	10:15	0:188
конец	NN	example	22	22_конец_44933		Такую смерть невозможно отыскать вне самого смертного, смерть, без которой его земное могущество не то что бессмысленно, но и невозможно, смерть, без которой и вне которой он становится невозможен, как существо человеческое от начала до конца.	237:242	0:243
конец	NN	example	22	22_конец_75292		В конце 1930-х гг. пела в русском кабаре в Нью-Йорке, вела радиопередачи, снималась в эпизодических ролях.	2:7	0:106
конец	NN	example	22	22_конец_134695		Заказы кораблей в других странах так же нам в конце концов убыточны, как заказы за границей рельсов и вагонов.	46:51	0:110
конец	NN	example	22	22_конец_92423		Книга наполнена от начала до конца описаниями весьма несимпатичных приключений«шкиды», от мелкого воровства до избиения педагогов, которые в книге иначе не называются, как«халдеи».	29:34	0:180
конец	NN	example	22	22_конец_17232		В конце концов мы же оба начальники, все понимаем.	2:7	0:50
конец	NN	example	22	22_конец_37264		Но сперва в конце тридцать девятого после двух инфарктов вернулся отец, а потом уже мама.	12:17	0:89
конец	NN	example	22	22_конец_120715		Если тебе надоест читать, отдай Бабакину: он дочитает до конца где нибудь в кухне в усладу Ольги.	57:62	0:97
конец	NN	example	22	22_конец_155451		В конце галереи командор постучал в дверь три раза, и на его стук вышел кастелян великого магистра и, кланяясь, оглядел Литту с ног до головы.	2:7	0:142
конец	NN	example	22	22_конец_16300		Я смирилась с этим-- войне не было видно конца, вернусь на фронт, когда закончу школу.	41:46	0:86
конец	NN	example	22	22_конец_86453		В конце концов, именно сильные ощущения, полученные Некрасовым за столом зеленого сукна, волшебным образом переплавлялись в пронзительные и возвышенные строки хорошо известных нам стихов.	2:7	0:187
конец	NN	example	22	22_конец_49450		На третьем круге, благодаря меньшей аэродинамической загруженности машины, позволявшей ему атаковать в конце длинных прямых, Пиццония прошел и Уилсона и возглавил гонку.	103:108	0:169
конец	NN	example	22	22_конец_13327		Анна дочитала стихи до конца и немного постояла еще у стола, ожидая, видимо, тех товарищей в кожанках.	23:28	0:102
конец	NN	example	22	22_конец_116327		Под конец он стал раздражителен и капризен и относился к Марье Сергеевне с какой-то детской безжалостностью.	4:9	0:108
конец	NN	example	22	22_конец_156148		«Юноша, брат мой, у птичек прощения проси: оно как бы и бессмысленно, а ведь правда, ибо все как океан, все течет и соприкасается, в одном месте тронешь, в другом конце мира отдается.	163:168	0:183
конец	NN	example	22	22_конец_125226		Власти дьявола наступит конец.	24:29	0:30
конец	NN	example	22	22_конец_117659		Андрей же Белый к концу 1909 года стоял едва ли не за порогом литературы.	18:23	0:73
конец	NN	example	22	22_конец_36999		Ну хорошо, я виноват перед тобой… но, в конце концов, не я первый, не я последний.	40:45	0:82
конец	NN	example	22	22_конец_41699		Только сейчас, потеряв работу, я поняла до конца, какое это было счастье-- каждый день на несколько часов забывать о том, что ты прокаженная.	43:48	0:141
конец	NN	example	22	22_конец_104944		Но и это, в конце концов, не страшно.	12:17	0:37
конец	NN	example	22	22_конец_25807		За этим строго следили две женщины, поставленные в самый конец ленты.	57:62	0:69
конец	NN	example	22	22_конец_11037		-- И она решительно зашагала в другой конец зала, где находилась мини-пекарня.	38:43	0:78
конец	NN	example	22	22_конец_98002		Смолин взмахивал в воздухе длинным шестом с мочалом на конце и свистал.	55:60	0:71
конец	NN	example	22	22_конец_5995		Немного истории-- Мао Цзэдун-- Дэн Сяопин-- Визит Горбачева-- Нормализация отношений-- На площади Тяньаньмэнь-- Новые тревоги-- Конец карьеры	128:133	0:141
конец	NN	example	22	22_конец_89955		В конце коридора, куда он иногда ковылял, он видел шкаф, и там стоял живой человек с собачьей головой, которая скалила зубы, а в одной палате, направо, в другом конце, лежал больной, которому профессор вырезал глаз.	2:7	0:215
конец	NN	example	22	22_конец_157281		«Знам мы Каму-то, она от Подлипной недалеко, так там махонькая, а глубокая, рыбы пропасть, а здесь, поди, и конца ей нету, а рыбы-то, поди, людей едят.	108:113	0:151
конец	NN	example	22	22_конец_26321		А в конце песни вместо слов«„тактак--так“,_-- говорит пулемет» я выбивала звук пулемета чечеткой.	4:9	0:97
