lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
директор	NN	example	22	22_директор_36803		Что ж директор?	6:14	0:15
директор	NN	example	22	22_директор_30403		Какие экземпляры забайкальских растений, хранящиеся, быть может, и теперь в гербарии Ботанического института в Ленинграде, были посланы когда-то директору Фишеру учеными, закованными в кандалы?	145:154	0:193
директор	NN	example	22	22_директор_25169		С другой стороны, думая уже о предстоящем суде, из закрытого города создатели спутников прислали еще одно письмо, теперь уже на имя Марьясова-- для зачтения на процессе(уж директора-то Института физики должны туда пустить!), где еще раз напомнили, что в перечне ОТКРЫТЫХ публикаций на эту тему числятся 37 наименований!	172:181	0:319
директор	NN	example	22	22_директор_32170		В Лодзи в виду растраты свыше 80,000 р. застрелился директор Згержского электрического о-ва.	52:60	0:92
директор	NN	example	22	22_директор_26741		Возможно, после того как он закончит исполнять обязанности члена совета директоров, мы предложим ему одну из руководящих должностей»,— сообщила корпоративный секретарь и советник генерального директора«МегаФона» Анна Горяинова.	192:201	0:227
директор	NN	example	22	22_директор_3987		Во время«потешных» занятий Мастибан побежал к директору с воплем, что Миша его ударил.	46:55	0:86
директор	NN	example	22	22_директор_33334		Начальница виноватым взглядом посмотрела на своего взыскательного собеседника, который был на особом положении, чем прочие преподаватели, и имел возможность независимо держаться даже по отношению к директору, а с ней, мягкой и беззащитной женщиной, и вовсе не церемонился.	198:207	0:272
директор	NN	example	22	22_директор_13696		Разработчиками проекта являются: художественный руководитель ЦИМ Валерий Фокин(он же художественный руководитель данной программы), директор Александринского театра Георгий Сащенко и руководитель его научно-литературной части Александр Чепуров, главный редактор журнала«Театр» Валерий Семеновский.	132:140	0:297
директор	NN	example	22	22_директор_18212		На пресс-конференции, устроенной по случаю премьеры модели, директор по маркетингу легковых автомобилей марки Buick Марк Д. Хайнс сообщил, что компания, более ста лет выпускавшая автомобили, которые обеспечивали прежде всего удобство пассажиру, намерена ныне делать также и машины«для водителей».	60:68	0:296
директор	NN	example	22	22_директор_21566		Абрамыч, тебя послушаешь, как будто в совете директоров ЧелябЭСб сидишь стату строчишь.	45:55	0:87
директор	NN	example	22	22_директор_21116		Генеральный директор ОАО«XXX» X.X.XXX	12:20	0:37
директор	NN	example	22	22_директор_17792		В январе 1964 г. назначен Главным конструктором и руководителем опытного заводаN 918 Минавиапрома, с февраля 1992 г,-- Генеральный директор-Генеральный конструктор ОАО«Научно-производственное предприятие«Звезда».	131:139	0:212
директор	NN	example	22	22_директор_35992		…Представление кончилось; заиграли польское— и бал открывается в другом уже зале; но вдруг четверо из лицейских ветеранов останавливают весь ряд танцующих, обнимают достойного директора, благодарят его, благодарят со слезами за представление пьесы, которая служит для них доказательством, что и их преемники воспитываются в тех самых правилах, в которых они воспитывались, в правилах, которые научили нас любить отечество и добродетель более жизни, более крови своей…»	176:185	0:468
директор	NN	example	22	22_директор_23984		Опредѣленно не сказали, сколько, а по усмотрѣнию директора банка.	49:58	0:65
директор	NN	example	22	22_директор_8683		Вахтер, Пал Семенович, был ровесником директора института Дмитрия Ивановича Неведова, но по болезни, вызванной последствиями ранения, выбыл на пенсию.	38:47	0:150
директор	NN	example	22	22_директор_24908		Через пару передач меня вызвал директор и попросил, к моему глубокому удивлению, не называть Польшу, Чехословакию и других советских прихлебателей«соцстранами».	31:39	0:160
директор	NN	example	22	22_директор_23667		Директор школы был членом райкома партии.	0:8	0:41
директор	NN	example	22	22_директор_1076		Сколько я ни пытала директора музея, в какую сумму оценивается сегодня памятник Дзержинскому, ответ всегда был один-- бесценен.	20:29	0:127
директор	NN	example	22	22_директор_2775		Директор, к моему удивлению, радостно улыбнувшись, тут же поставил цифру в договор.	0:8	0:83
директор	NN	example	22	22_директор_25186		И здесь у директора ГОКа серьезные претензии к правоохранительным органам: то у них нет бензина, то кадрами не укомплектованы, то такие кадры, что лучше бы их и вовсе не было...	10:19	0:177
директор	NN	example	22	22_директор_1575		По словам директора Некоммерческого партнерства поставщиков программных продуктов Игоря Аглицкого, 90% российских разработчиков«софта»-- частные небольшие компании(до 50 программистов), и от демпинга пиратов они страдают намного сильнее заморских компаний.	10:19	0:256
директор	NN	example	22	22_директор_23480		Это директор так мою должность понимал.	4:12	0:39
директор	NN	example	22	22_директор_5658		Наделил меня этой привилегией генеральный директор«Ростсельмаша» Юрий Александрович Песков.	42:50	0:91
директор	NN	example	22	22_директор_11680		В музее директором отец(он один из его основателей, после проф. Б._М._Соколова).	8:18	0:80
директор	NN	example	22	22_директор_35652		Вызваны были русские en masse[во множестве(фр.)] для занятия мест директоров; назначены им большие жалованья, и сверх того даны им значительные подъемные деньги.	66:76	0:161
директор	NN	example	22	22_директор_37396		-- Верно, дядя твой, почтеннейший Яков Иванович!-- промолвил директор.	61:69	0:70
