lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
сторона	NN	example	22	22_сторона_80897		Я ведь знаю: воздушный ящик со всех сторон закупорен так, что в него даже воздух не проходит.	36:42	0:93
сторона	NN	example	22	22_сторона_29459		Однако музыка аргентинских предместий, которой я внезапно увлеклась, позволяла сыграть пресловутые гендерные роли иначе, примерив их как платье; положить руку на плечо, поймать неустойчивое равновесие, балансировать на острие; никогда не знать, в какую сторону сейчас качнешься, но быть уверенной в том, что в самой крайней точке тебя подхватят и, наверное, спасут.	253:260	0:365
сторона	NN	example	22	22_сторона_111348		Со стороны белых никто не знал, за что они борются.	3:10	0:51
сторона	NN	example	22	22_сторона_2035		Единственный кивок в сторону демократии: бесплатные билеты на открытую репетицию Джесси Норман будут распределены среди студентов, учителей музыкальных школ, сотрудников музеев и т. д.	21:28	0:184
сторона	NN	example	22	22_сторона_70390		Это касается и организационной стороны дела(проведение масштабного сбора материала в разных странах), и культуры систематизации материала.	31:38	0:138
сторона	NN	example	22	22_сторона_139134		Самовнушения со своей стороны боюсь.	22:29	0:36
сторона	NN	example	22	22_сторона_152216		Вновь вскочив на ноги, он метнулся из рыхлого снега, пахнущего гарью, дал резкий прыжок в сторону-- и свалился в траншею.	90:97	0:121
сторона	NN	example	22	22_сторона_206889		Миновав купель, на правой стороне той же улицы мы увидели прекрасное двухэтажное здание, оказавшееся французским монастырем, построенным на развалинах дома Богоотец Иоакима и Анны.	26:33	0:180
сторона	NN	example	22	22_сторона_57962		Было объявлено о завершении процедуры ратификации Соглашения всеми тремя сторонами.	73:82	0:83
сторона	NN	example	22	22_сторона_214126		Город Шира, столичный провинции Фарс, на восточной стороне Персидского залива.	51:58	0:78
сторона	NN	example	22	22_сторона_166586		-- местности впереди него и на флангах с целью определения возможности поражения ее из батальонного узла обороны так, чтобы каждая точка местности в полосе до 400м перед передним краем обороны находилась под действительным огнем и были предотвращены охваты со стороны противника;	260:267	0:279
сторона	NN	example	22	22_сторона_25093		Своей кинопромышленности еще нету, не знаем, с какой стороны подойти, а на западные всех сразу не пропустишь.	53:60	0:109
сторона	NN	example	22	22_сторона_158182		Все эти заявления, конечно, встречались бурей восторга со стороны правого большинства собрания...	58:65	0:97
сторона	NN	example	22	22_сторона_132379		Наконец, в лице коммунистического пролетариата всех стран она имеет на своей стороне крупные и действенные международные силы, верные ее стремлениям и понимающие ее методы.	77:84	0:172
сторона	NN	example	22	22_сторона_8362		С правой стороны стоял трельяж.	9:16	0:31
сторона	NN	example	22	22_сторона_107503		Используйте правило конструктивной обратной связи: обязательно расскажите участнику о том какие его сильные стороны вы обнаружили в ходе оценки, и только после этого сообщите ему о«зонах роста».	108:115	0:194
сторона	NN	example	22	22_сторона_30887		Полиция на нашей стороне.	17:24	0:25
сторона	NN	example	22	22_сторона_133590		Ему претили«излишества», какие он находил у западников, с одной стороны, у славянофилов-- с другой.	64:71	0:99
сторона	NN	example	22	22_сторона_206387		Это с его стороны и не было преувеличением.	10:17	0:43
сторона	NN	example	22	22_сторона_73365		Перебрасывания двух мячей по кругу(в обе стороны).	41:48	0:50
сторона	NN	example	22	22_сторона_12124		Оба одновременно развернулись и зашагали в противоположные стороны.	59:66	0:67
сторона	NN	example	22	22_сторона_213614		Пар двадцать кружилось в разные стороны, но это было лишь вступлением к еще более оживленному казачку.	32:39	0:102
сторона	NN	example	22	22_сторона_13030		И эти карточки, обступившие ее со всех сторон.	39:45	0:46
сторона	NN	example	22	22_сторона_69784		А вот если ребенок превращается в страдающую сторону, лучше всего отвести его на детский тренинг, где психологи учат и как выражать агрессию, и как отвечать на нее.	45:52	0:164
