lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
правило	NN	example	22	22_правило_42987		Они припомнили прежние строгие пуританские правила, по которым образование признавалось обязательным для каждой общины в отношении его членов и для каждого отца семейства в отношении его детей, и развили эти правила в государственную систему*.	43:50	0:243
правило	NN	example	22	22_правило_40940		Правила борьбы заключаются в том, что борцы могут как угодно хватать друг друга от головы до пояса.	0:7	0:99
правило	NN	example	22	22_правило_35230		Но из этого первого правила вытекает и второе, оно гласит, что никто не должен совершать действий, преследующих цели, не отвечающие общественной солидарности или противные ей.	20:27	0:175
правило	NN	example	22	22_правило_33170		В ходе этого пересмотра они, как правило, неожиданно«вспоминали» то, что не укладывалось в прежнюю картину их жизни, но становилось важной частью их новых представлений о себе и своем прошлом.	33:40	0:192
правило	NN	example	22	22_правило_11382		Как правило, одна зона-- одна комната.	4:11	0:38
правило	NN	example	22	22_правило_13267		Какую политику намерено проводить с марта 2004 г. новое правительство России, легко определить, сверяя ее с десятью правилами«Вашингтонского консенсуса».	116:125	0:153
правило	NN	example	22	22_правило_47163		Они получили правила и на них[нрзб.].	13:20	0:37
правило	NN	example	22	22_правило_37419		Вначале эти счастливые беглецы формировалась в партии и отсылались в Россию, но теперь, в виду крайней затруднительности сношений с Россией, решено поступать с ними иначе: первый месяц они проводят в виде общего правила в госпиталях, где приводят в порядок их расстроенное от лишений здоровье, а затем из них формируется небольшие отряды для работы на заводах, фабрикующих снаряды для России.	212:219	0:392
правило	NN	example	22	22_правило_39507		Кузнецов знал, что по существу он находится вне территории СССР, но пограничники мало с этим считались и какой-нибудь патруль мог услышать этот сигнал, тогда бродяга был бы арестован по всем правилам этого искусства, и все предшествующие или возможные в будущем неприятности бывшего лейтенанта были бы автоматически аннулированы.	191:199	0:329
правило	NN	example	22	22_правило_18672		По общему правилу капитальный ремонт жилого помещения производится наймодателем за его счет.	10:17	0:92
правило	NN	example	22	22_правило_20739		Любые спортивные-- они как правило с высоким SPF еще вдобавок...	27:34	0:64
правило	NN	example	22	22_правило_6964		Первые пуски ранее разработанных межконтинентальных ракет обычно проходили по известному правилу«первый блин комом».	89:96	0:116
правило	NN	example	22	22_правило_15219		Директор международных и специальных проектов группы компаний«Транс-Бизнес» М.А. Бузюк уделил основное внимание в своем выступлении проблеме интеграции российского контейнерного бизнеса с международным и необходимости перенятия опыта и жестких правил последнего в отечественной практике.	244:250	0:287
правило	NN	example	22	22_правило_29769		Сейчас как внешние, так и внутренние правила, регулирующие трудовые отношения, находятся в периоде интенсивной трансформации.	37:44	0:125
правило	NN	example	22	22_правило_38928		Указанный наряд истребителей не является правилом во всех случаях, а зависит от конкретной воздушной обстановки.	41:49	0:112
правило	NN	example	22	22_правило_2377		В силу своего жизненного правила-- никогда до конца не раскрывать своих козырей-- он предложил Рассказову только часть своих списков и был несказанно удивлен, когда тот, нисколько не задумываясь, предложил ему работать«вместе».	25:32	0:227
правило	NN	example	22	22_правило_40268		Отсутствіе подходящаго руководства по правописанію особенно ощутительно для учащихся потому, что они довольно скоро забываютъ большую часть свѣдѣній, сообщаемыхъ имъ учителемъ, и что такого рода обстоятельство, за неимѣніемъ въ нашей учебной литературѣ общедоступно изложеннаго систематическаго руководства по орѳографіи, которое бы удовлетворяло предъявленнымъ выше требованіямъ, неизбѣжно ставитъ преподавателя въ необходимость возможно чаще повторять съ учениками пройденныя ими правила по начертанію словъ и объ употребленіи знаковъ препинанія въ классѣ, а послѣднихъ-- въ невозможность исполнить подобнаго рода работу дома, чѣмъ задерживается успѣшность занятій по русскому языку вообще и правописанію въ частности.	482:489	0:720
правило	NN	example	22	22_правило_40579		Можно установить правило: те большевики, которые во время войны были патриотами, а после февральского переворота-- демократами, являются теперь сторонниками сталинского национал-социализма.	17:24	0:189
правило	NN	example	22	22_правило_8563		Этот вопиющий, с точки зрения правил, но единственный, на его взгляд, спасительный маневр он осуществлял быстро, уверенно, без размышлений, испытав мгновенное и острое предощущение удачи-- знакомое, редкое чувство, которое и впредь ему поможет.	30:36	0:244
правило	NN	example	22	22_правило_50090		Правда, бываютъ нѣкоторые люди такого сложенія, которые чрезъ долгое время около самихъ зараженныхъ больныхъ и мертвыхъ обращаются, и зараженное платье безъ всякаго очищенія употребляютъ, и невредимы остаются; но какъ во всѣхъ дѣлахъ, такъ и въ заразѣ есть изъятіе, которое однакожъ не дѣлаетъ общаго заключенія, и не перемѣняетъ главнаго правила: такіе примѣры и мѣжду многимъ числомъ язвою страждущихъ очень рѣдко бываютъ, слѣдственно отъ малаго числа на цѣлое общество, заключенія дѣлать не можно.	339:346	0:500
правило	NN	example	22	22_правило_20160		Выписка должна быть, как правило, не старше 1 месяца со дня получения.	25:32	0:70
правило	NN	example	22	22_правило_46881		Но положение«воля есть сама себе закон во всех своих действиях» обозначает лишь принцип-- действовать только по такому правилу, которое может иметь само себя предметом в качестве всеобщего закона; но это есть именно формула категорического императива и принципа нравственности.	119:126	0:277
