lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
голова	NN	example	22	22_голова_116920		Волна окатила Степушку с головой.	25:32	0:33
голова	NN	example	22	22_голова_140108		Вошел, повертел головой направо и налево, точно она у него была надета на кол, посмотрел углы и, найдя икону, истово трижды перекрестился да и сказал:	16:23	0:150
голова	NN	example	22	22_голова_84636		Наверное, у тебя голова не болит#))#.	17:23	0:37
голова	NN	example	22	22_голова_48593		Он чувствовал себя бодро и хорошо, голова была ясной, и хотелось по мальчишески созорничать, может быть, схватить вот эту женщину, так сильно и непрерывно влекущую, в охапку, бросить в машину и помчаться по пустым московским улицам, а затем и дальше-- в ночь, в неизвестность, пусть бы никто не смог их отыскать, пусть…	35:41	0:319
голова	NN	example	22	22_голова_182429		Смотрю, из пакета-- голова, круглая, как на шахматной пешке.	20:26	0:60
голова	NN	example	22	22_голова_225257		Вотъ наклонила голову, улыбнулась снова и снова, и оживленная, и радостная возвратилась въ гостинную.	15:21	0:101
голова	NN	example	22	22_голова_115723		Но, конечно, приходит в голову то соображение, что вся культура наша носит в себе языческий, а не христианский характер, признаки этого рокового раздвоения-- жизни и духа.	24:30	0:171
голова	NN	example	22	22_голова_118711		Такие оклады!-- сокрушенно повторял он, качая головой и, конечно, зная, что ведь я насквозь вижу его.	46:53	0:101
голова	NN	example	22	22_голова_234558		-- Чего же ты дожидаешься, Владиславъ Сергѣичъ, началъ онъ снова, приподнявъ голову и поглядѣвъ на Мережина, стоявшаго противъ него въ задумчивости:-- вѣдь я сказалъ, что не въ силахъ ѣхать съ тобой!	77:83	0:199
голова	NN	example	22	22_голова_175537		-- Пусть глупый мальчик с разбега ударится лбом в неприступные стены Джейпура и расшибет себе голову.	94:100	0:101
голова	NN	example	22	22_голова_67447		Бальмонт вскипел:«Мне остается только приставить вам свою голову вместо вашей, чтобы вы поняли!» Гиппиус, так же медленно, так же сквозь зубы ответила:«Не желала бы!»	58:64	0:166
голова	NN	example	22	22_голова_9068		Его вагон был в голове поезда, и он уже бежал, стараясь справиться с откуда ни возьмись появившейся одышкой.	16:22	0:108
голова	NN	example	22	22_голова_10095		В руках у нее был большой пластиковый стакан с чаем, а в голове-- мысли о порученном ей репортаже с проспекта Энгельса.	57:63	0:119
голова	NN	example	22	22_голова_41852		-- Настена бессильно покачала головой.	30:37	0:38
голова	NN	example	22	22_голова_212568		Она шла и несла в зубах маленького котенка, голова и задние лапки которого свешивались вместе.	44:50	0:94
голова	NN	example	22	22_голова_15344		Это дает возможность американскому президенту в ходе записи или публичного выступления менять положение головы, поворачиваться.	104:110	0:127
голова	NN	example	22	22_голова_92590		«Пришло мне тоже в взбудораженную мою голову, что роли ведь теперь окончательно переменились, что героиня теперь она, а я точно такое же униженное и раздавленное создание, каким она была передо мной в ту ночь,-- четыре дня назад...	38:44	0:231
голова	NN	example	22	22_голова_70927		Бутылку вина Фома успел выхватить у своего лучшего друга в последний момент, когда церемониймейстер делал последний штрих, гордо, как горнист, запрокидывая голову, а над ней горн-- бутылку.	156:162	0:189
голова	NN	example	22	22_голова_75257		Она обняла меня, я прижался к ней, мне было трудно: сильное сердцебиение, голова была холодная; несколько секунд я стоял, что-то непонятное, бессвязное пробормотал и упал без сознания.	74:80	0:184
голова	NN	example	22	22_голова_192256		Слышал я, что там наши кармазинники опять голову подняли...	42:48	0:59
голова	NN	example	22	22_голова_243881		При этом я, конечно, сознаю, что наша связь основана на недоразумении, и что не будь этого последнего, то и самому Алексею Степанычу вряд ли пришло бы в голову поддерживать эту связь последовательно и по собственному интимному влечению; в то же время-- не скрою этого-- я очень рад, если успеваю додуматься до чего-нибудь вроде апофеоза молчалинства, лишь бы обойти недоразумения и оправдать себя в своих собственных глазах.	153:159	0:424
голова	NN	example	22	22_голова_101330		Но самое главное заключалось в том, что российской администрации было предписано руководствоваться Уставом в своей судебной деятельности,-- и со времен Петра Россия жила по законам военного положения, и притом зверским законам-- ведь и Радищева более полувека спустя Сенат приговорил к отрублению головы именно по петровскому Воинскому уставу(Екатерина заменила смертную казнь простой ссылкой).	297:303	0:394
голова	NN	example	22	22_голова_83034		На основании личного опыта старожилы оленесовхозов полагают, что вне территории совхозов и заповедников обитает не менее 300—400 голов диких и одичавших(ушедших из совхозов) пятнистых оленей.	129:134	0:191
голова	NN	example	22	22_голова_174570		Ревизор поднял голову и сказал:	15:21	0:31
голова	NN	example	22	22_голова_219942		В заведение ездил один тупорожденный старичок, воображавший, что он гораздо лучше докторов и смотрителей знает, как надобно за больными ходить, и всякий раз приказывал такой вздор, что за него делалось стыдно; однако главный доктор с непокрытой головой слушал его до конца благоговейно и не говорил ему, что все это вздор, не дразнил его, а китайского императора дразнил.	245:252	0:371
голова	NN	example	22	22_голова_189561		Вскоре приехал с ближнего хутора какой-то старик, вырыл в головах могилы ямку, поставил на свежеоструганном дубовом устое часовню.	58:65	0:130
голова	NN	example	22	22_голова_44550		Щеки ее разрумянились, серые глаза заблестели и даже пробор светло-русых волос на голове стал темным.	82:88	0:101
голова	NN	example	22	22_голова_39935		Он забормотал совсем уже полную чепуху, а сам крестился, то есть думал, что крестится: делал такие движения, будто сдергивал рукой что-то с головы и прижимал к животу, вверх-вниз, вверх-вниз, и уже по этим движениям видно было, что он совсем сумасшедший.	140:146	0:254
голова	NN	example	22	22_голова_205368		Более часа времени просидел расстрига почти клубком на полу, а в углу горницы сидел Андреев, в двух шагах от него, с топором на голове.	128:134	0:135
голова	NN	example	22	22_голова_206746		Все оглянулись: на земле лежала и колотилась о нее головою какая-то женщина, молодая и богато одетая...	51:58	0:103
голова	NN	example	22	22_голова_212973		-- Ну а ежели,-- произнес Семен Андреич,-- голову оторвать: тогда что, какая цена?..	43:49	0:84
голова	NN	example	22	22_голова_74031		Я вспомнил рыжую шевелюру Пугачевой, и мне ничего другого не оставалось, как примерять эти ведра себе на голову.	105:111	0:112
голова	NN	example	22	22_голова_149924		Что занимало художника, когда он писал этот портрет, какие композиционные задачи преследовал С. Герасимов, когда над этой девушкой написал гипсовый слепок с античной головы?	166:172	0:173
голова	NN	example	22	22_голова_117693		Они торчали вверх, словно воткнутые в стол железные ручки, за которые отец Петерис ухватился, чтобы не уйти в кресло с головой.	119:126	0:127
голова	NN	example	22	22_голова_83688		И, медленно повернув голову в сторону своего инструктора, спрашивает:	21:27	0:69
