lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
бог	NN	example	22	22_бог_23863		Так было с церковью, первоначально основанной на стремлении к Богу и заканчивающейся сейчас спором конфессий: чей Бог лучше?	62:65	0:124
бог	NN	example	22	22_бог_23308		Боже, откуда моя банка!	0:4	0:23
бог	NN	example	22	22_бог_30933		-- Они и бога подменили нам, они все, что у них в руках, против нас направляют!	9:13	0:79
бог	NN	example	22	22_бог_3569		Сохрани бог...	8:11	0:14
бог	NN	example	22	22_бог_20053		Бог среди Своих творений произвел рай; Царство Божие, как говорит Тейяр де Шарден, уже присутствует в этом мире.	0:3	0:112
бог	NN	example	22	22_бог_22519		Мы не говорим, конечно,«умри» Богу-- но Господь на Кресте умер нашим грехом...	30:34	0:78
бог	NN	example	22	22_бог_9764		Бралась медная или стальная трубка, бог знает как и зачем попавшая в Олепино и найденная где-нибудь в мусоре.	36:39	0:109
бог	NN	example	22	22_бог_31583		Все люди, когда удят, не кричат, не разговаривают, чтобы не пугать,-- Ларион поёт неумолчно, а то рассказывает мне жития разные или о боге говорит, и всегда к нему рыба шла.	134:138	0:173
бог	NN	example	22	22_бог_35685		В бреду он говорил, что господь бог во всем великолепии снизошел на землю и на ней водворилось царствие божье, возмутительно, бесчеловечно удерживать его здесь, в юдоли слез, стенаний и вечных мук, когда он может воссоединиться с отцом и дорогими родными и пребывать в вечном блаженстве и чистейшей радости.	32:35	0:307
бог	NN	example	22	22_бог_39204		Лучшее от стад наших богу Килору.	21:25	0:33
бог	NN	example	22	22_бог_44246		И поспешил Пипо Розетти к выходу поглядеть, кого это господь бог, не забывающий своего Пипо, подкинул«Конкордии».	61:64	0:113
бог	NN	example	22	22_бог_67206		Вот, батюшка Петр Авдеевич, дождемся снежку да доживем, бог даст, до святок; на евтих-то местах зверья бывает такое множество, что отбоя нет суседним деревням; коли милости вашей да захочется поохотиться, уж я вам доложу, барин, охота будет отменная.	56:59	0:250
бог	NN	example	22	22_бог_62470		Былъ я въ Москвѣ и думалъ: авось, богъ милостивъ, увижу гдѣ нибудь чинно сидящаго моего черного друга, или въ креслахъ театральныхъ или въ рестораціи за бутылкой.	34:38	0:162
бог	NN	example	22	22_бог_44087		Вот он, бог-то, страдать заставляющий.	8:11	0:38
бог	NN	example	22	22_бог_62211		Это какая-то смесь, букет какой-то, составленный из запаха капусты, кислых полушубков и дегтярных сапог, смешанный с запахом живого человеческого тела, и притом такого тела, которое бог знает с которых пор не было в бане и страдает изнурительной испариной; только испарина эта уж остыла и прокисла.	182:185	0:298
бог	NN	example	22	22_бог_27324		-- Не боги горшки обжигают, милый Егор Иванович.	6:10	0:48
бог	NN	example	22	22_бог_58586		Счастлив твой бог, что я сама тут виновата, позволила Фетинье ходить одной, а то досталось бы тебе на орехи!	14:17	0:108
бог	NN	example	22	22_бог_35855		Джованни наблюдал за выражением человеческой слабости в лице учителя и, вспоминая слова одного из поклонников Леонардо:«новый бог Гермес Трисмегист соединился в нем с новым титаном Прометеем»,-- думал с улыбкою:	126:129	0:211
бог	NN	example	22	22_бог_56679		Плетни устроены из кустов кактуса и алоэ: не дай бог схватиться за куст-- что наша крапива!	49:52	0:91
