lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
раз	NN	example	22	22_раз_155595		«Мне хочется пережить еще раз мысленно наш быстротечный контакт с Игорем на ковре, о котором я мечтала с институтских лет!»	26:29	0:123
раз	NN	example	22	22_раз_237061		Мы прожили там с неделю, ходили три раза на собрания социал-демократов, происходившие в большой зале какого-то ресторана, устроенной в виде аудитории с рядами скамей и с проходами между ними.	36:40	0:191
раз	NN	example	22	22_раз_167300		При доступе кислорода он возрастает в 4,3 раза, достигая 0,18939, в то время как у Saccharomyces в той же обстановке коэффициент геометрического роста слабо увеличивается(от 0,21529 до 0,287669).	42:46	0:195
раз	NN	example	22	22_раз_222438		Я помню, как за два часа до спектакля я раз пятьсот повторил эту фразу на тысячу ладов, и, выйдя на сцену, не зная, на каком из этих ладов остановиться, я промолчал все несколько минут, которые я был на сцене.	40:43	0:209
раз	NN	example	22	22_раз_218532		В помещенном здесь обращении к своему великому учителю В. О. пишет(W. Kowalewsky, 1874):«Плодотворное влияние Ваших мудрых идей на все отрасли естественных наук должно было, естественно, встретить наибольший отзвук в палеонтологии и геологии, ибо как раз в пластах земли, таящих в себе угасшие«звенья великой цепи», должны были бы мы искать положительные, недвусмысленные доказательства в пользу основанной Вами десцендентной[т. е. эволюционной.	251:254	0:445
раз	NN	example	22	22_раз_226990		Он уже раз умирал и таким образом расплатился за первую осечку...	7:10	0:65
раз	NN	example	22	22_раз_131814		На высоте 22 км атмосфера достаточна разрежена-- плотность воздуха почти в 20 раз меньше, чем у земли.	37:40	0:102
раз	NN	example	22	22_раз_78928		Еще сильнее, чем старшими, владело молодежью чувство, что жизнь им дана только раз, и что в навязанном им, выпавшем им в удел одиночестве, если уж все равно практические успехи недостижимы, если их существование-- не движение, а затянувшаяся остановка, должны они по крайней мере взглянуть судьбе прямо в глаза: кто мы? откуда? куда? что мы делаем на земле? по чьей воле или по чьей слепой и жестокой прихоти брошены мы в мир?	79:82	0:426
раз	NN	example	22	22_раз_179843		Куда-а?-- еще раза два прошептали сонные губы, и, не дождавшись ответа, она заснула.	14:18	0:84
раз	NN	example	22	22_раз_383		-- Где гарантии, что на волне борьбы с терроризмом мы не усилим в разы спецслужбы, по-прежнему не получив ни увеличения их ответственности, эффективности и т.д.?	66:70	0:161
раз	NN	example	22	22_раз_43193		Я замечала не раз, что, оказавшись у нее в комнате, я мгновенно успокаивалась после любой передряги, словно самый воздух был там целителен, обращен ко мне, повернут ко мне, как обращена и повернута ко мне была вся полнота Фридиного внимания.	14:17	0:241
раз	NN	example	22	22_раз_198509		В реке Чермашне водилось непостижимое количество матерого рака,-- рвались бредни, и деревенские мальчишки, купаясь, бывали не раз ими щипаны за животы и другие места.	126:129	0:166
раз	NN	example	22	22_раз_183528		Каламбур явился сам собою, внезапно и заставил Клима рассмеяться, а Борис, неестественно всхрапнув, широко размахнувшись, ударил его по щеке, раз, два, а затем пинком сбил его с ног и стремглав убежал, дико воя на бегу.	107:110	0:219
раз	NN	example	22	22_раз_202991		Состоявшиеся по этому поводу обмен мыслей между государственными людьми, сопровождавшими Их Величества, дал возможность лишний раз отметить твердое намерение поддерживать вековые традиции, существующие между обеими странами.	127:130	0:224
раз	NN	example	22	22_раз_3020		Только в VIII веке до н.э. в результате сложной бильярдной комбинации, в очередной раз столкнувшись с Марсом и разрушив его атмосферу, Венера заняла устойчивое место на небосклоне.	83:86	0:180
раз	NN	example	22	22_раз_164187		Филиппова сказала, что обязательных курсов повышения квалификации, которые педагоги должны раз в пять лет проходить, недостаточно для того, чтобы быть в курсе всего нового и прогрессивного:«Именно поэтому администрация учреждения изыскивает средства и отправляет нас на дополнительные обучающие семинары еще и по обмену опытом в соседние регионы, где мы от коллег много нового, полезного узнаем, а по приезде начинаем наших управленцев теребить, чтобы и нам такие же методики и технологии внедрить.	91:94	0:498
раз	NN	example	22	22_раз_152629		Я стал скучать в тысячу раз больше.	24:27	0:35
раз	NN	example	22	22_раз_170475		Я же с ним ни разу не ссорился, но неприязнь моя к нему настолько велика, что достаточно малейшего повода для взрыва.	14:18	0:117
раз	NN	example	22	22_раз_184384		Странное дело-- за все время пребывания на фронте я не видел ни одного убитого человека, а под огнем врага побывал не раз.	118:121	0:122
раз	NN	example	22	22_раз_156535		Как будто человек сидел за компьютером, работал себе спокойно, а потом вдруг-- раз!	79:82	0:83
раз	NN	example	22	22_раз_254120		Все это делалось в течение целого лета, но дабы не дробить происшествий, я о каждом из них в один раз сказал все то, что сказать надлежало.	98:101	0:139
раз	NN	example	22	22_раз_88007		Вот мы один раз пошли с Димочкой купаться на Щучье озеро, они говорили«пойти на Щуку».	12:15	0:86
раз	NN	example	22	22_раз_189483		Петр и на этот раз утешал себя и свое правительство надеждой, что неудача на юге укрепит другую сторону, северный фронт, несравненно более важный.	15:18	0:146
