lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
время	NN	example	22	22_время_427971		Я внимательно смотрел на Лиду,-- на ее красный рот, на ее глаза, принимавшие время от времени какое-то сонно-влажное выражение, на ритмическое покачивание ее узкого тела, которым она сопровождала свое пение.	77:82	0:207
время	NN	example	22	22_время_575215		Ум, утомленный одною постоянною мыслию в течение дня, естественно, стремится к иным мыслям во время ночи.	94:99	0:105
время	NN	example	22	22_время_560411		Около этого времени в среде кочевников алтайских и Северного Туркестана, по всей вероятности, произошли те же перевороты, которые в XII веке совершились в среде родственных им и еще далее к востоку обитавших татаро-монгольских орд, то есть, возвышение какого-либо ханского рода и объединение под его верховенством значительной части турецких племен.	12:19	0:349
время	NN	example	22	22_время_197570		К тому времени, когда Хрущев вернулся из Англии, осужденный уже отсидел год, и его освободили-- разглашенное им перестало быть государственной тайной.	7:14	0:150
время	NN	example	22	22_время_466900		В отечественную 1812 года войну, во время отступления французов, когда незабвенною заслугою партизана Сеславина, открывшего намерение Наполеона броситься на хлебородную калужскую губернию, и геройским подвигом Дохтурова, с своим корпусом отстоявшего Мало-Ярославец, который восемь раз был взят приступом неприятелем и девять раз Дохтуровым, Наполеон был отброшен на знакомую ему смоленскую дорогу, в край, им разоренный, наш авангард, под начальством графа Милорадовича, подошел к Колоцкому монастырю.	36:41	0:501
время	NN	example	22	22_время_74786		Поглядывая время от времени на небо, ярл и Анна сели на коней и поднялись из ложбины.	11:16	0:85
время	NN	example	22	22_время_63552		Связали скарб в два узелка, со вздохом оглядели на прощанье сырые стены и направились к девятому, если считать от лунки, залому, где начинался лаз, прокопанный наверх каталами еще в незапамятные времена-- к притулившемуся на сволочанском берегу ветхому кружалу...	195:202	0:263
время	NN	example	22	22_время_96147		Новая столица, возросшая в«немецком» кубическом помещении Нового времени, его только приветствует.	65:72	0:98
время	NN	example	22	22_время_511514		Тут чуть-чуть оживился, тут едва развернулся мертвенный в обычное время городок.	66:71	0:80
время	NN	example	22	22_время_239097		Машина имитировала работу авиаподразделений в различных режимах, вырабатывала координаты пожаров и время их возникновения с точностью до минуты, определяя площадь очага к моменту очередного облета и даже«решала», стоит ли высаживаться десантникам.	99:104	0:247
время	NN	example	22	22_время_488080		Отдать якорь!» Не прошло минуты, какъ пароходъ дрогнулъ отъ напряженія цѣпи забравшаго якоря, и медленно повернулся нѣсколько по направленію вѣтра; въ то же время за лѣвымъ бортомъ послышался трескъ, и нижняя часть одного колеса разлетѣлась въ дребезги.	157:162	0:253
время	NN	example	22	22_время_242762		Рассказывают, что первый и единственный до 1992 года-- времени наступления совсем лихого«беспредела» и беззастенчивой продажности-- побег из Бутырской тюрьмы удалось совершить как раз в 1906 году только Гарри Гудини-- американскому артисту-эскейпологу(то есть специалисту по всяческим«освобождениям») с настоящим именем Эрих Вайс.	55:62	0:330
время	NN	example	22	22_время_31729		-- Почему вы все время врете?-- закричала Калугина.	17:22	0:51
время	NN	example	22	22_время_49145		Крито-микенская культура в своё время захватила и Кипр, а если я не ошибаюсь, носители той культуры переняли фаюмскую мозаичную технику.	32:37	0:136
время	NN	example	22	22_время_411081		Во время одного из своих разбегов, когда ему пришлось быстро попятиться задом, чтобы уклониться от настигавшего его парня, злополучный Кибер, со всего маха сшиб пятилетнюю крестьянскую девочку, зазевавшуюся на играющих.	3:8	0:219
