lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
лицо	NN	example	22	22_лицо_86095		Неграждане, соответственно, это лица, не имеющие эстонского гражданства, в частности-- граждане России и люди без гражданства, то есть граждане СССР.	32:36	0:149
лицо	NN	example	22	22_лицо_9809		Лицо у третьего пошло пятнами.	0:4	0:30
лицо	NN	example	22	22_лицо_4075		Она жестоко тормошила его, напрашиваясь на боль, а мужик, шатаясь и поводя опущенной башкой на толстой, как коряга, коричневой шее, попробовал сперва разнять обвившее кольцо,-- но при взгляде на сердитое лицо жены, похожее на грузный пакет в авоське, его дурацкая ухмылка налилась торжеством.	204:208	0:292
лицо	NN	example	22	22_лицо_273664		На лице Джузеппе еще раз явилась его особенная улыбка.	3:7	0:54
лицо	NN	example	22	22_лицо_53837		Ручей прыгал по камням у самого лица.	32:36	0:37
лицо	NN	example	22	22_лицо_89392		Михаська внутренне содрогнулся от мысли, что, может быть, Савватей проведет сейчас по его лицу этими грязными лапами-- была у него такая любимая привычка,-- и, не зная, что делать, приготовился к самому ужасному.	90:94	0:212
лицо	NN	example	22	22_лицо_134077		Армия роптала и впервые не постеснялась кричать императору в лицо нелестные эпитеты...	61:65	0:86
лицо	NN	example	22	22_лицо_1883		Жена лупит его по лицу.	18:22	0:23
лицо	NN	example	22	22_лицо_247503		И вот тогда-то я ложился на свою постель, лицом к саду, и, закрывшись, сколько возможно было, от комаров и летучих мышей, смотрел в сад, слушал звуки ночи и мечтал о любви и счастии.	42:47	0:182
лицо	NN	example	22	22_лицо_108132		Он затряс головой и отчетливо увидел лицо того ублюдка, посиневшее, вздутое...	37:41	0:78
лицо	NN	example	22	22_лицо_113289		Удивленные лица, Наталья явно не врубается в ситуацию, Лоринков соображает быстрее, толчком корпуса сбивает девушку в стог, видно со стороны, как они там копошатся…	11:15	0:164
лицо	NN	example	22	22_лицо_225118		Если вы имеете университетский диплом или свидетельство о том, что были в одном из высших учебных заведений-- одно это обстоятельство заграждает вам путь: в любом присутствии по крестьянским делам вы найдете секретное предписание о недопущении в писаря лиц с высшим образованием.	253:256	0:279
лицо	NN	example	22	22_лицо_257803		Лицо его было бледно и осунулось, виски впали, глаза были больше, темнее, неподвижнее, точно чужие, и выражали невыносимое душевное страдание.	0:4	0:142
лицо	NN	example	22	22_лицо_194187		«За распространение в печати заведомо ложных сведений о высших должностных лицах...»	75:80	0:84
лицо	NN	example	22	22_лицо_171216		Что за этими обѣщаніями, кромѣ слов и скрытаго желанія расколоть крестьян, нѣт реальнаго содержанія, видно хотя бы из того факта, что послѣ провозглашены лозунга«лицом к деревнѣ» прошло уже не мало времени, а результатов никаких.	162:167	0:229
лицо	NN	example	22	22_лицо_46768		Георгию Николаевичу была поручена ответственная роль: так захватить своими рассказами юных артистов, чтобы лица их то весело светлели, то хмурились, то сверкали бы от смеха.	107:111	0:173
лицо	NN	example	22	22_лицо_159793		Царевич сравнивал невольно эти два лица.	35:39	0:40
лицо	NN	example	22	22_лицо_158847		Этот пришелец из Урбино, мечтательный отрок, с лицом непорочной Мадонны, казавшийся ангелом, слетевшим на землю, как нельзя лучше устраивал свои земные дела: расписывал конюшни римскому банкиру Агостино Киджи, готовил рисунки для его посуды, золотых блюд и тарелок, которые тот, после угощения папы, бросал в Тибр, дабы они больше никому не служили.	47:52	0:349
