lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
мир	NN	example	22	22_мир_184067		И выходит из этого либо явная ложь, либо смех, либо бессмыслица, ибо нет в мире положения ужаснее положения Ювенала, задавшегося темою«бичевать» и недоумевающего, что ему бичевать, задавшегося темою«приветствовать» и недоумевающего, что ему приветствовать.	75:79	0:256
мир	NN	example	22	22_мир_104378		Кант называл это«раскаянием совести», неразрешимым нашими чувствами, бессильными перед необходимостью повернуть мир вспять.	112:115	0:123
мир	NN	example	22	22_мир_64611		Сегодня ряды участников антивоенного движения невозможно представить без религиозных деятелей и объединений, считающих своим долгом отстаивать идеалы мира в составе широкой коалиции сил, выступающих на этом благородном, жизненно важном для человечества поприще.	150:154	0:261
мир	NN	example	22	22_мир_96586		Апостол Павел нам говорит, что Бог пришел спасать нас, когда мы были Ему врагами, когда мы стали рабами и служителями Его противника и под его наущением начали и продолжали разрушать стройность и красоту этого мира и осквернять его святость.	210:214	0:241
мир	NN	example	22	22_мир_54599		Это осуществлялось впервые в мире.	29:33	0:34
мир	NN	example	22	22_мир_26975		Но может быть, что нибудь и другое: в мире, начиненном скрытым огнем, надо быть реалистом и философом, нужно поддерживать психическое равновесие, иметь надежную и точную опору под ногами на скользящей земле, где поэзия добра и любви и величайшие достижения науки соседствуют с животными, первобытными инстинктами, где бесконтрольная власть всегда достается людям с извращенной и больной психикой, нацеленной прежде всего на достижение власти, а потом уж удержание ее любой ценой, но, очевидно, здесь ничего не переменить, сколько бы хороших и умных слов ни говорилось…	38:42	0:568
мир	NN	example	22	22_мир_25904		Вагон гудел малоросским выговором, смехом, чуждый счастливый мир ехал вместе со мной, москвичом, затерявшимся между производственных посылов.	61:64	0:141
мир	NN	example	22	22_мир_28770		Мир стоял на пороге термоядерной войны, а мы преспокойно готовили ракету для пуска в сторону Марса, в надежде удовлетворить извечное любопытство человечества.	0:3	0:158
мир	NN	example	22	22_мир_127986		И-- что такое смерть?» Но не слишком«теургически», т.-е. не всерьез, а... талантливо; 5) стал набивать себе оскомину на так называемой борьбе с мещанством:«положительно, посрамление буржуазии стало теперь самым буржуазным занятием»; 6) слегка затосковал по исчезнувшем из жизни фанатизме:«и мы каждый остались с десятью аршинами, и все они разные, и это самое страшное, это полный разгром» и пр.; а в сущности был доволен; 7) слегка примирился на том, что выхода вообще нет:«В этом-то и суть, что Передонов*-- я, и что от Передонова я могу избавиться не социальными реформами, не теми или иными преобразованиями мира, а только уничтожением мира»; 8) стал посмеиваться по этому поводу над романтикой и мировой проблематикой:«мировые вопросы и титанические жесты теперь уже никого не прельстят»; 9) стал малевать сажей на стене готтентота, им пугать свою аудиторию, сим испугом прикрывать европеизирующуюся мещанскую культуру и примирять с нею.	612:616	0:942
мир	NN	example	22	22_мир_121270		Однако ведь и платоновские идеи никоим образом нельзя рассматривать как вполне трансцендентные действительности, ее бесполезно лишь удвояющие, напротив, мир только и существует через причастность(μέθεξις) идеям, составляющим подлинно, вечно сущее(τò οντως, αει όν) в бывающем и становящемся(γιγνόμενον).	153:156	0:303
мир	NN	example	22	22_мир_47359		Однако чего не случается в подлунном мире!	37:41	0:42
мир	NN	example	22	22_мир_40796		И мнится Кондрату ликующее марево огней над Москвой, и видит он грозный и гневный мах алого полотнища, распростертого над Кремлем, над безбрежным миром, в котором так много льется слез из глаз вот таких же трудяг, как и Кондрат, живущих за границами Советского Союза.	82:85	0:267
мир	NN	example	22	22_мир_61594		Речь, которую мы публикуем, была написана по случаю присуждения М.Шперберу Премии мира Немецкого объединения книготорговли осенью 1983 г.	82:86	0:137
мир	NN	example	22	22_мир_149375		От этого они не страдали совершенно, возможности сравнительного суждения у них не было: слово«мир»,-- если бы оно возникло в их представлении,-- не заключало бы в себе ничего, выходящего за рамки их собственного существования.	94:97	0:226
