lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
форма	NN	example	22	22_форма_18864		Так же, как и развивающая программа для младших школьников«Уроки психологического развития»[10],[11], программа психологического развития для младших подростков основывается на необходимости учета естественного хода развития познавательной деятельности от глобально-дифференцированного отражения объектов и явлений действительности ко все более расчлененным и дифференцированным ее формам(Я.А. Коменский, Э. Клапаред, Ж. Пиаже, Н.И. Чуприкова, Н.Н. Поддьяков).	382:388	0:460
форма	NN	example	22	22_форма_59042		Этим объясняется то, что не только Калбинский хребет, но и сам Алтай не имеют характерного рельефа молодых складчатых гор в виде нескольких параллельных горных цепей, отделенных друг от друга продольными долинами, а представляют сложный комплекс плато, коротких кряжей и горных групп, возникших при расчленении почти-равнины разломами и при перемещениях отдельных участков ее, в виде глыб земной коры разной величины и формы, относительно друг друга.	419:424	0:450
форма	NN	example	22	22_форма_48196		Форма свидетельств и специальной надписи устанавливается Правилами ведения Единого государственного реестра прав.	0:5	0:113
форма	NN	example	22	22_форма_62914		На пороге стоял Бирон в парадной форме.	33:38	0:39
форма	NN	example	22	22_форма_48262		В заявлении подтверждается, что учредительные документы созданных путем реорганизации юридических лиц соответствуют установленным законодательством Российской Федерации требованиям к учредительным документам юридического лица данной организационно-правовой формы, что сведения, содержащиеся в этих учредительных документах и заявлении о государственной регистрации, достоверны, что передаточный акт или разделительный баланс содержит положения о правопреемстве по всем обязательствам вновь возникшего юридического лица в отношении всех его кредиторов, что все кредиторы реорганизуемого лица уведомлены в письменной форме о реорганизации и в установленных законом случаях вопросы реорганизации юридического лица согласованы с соответствующими государственными органами и(или) органами местного самоуправления;	257:262	0:808
форма	NN	example	22	22_форма_64755		Снежная улица, свет фонарей, чувство движения вперед при езде(в произведении этого чувства принимали участие не только зрительные, но и двигательные представления)-- все это мгновенно смешивается в какой-то неопределенный трепещущий хаос, из которого после того, как сознание снова вернулось к роли пассивного созерцателя, выделился ряд серых куч(начиная с большой, они постепенно становятся все меньше и меньше), формой похожих на жилища термитов.	414:420	0:448
форма	NN	example	22	22_форма_24770		Люди все молодые, рослые, здоровые, многие из них были одеты в форму десантников, с кинжалами и финками на поясах.	63:68	0:114
форма	NN	example	22	22_форма_33606		Специалисты института проводят здесь эксперименты по отбору высокоустойчивых сортов и форм плодовых деревьев и кустарников для культивирования в Сибири и их селекции по признакам морозоустойчивости и зимостойкости.	86:90	0:214
форма	NN	example	22	22_форма_13789		Наверно, было безумием говорить все это людям в военной форме, в большинстве незнакомым, которые смотрели на него в ошеломлении.	56:61	0:128
форма	NN	example	22	22_форма_34776		В этом случае осуществляется внедрение формы организации сверху, что вызывает консервативное сопротивление«низов».	39:44	0:114
форма	NN	example	22	22_форма_30747		То есть часть мелких переходит на хищное питание, происходит рывок роста-- и они превращаются в крупную хищную форму.	111:116	0:117
форма	NN	example	22	22_форма_91190		Полога имеют форму опрокинутого ящика и вешаются на вбитые в землю колышки.	13:18	0:75
форма	NN	example	22	22_форма_38155		К поразительному действию L-аспарагиназы на некоторые формы лейкозов животных приковано сейчас внимание онкологов всего мира.	54:59	0:125
форма	NN	example	22	22_форма_11663		Форму военного лейтенанта надел сам не знает для чего.	0:5	0:54
форма	NN	example	22	22_форма_12953		Я купила ему пальто за 50 рублей и новую форму.	41:46	0:47
форма	NN	example	22	22_форма_30523		Он допускает возможность альтернативных форм образования, альтернативных учебников, учебных курсов и так далее, отменена цензура-- многие из вас, конечно, этого не помнят, а я сама в 1988 году ходила с последним учебником по истории на Старую площадь, в ЦК КПСС, за разрешением.	40:44	0:278
форма	NN	example	22	22_форма_46027		Карнавал выработал целый язык символических конкретно-чувственных форм-- от больших и сложных массовых действ до отдельных карнавальных жестов.	66:70	0:143
форма	NN	example	22	22_форма_16115		Утверждены атрибутика и форма одежды членам ЦКВ, не проходящих военную службу.	24:29	0:78
