lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
правительство	NN	example	22	22_правительство_39676		Милюков перечислял все вины правительства, побежденного советами, его«капитуляции» перед идеологией социалистических партий, и циммервальдистами: капитуляции в армии, во внешней политике, перед утопическими требованиями рабочего класса, перед крайними требованиями национальностей.	28:41	0:281
правительство	NN	example	22	22_правительство_46184		Campo»-- Швейцарское правительство, которое на этихъ дняхъ вновь высказалось противъ признанiя совѣтской Россiи рѣшительно дѣйствуетъ противъ всякихъ агитаторовъ, которые хотѣли бы внести въ жизнь Швейцарiи смуту и волненiя, мѣстомъ дѣйствiя которыхъ, послѣ Испанiи и Францiи, нынѣ становятся Бельгiя и сѣверная Африка.	21:34	0:319
правительство	NN	example	22	22_правительство_49194		В редакции газет, и в«Новую жизнь, в частности, стекались десятки заводских и полковых резолюций по поводу ноты-- с решительными требованиями немедленной отставки Милюкова или Временного правительства.	187:200	0:201
правительство	NN	example	22	22_правительство_39268		Это чувство еще обострилось той ненавистью к правительству и теми тяжкими подозрениями против власти, которые глубоко запали в народную душу.	45:58	0:141
правительство	NN	example	22	22_правительство_54790		Идут военные действия между юнкерами, поддерживающими Временное правительство, и солдатами гарнизона, стоящими за большевиков.	64:77	0:126
правительство	NN	example	22	22_правительство_10329		Москвичи вообще ничего не платят-- московское правительство берет эти расходы на себя.	46:59	0:86
правительство	NN	example	22	22_правительство_60312		Признаюсь, я не понимаю правительства, которое так поступает!..	24:37	0:63
правительство	NN	example	22	22_правительство_26474		Греф пытался бороться с общеизвестными административными барьерами, но не смог преодолеть свой персональный административный барьер в лице аппарата правительства.	148:161	0:162
правительство	NN	example	22	22_правительство_32515		Автором этого законопроекта был граф В. А. Бобринский, который преследовал цель не только помощи пострадавшим, но и принципиального осуждения террора, т. е. представлял собой тот акт, который правительство тщетно ожидало от Первой и Второй Думы.	192:205	0:245
правительство	NN	example	22	22_правительство_16428		Правительство между тем отказалось прислушаться к рекомендациям межпартийной парламентской комиссии, предложившей компромиссный вариант, и продолжает настаивать на первоначальном решении.	0:13	0:187
правительство	NN	example	22	22_правительство_5475		Прогулка по Чите: дом, где было правительство ДВР(столица государства, хе-хе!).	32:45	0:79
правительство	NN	example	22	22_правительство_46975		Правительство, возглавляемое Керенским, не только«отделяло» себя от«левой» части Совета Республики, но явно шло ей наперекор.	0:13	0:125
правительство	NN	example	22	22_правительство_28364		По мнению Геннадия Зюганова, ставить вопрос о недоверии правительству имеет смысл,«если под этим требованием подпишутся 190-200 депутатов».	56:69	0:139
правительство	NN	example	22	22_правительство_25695		Когда КПРФ поставила вопрос о вотуме недоверия правительству Путина-- Касьянова, то за недоверие проголосовало 172 депутата, против высказались лишь 163, а более сотни пропрезидентских депутатов просто побоялись выявить свою позицию.	47:60	0:233
правительство	NN	example	22	22_правительство_12035		Пожалуй, главной целью Правительства РФ с подачи РАО«Газопром» и региональных компаний по реализации газа было освобождение договора газоснабжения от публичности, но судебная практика пошла по иному пути, признавая данный договор публичным, применяя к нему правила ст. 426 ГК РФ.	23:36	0:279
правительство	NN	example	22	22_правительство_44278		По статье первой соглашения, русское правительство соглашается на восстановление власти китайского правительства в Манчжурии, которая остается составной частью Китайской империи.	37:50	0:178
правительство	NN	example	22	22_правительство_33286		Русское правительство стало зазывать в Россию иностранных колонистов&quot;для расширения в ней торговли и промышленности&quot;, как это говорилось в манифесте еще императрицы Елизаветы Петровны.	8:21	0:194
правительство	NN	example	22	22_правительство_9782		ПРАВИТЕЛЬСТВО ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ КОМИТЕТ ТАРИФОВ И ЦЕН	0:13	0:64
правительство	NN	example	22	22_правительство_38073		В мире-- шухер, вызванный нашим соглашением с иранским правительством и созданием смешанного советско-иранского нефтяного общества(соглашение опубликовано сегодня в«Правде», сидели из-за него до 8 ч. утра-- оно поступило около 4 ч. утра).	55:69	0:238
правительство	NN	example	22	22_правительство_43134		В виду чрезвычайно распространившегося искусного превращения серебряных четвертаков в 10-рублевые золотые, правительство решило изъять из обращения серебряную монету 25 коп. достоинства.	107:120	0:186
правительство	NN	example	22	22_правительство_10530		Эти вопросы волнуют и федеральное правительство.	34:47	0:48
правительство	NN	example	22	22_правительство_49471		Это были акты растерянных и колеблющихся лидеров, которые уклонялись от политической солидарности с правительством, но оставляли его у власти; которые боялись попасть в сети корниловцев, но оказывали им техническое содействие.	100:114	0:226
правительство	NN	example	22	22_правительство_43212		Китайское правительство заключило с американским нефтепромышленным обществом«Standart Oil Company» договор об образовании американо-китайского общества для разработки нефти.	10:23	0:173
правительство	NN	example	22	22_правительство_27541		И другого способа расстаться с ним, кроме как передачей функций Госкомстата все тому же Минэкономразвития, в правительстве не нашли.	109:122	0:132
правительство	NN	example	22	22_правительство_57583		После того правительство со стороны общественного мнения получало щелчок за щелчком.	11:24	0:84
правительство	NN	example	22	22_правительство_41232		Группа бельгийских капиталистов обратилась к правительству за разрешением покрыть южный берег Крыма сплошной сетью санаторий и разного рода курортных заведений для всех классов общества, при непременном условии проведения ими за свой счет электрического трамвая от Севастополя до Ялты и дальше.	45:58	0:294
правительство	NN	example	22	22_правительство_39780		Так прошло время до 26-го, когда Керенский, после интимного разговора с Савинковым, разговора, в котором по-видимому звучала скрытая угроза, согласился представить законопроект в тот же день на обсуждение Временного правительства.	216:229	0:230
правительство	NN	example	22	22_правительство_53205		И мне оставалось охранять русские дела против подрывной работы Свидерских, используя лишь те преимущества, которые предоставлялись мне не русским, а французским правительством, а именно: отправка шифрованных телеграмм исключительно за моей подписью и письменное сношение с французским правительством только на моих бланках.	161:175	0:323
правительство	NN	example	22	22_правительство_30894		«Законопроект содержит основные положения, с которыми не согласуется позиция правительства РФ»,-- говорится в заключении, подписанном вице-премьером, министром финансов Алексеем Кудриным.	77:90	0:187
правительство	NN	example	22	22_правительство_57655		Такой исторический момент, когда весь существующий порядок, с правительством во главе, открыто заявляет свою полную несолидарность в интересами какой бы то ни было части населения является для правительства роковым моментом, а для всех оппозиционных партий-- проверочным испытанием их политической зрелости, их практичности, их способности служить родной стране.	62:76	0:362
правительство	NN	example	22	22_правительство_56661		Правительству произвести эту оценку не только трудно, но даже невозможно, как это было доказано во 2-ой записке; дворянству же, напротив, исполнить сие дело даже не весьма трудно.	0:13	0:179
правительство	NN	example	22	22_правительство_30825		После этого открываются двери и для парламента, и для правительства, и для всех других союзных структур.	54:67	0:104
правительство	NN	example	22	22_правительство_44315		Туркестанское общество сельского хозяйства, обсуждая вопрос о мерах борьбы с саранчой в пределах бухарского ханства, пришло к заключению о необходимости коренного переустройства бухарского и хивинского ханств на началах возвещенных Временным Правительством и отправило телеграмму на имя министра иностранных дел П. И. Милюкова следующего содержания:«Приветствуя раскрепощение граждан великой России на началах свободы, равенства и братства Туркестанское общество сельского хозяйства обращается к вам, как министру иностранных дел, с вопросом, будут ли эти высокие принципы распространены также на бесправную угнетенную массу населения бухарского и хивинского ханств.	242:256	0:666
правительство	NN	example	22	22_правительство_64648		Для совокупности дѣйствій правительства и мѣстнаго представительства,-- говорится въ циркулярѣ,--«существуютъ училищные совѣты: значеніе и права ихъ должны быть уважаемы.	26:39	0:170
правительство	NN	example	22	22_правительство_41096		Чилийское правительство отправило к острову Хуан-Фернадец три контр-миноносца с запечатанными приказами, в целях обеспечения строгого нейтралитета в виду пребывания там германских судов.	10:23	0:186
