lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
женщина	NN	example	22	22_женщина_16314		Я смотрел на двух красивых молодых женщин-- странно было сознавать, что это мои дочери.	35:41	0:87
женщина	NN	example	22	22_женщина_20440		Партия, состоявшая почти исключительно из женщин-- молодых специалисток и студенток, веселых, жизнерадостных, музыкально одаренных.	42:48	0:131
женщина	NN	example	22	22_женщина_72325		Но вот реформы не прижились-- в стране началось восстание, среди лозунгов которого значилось восстановление ряда запретов, как то: запрета женщинам стричься по моде, открывать лицо и кисти рук, а мужчинам-- носить европейские шляпы(все это Аманулла разрешил).	139:147	0:259
женщина	NN	example	22	22_женщина_32814		Женщина делает еще несколько шагов, и яркое солнце, ударив в глаза красноармейца, заставляет его зажмуриться...	0:7	0:111
женщина	NN	example	22	22_женщина_85160		Лишь только они остались одни, женщина скинула платок с головы и лица и, опустившись перед Анной Иоанновной на колени, воскликнула:	31:38	0:131
женщина	NN	example	22	22_женщина_142271		Так или иначе, Катерина Бартон была одной из образованнейших и прекраснейших женщин своего времени.	77:83	0:99
женщина	NN	example	22	22_женщина_88688		Привез их с фронта Кузьма Кузьмич-- согласно жесткому приказу командира полка: хоть самому сдохнуть, но обеих женщин эвакуировать не по железной дороге, но непременно пароходом.	110:116	0:177
женщина	NN	example	22	22_женщина_104407		Поэтому, если женщина, кормящая грудью, употребляет спиртные напитки, то она отравляет ими и ребенка, которого она кормит.	14:21	0:122
женщина	NN	example	22	22_женщина_54931		Прочитала Вашу историю и как-то стало даже, извините, приятно, что есть такие молодые(независимо от возраста), жизнерадостные и сильные женщины.	136:143	0:144
женщина	NN	example	22	22_женщина_41562		Погодите минуту,-- геолог принес старую книгу, нашел нужную страницу и прочитал:--«Женщина есть ехидна, и скорпион, и лев, и медведь, и василиск, и аспид, и похоть несытая, и неправдам кузнец, и грехам пастух, и вапыкательница.	83:90	0:227
женщина	NN	example	22	22_женщина_33871		И, вероятно, пожалев его, одна деревенская женщина запунцовела и влезла в этот автомобиль.	43:50	0:90
женщина	NN	example	22	22_женщина_36092		Не случайны и эти бесчисленные пьяные и хулиганы, не дающие женщинам проходу в вечерние и праздничные часы-- никакой милиции на них не хватит, тем более не удержит их идеология, претендующая, что она заменила нравственность.	60:68	0:224
женщина	NN	example	22	22_женщина_102989		И она его не отпустит: он забудет и Блонскую, и свой талант, и все на свете для этой женщины.	85:92	0:93
женщина	NN	example	22	22_женщина_36534		В весеннее время добыть нерпу не представляет большого труда, но все же женщина в яранге была довольна и могла называть своего мужа настоящим кормильцем.	72:79	0:153
женщина	NN	example	22	22_женщина_71733		Другая женщина воспитывает двенадцатилетнюю дочь, скрывает от любящего мужа свое темное прошлое и вообще ведет себя подозрительно.	7:14	0:130
женщина	NN	example	22	22_женщина_123195		Но не утерпела несчастная женщина, чтобы своими руками не натаскать на ту землю, под которой лежало ее земное счастье, грудку простых булыжников и не утыкать их простыми травками и полевыми цветами...	26:33	0:200
женщина	NN	example	22	22_женщина_44797		По ночам самые неравнодушные американские женщины выходят на улицы с плакатами«Эти улицы-- наши улицы».	42:49	0:103
женщина	NN	example	22	22_женщина_65205		Но всего не предусмотришь-- у женщины имелась сука, которая мужчин, когда они и через дверь-то входили, неизменно облаивала, а тут как увидела эту пьяную морду, лезущую на балкон, прямо бросилась.	30:37	0:196
женщина	NN	example	22	22_женщина_72194		Женщина-- кандидат в президенты-- не открытие.	0:7	0:46
женщина	NN	example	22	22_женщина_52522		На выставке работ советских архитекторов в 1948 г. приняли участие 274 женщины-архитектора, из которых 74 за большую творческую и научную работу были награждены почетными грамотами Союза советских архитекторов.	71:78	0:210
женщина	NN	example	22	22_женщина_62988		"Эта женщина больна, 	Эта женщина одна, 	Муж в могиле, сын в тюрьме."	4:11	0:67
женщина	NN	example	22	22_женщина_13188		Неужели, хоть редко, у вас не«закружится голова» от другой женщины?	59:66	0:67
женщина	NN	example	22	22_женщина_32511		Этот вопрос, в котором я сразу же расслышал очень личную ноту, не только дипломантки, но женщины, меня растревожил.	89:96	0:115
женщина	NN	example	22	22_женщина_35393		Он отдаст ее Юлии Дмитриевне: женщина бездетная-- пускай учит уму-разуму способную девчонку...	30:37	0:94
женщина	NN	example	22	22_женщина_118106		Арифметическая средняя для роста взрослых фабричных соответствует всего 70 на 1000 мужчин и женщин; но весьма близко к этой средней и по обе стороны от нее располагаются группы почти с таким же процентным содержанием.	92:98	0:217
женщина	NN	example	22	22_женщина_138772		Правда, он задумывался над этими событиями, не понимая, какую материальную или нравственную власть может иметь существо столь слабое, как женщина.	138:145	0:146
женщина	NN	example	22	22_женщина_143145		Я сидел подле нее, подле той женщины, чей образ так часто носился в мечтах моих, так мучительно волновал и раздражал меня,-- я сидел подле нее и чувствовал холод и тяжесть на сердце.	29:36	0:182
женщина	NN	example	22	22_женщина_136997		Но особенную дикость понятий относительно значения слова«государство» выказывают у нас женщины.	87:94	0:95
