lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ситуация	NN	example	22	22_ситуация_16035		В экспериментальном исследовании были выявлены три феномена в области трансформации временной составляющей автобиографической памяти личности, возникающих в трудной для личности жизненной ситуации предварительного тюремного заключения: феномен обеднения прошлого, феномен утраты детства, феномен онтологизации настоящего.	188:196	0:321
ситуация	NN	example	22	22_ситуация_35635		Несколько раз я соглашался, уходя от долгов, но потом ситуация выравнивалась и я отказывался в последний момент.	54:62	0:112
ситуация	NN	example	22	22_ситуация_32438		Ефремов и в жизненных ситуациях был смел, честен, жесток, хотя и добр, и умел говорить правду в лицо.	22:31	0:101
ситуация	NN	example	22	22_ситуация_22093		Участие учащихся в производительном труде, необходимость самостоятельного принятия решений в разнообразных производственных ситуациях объективно определяют высокие требования к уровню познавательной и учебно-производственной активности учащихся.	124:133	0:245
ситуация	NN	example	22	22_ситуация_8039		Оценить ситуацию было нетрудно.	8:16	0:31
ситуация	NN	example	22	22_ситуация_17903		В России пока еще остается сложное положение с проведением эффективного космического мониторинга природной среды в интересах экологии, природопользования, метеорологии и контроля чрезвычайных ситуаций.	192:200	0:201
ситуация	NN	example	22	22_ситуация_13776		Нештатной ситуации, конечно, произойти не могло, но фирма сделала себе рекламу, а помощники губернатора тут же заявили о поддержке Титова самарским бизнесом.	10:18	0:157
ситуация	NN	example	22	22_ситуация_40169		Вопрос лишь в том, куда мне себя в данной ситуации определить?	42:50	0:62
ситуация	NN	example	22	22_ситуация_20292		Они не растерялись в сложной ситуации и, прежде чем обратиться за посторонней помощью, сделали все, что от них зависело.	29:37	0:120
ситуация	NN	example	22	22_ситуация_16365		Подобная игровая ситуация«фиксирует еще больше личную, единственную точку зрения ребенка на предметы и отношения, фиксирует эгоцентрическую позицию.	17:25	0:148
ситуация	NN	example	22	22_ситуация_21654		Однако ситуация не столь однозначна, как это кажется на первый взгляд, поскольку мы говорили пока только о безусловно погибшей рыбе.	7:15	0:132
ситуация	NN	example	22	22_ситуация_22741		Что-то мне это напоминает ситуацию с четвертым Индианой Джонсом(((Сколько ждать-то придется...	26:34	0:94
ситуация	NN	example	22	22_ситуация_22766		Я опускаю все эмоциональные и психологические моменты этой истории, скажу только, что никому не пожелаю оказаться в такой ситуации.	122:130	0:131
ситуация	NN	example	22	22_ситуация_8307		Но для этого человека надо обеспечить средствами наблюдения, управления и контроля, все мыслимые отказы автоматического контура должны быть проиграны на Земле задолго до полета, а будущий космонавт должен не в полете, а на тренажере доказать, что он способен в нештатной и даже аварийной ситуации заменить автомат.	288:296	0:314
ситуация	NN	example	22	22_ситуация_22780		В параллельных классах были похуже ситуации.	35:43	0:44
ситуация	NN	example	22	22_ситуация_16456		Совесть-- это взгляд с помощью моей сущности на других, на себя, на ситуацию, на то, как можно способствовать возникновению большей ценности из уже имеющихся.	68:76	0:158
ситуация	NN	example	22	22_ситуация_6625		Психологическое напряжение достигло предела, прямо ощущается взрывоопасная ситуация…	75:83	0:84
ситуация	NN	example	22	22_ситуация_33719		Но на самом деле ситуация была совсем не радужной.	17:25	0:50
