lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
рубль	NN	example	22	22_рубль_32682		За 3,5 тысячи рублей.	14:20	0:21
рубль	NN	example	22	22_рубль_32557		Дебет 68«Расчеты по налогам и сборам» Кредит 51«Расчетные счета»-- 120000 руб.-- уплачена государственная пошлина;	74:77	0:114
рубль	NN	example	22	22_рубль_6331		Выудив рубль, она зажимает его в кулаке, и из-за спины дяди Сёмы показывает длинный розовый язык приличной даме в зеркале, с целым патронташем бигудей на голове.	7:12	0:161
рубль	NN	example	22	22_рубль_29635		Ранее она проводила проектирование и строительство сетей водоснабжения промзоны Шушары для Toyota стоимостью почти 400 млн руб., а также инженерные работы в Каменке стоимостью 135 млн руб.	123:126	0:188
рубль	NN	example	22	22_рубль_31487		Более того, с середины весны в связи с укреплением рубля цены во многих случаях даже снижаются.	51:56	0:95
рубль	NN	example	22	22_рубль_1836		Нас разместили в спальном вагоне(в двухместном купе) и потребовали доплатить 850 рублей.	81:87	0:88
рубль	NN	example	22	22_рубль_12484		-- Зиминское городское муниципальное образование в сумме 1415 тыс.(один миллион четыреста пятнадцать тысяч) рублей;	108:114	0:115
рубль	NN	example	22	22_рубль_6509		Заработок бурлака составлял 8--10 рублей без вычета штрафов, а штрафовали за всё: например, опоздание бурлака на погрузку на 1 день стоило 1 рубль.	141:146	0:147
рубль	NN	example	22	22_рубль_50507		Два часа спустя в квартиру Арунова было доставлено письмо, в котором похищенный пишет, что если в течение суток не внесут за него 25 000 руб., ему грозят убийством.	137:140	0:164
рубль	NN	example	22	22_рубль_38031		Холмогор, пожертвовавший 20000 рублей.	31:37	0:38
рубль	NN	example	22	22_рубль_54415		В общем, с коллекциями(нефриты, клуазоне и проч.), с гостиницей пришлось истратить свыше 1500 рублей да еще поднести в дороге несколько ценных подарков.	94:100	0:152
рубль	NN	example	22	22_рубль_54543		«Четыре минуты…-- шесть рублей двадцать копеек!..» ГалГал-гал--гал!..	24:30	0:69
рубль	NN	example	22	22_рубль_74229		Да хоть бы деньги-то дали хорошие, а то так, ни за что при других пошла! девка-то была тысячная, а пошла за сто рублей бумажками!	112:118	0:129
рубль	NN	example	22	22_рубль_64618		А по совести сказать, дал он мне одра; не то што тридцати, а и двадцати-- какое! пятнадцать рублей и то напросишься...	92:98	0:118
рубль	NN	example	22	22_рубль_1321		Местными судами уже удовлетворены иски на сумму более 31 млн рублей.	61:67	0:68
рубль	NN	example	22	22_рубль_61687		И Антипу Никитичу еле-еле удалось выторговать на пророках сорок рублей.	64:70	0:71
рубль	NN	example	22	22_рубль_39472		Горбунов рассказал довольно любопытную вещь, что перед 28 августа московский градоначальник Адрианов разослал во все редакции полуофициальное уведомление, в котором он просит редакции не упоминать в статьях по поводу юбилея Л.Н. ни слова о смертной казни; так как в противном случае он вынужден будет штрафовать их на три тысячи рублей.	329:335	0:336
рубль	NN	example	22	22_рубль_74972		-- Очень просто: ведь вы говорили, что получите к рождеству пятьдесят рублей награды?	70:76	0:85
рубль	NN	example	22	22_рубль_49412		В марте сетями добыто на мурманских колониях около 2000 тюленей; цена 2 р. 50 к.; пуд сала со шкурой 3 руб.	103:106	0:107
рубль	NN	example	22	22_рубль_58680		Ко мне приезжал чиновник московский и обещал от пятисот до тысячи рублей, если я выдам ему беглецов московских, которых он мне описывал важными преступниками, расстригами, развратниками, святотатцами.	66:72	0:200
рубль	NN	example	22	22_рубль_42137		Взыскать с Андрея Чернышева, Павла Спирина и Чижикова Ивана по три рубля за самовольную охоту в моих угодьях.	67:72	0:109
рубль	NN	example	22	22_рубль_8083		-- Ты рубль новый видел?	6:11	0:24
рубль	NN	example	22	22_рубль_27474		Со всеми долларами, рублями и прочим.	20:27	0:37
рубль	NN	example	22	22_рубль_69262		Та же довольно пустынная мѣстность, тѣ же лѣсистыя, болотистыя трущобы, та же«Грива»: эти мѣста, въ двойномъ смыслѣ слова,«на охотника», и не удивительно, что именно изъ порховскаго уѣзда, изъ такъ-называемыхъ Острововъ, идутъ знаменитые лукаши, получающіе подъ Петербургомъ до 100 руб. въ мѣсяцъ жалованья, а лѣтомъ проживающіе здѣсь на покоѣ, въ ожиданіи новой зимы.	282:285	0:368
рубль	NN	example	22	22_рубль_52962		Если бы богатые помнили о бедных, и помнили бы не теперешним филантропическим и высокомерным способом, страшно отчужденным, а уравнительно-братским или, как теперь принято говорить,«товарищеским»,-- узел мучительной экономики развязался бы, ибо, пока хоть у одного человека в городе, в селе есть запасной рубль, не может и не смеет умереть с голоду ребенок на руках у голодной же матери.	305:310	0:387
рубль	NN	example	22	22_рубль_33356		По результатам совещания было решено направить в регион бюджетную ссуду: сначала 50 миллионов рублей, затем(в июле) еще 100.	94:100	0:124
рубль	NN	example	22	22_рубль_2021		Если не нужно, что бывает чаще, то расход ограничивается двадцатью пятью копейками, если же все-таки нужно, то уже и рубля не жалко.	117:122	0:132
рубль	NN	example	22	22_рубль_10704		Поскольку уже сами энергетики задолжали газовикам 32 миллиона рублей...	62:68	0:71
рубль	NN	example	22	22_рубль_79439		А мы, выслушав и рассмотрев все ваши свидетельства, несомнительно видим в вас Иоаннова сына, и в доказательство нашего искреннего благоволения определяем вам ежегодно 40000 золотых»(54000 нынешних рублей серебряных)«на содержание и всякие издержки.	197:203	0:248
рубль	NN	example	22	22_рубль_77246		30 коп., жито хорошее 1 руб. и 10 коп., авес 80 коп. и 85 коп., крупа грешневая 1 руб. 50 коп. и 60 коп., солот молотой хорошей 95 коп. и 1 руб., средней 85 коп. за меру, немолотой 1 руб. 60 коп. и 70 коп. за пуд, крупичтай муки мешок 18 руб.	24:27	0:242
рубль	NN	example	22	22_рубль_58361		-- Рублей восемнадцать в месяц вам будет достаточно?	3:9	0:52
рубль	NN	example	22	22_рубль_46213		Один пароходный билет обходится крестьянину около ста рублей.	54:60	0:61
рубль	NN	example	22	22_рубль_2437		А я, известный артист, получаю пенсию тысячу рублей...	45:51	0:54
рубль	NN	example	22	22_рубль_33873		Так, по мнению директора Института экономики переходного периода Егора Гайдара, для того чтобы страна развивалась по ускоренному сценарию, мало налоговой реформы, проведения разумной курсовой политики рубля и снижения госрасходов.	201:206	0:230
рубль	NN	example	22	22_рубль_37740		К концу 1803 года хлопоты епископа Афанасия увенчались успехом: декабря 4 дня высочайше утверждено было постановление синода о перенесении всей кафедры архиерейской с семинарией и консисторией из Новомиргорода в Екатеринеслав, на что отпущено было 5000 рублей.	253:259	0:260
