lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вопрос	NN	example	22	22_вопрос_73765		Очень хотелось бы получить ответ на вышеозвученный вопрос, относительно доработки опорных подшипников передних стоек!	51:57	0:117
вопрос	NN	example	22	22_вопрос_98679		Детям предлагается ответить на сакраментальный вопрос Петрушки:	47:53	0:63
вопрос	NN	example	22	22_вопрос_140778		140 парадоксов, задач, опытов, замысловатых вопросов и пр.	44:52	0:58
вопрос	NN	example	22	22_вопрос_111570		Но, обсуждая такую возможность с лицом, имеющим прямое отношение к принятию решений на государственном уровне, я вместо ответа получил встречный вопрос, который, надо сказать, меня несколько обескуражил, но подтолкнул к совершенно очевидному ответу.	145:151	0:249
вопрос	NN	example	22	22_вопрос_187992		Всякий, кто внимательно присматривался к настроению умов у рабочих, несомненно заметил, что есть один важный вопрос, по которому во Франции мало-помалу устанавливается общее соглашение.	109:115	0:185
вопрос	NN	example	22	22_вопрос_58187		Разве это не верно просто, безотносительно к вопросу о культурных различиях?	45:52	0:76
вопрос	NN	example	22	22_вопрос_35759		Теперь нужно было задать еще один вопрос, и хотя по сравнению с вопросом об убийстве все это была сущая чепуха, язык одеревенел и нипочем не хотел поворачиваться.	34:40	0:162
вопрос	NN	example	22	22_вопрос_121366		Конечно, все выше сказанное является только предположениями и приводится лишь для более наглядного иллюстрирования сложности и запутанности вопроса.	140:147	0:148
вопрос	NN	example	22	22_вопрос_32954		Все зашевелились, очевидно, этого вопроса они не ждали.	34:41	0:55
вопрос	NN	example	22	22_вопрос_28307		-- Я предвидел этот вопрос, включил карту.	20:26	0:42
вопрос	NN	example	22	22_вопрос_147162		По вопросу о секции коротких волн делегаты обращали внимание на то, что деятельность ее недостаточно интенсивна.	3:10	0:112
вопрос	NN	example	22	22_вопрос_149374		-- Нет, вы не отвечайте,-- спохватилась Лена, поняв, что задает неуместные вопросы.	75:82	0:83
