lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
деньги	NN	example	22	22_деньги_71828		Отпускаемые казной деньги застревали по дороге.	19:25	0:47
деньги	NN	example	22	22_деньги_136106		Нельзя ничего купить на торгу или с лавки без поруки; 2) всякая купленная лошадь должна быть в тот же день заклеймена у царских пятнальщиков и вписана в их книгу, с платежом двух денег в казну, для избежания споров; преступник сего устава наказывается пенею не менее двух рублей».	102:106	0:280
деньги	NN	example	22	22_деньги_51619		Или нужны деньги ради денег, чтобы они лежали мертвым капиталом в банке и на проценты они благодушествовали?	10:16	0:108
деньги	NN	example	22	22_деньги_105054		Но кто ж не знал, что большие господа и дамы лучшего света раздают эти грамотки свои несчастным вместо денег?	103:108	0:109
деньги	NN	example	22	22_деньги_117885		У кого на памяти такая пора, когда бы не жаловались, что денег нет, что время тежелое?	57:62	0:86
деньги	NN	example	22	22_деньги_71557		Нужно было искать выход в тайном исполнении того, что можно взять от жизни, имея деньги и штатское платье.	81:87	0:106
деньги	NN	example	22	22_деньги_123549		Долг в 700 тысяч рублей банкиру Сутерланду был уплачен государыней, заметившей при этом, что князь«многие надобности имел по службе и нередко издерживал свои деньги».	158:164	0:166
деньги	NN	example	22	22_деньги_15452		Ей удаётся не работать, а«искать работу», денег же от сдачи в наём московской трёхкомнатной квартиры в центре Москвы плюс пособия хватает и на поездки, и на лишнее.	42:47	0:164
деньги	NN	example	22	22_деньги_121034		Денег она им не давала, особенных услуг не оказывала.	0:5	0:53
деньги	NN	example	22	22_деньги_48439		Вообще, поначалу, мне было страшно такое писать, потом, знаете, ну надоело что ли бояться, сколько можно ездить по ушам угрозой отбора денег у одних прихвостней в пользу других?	135:140	0:177
деньги	NN	example	22	22_деньги_45943		Часть этих денег, я полагаю, ушла на то, чтобы распространить в Арктике многоженство.	11:16	0:85
деньги	NN	example	22	22_деньги_21148		То есть пока я буду мотаться по городу в поисках денег или других бандитов, которые разрулят ситуацию, офис по-любому должен работать.	49:54	0:134
деньги	NN	example	22	22_деньги_30893		А я не сытый человек, хоть и богачка, как справедливо напомнил мне Петр Ильич, могу иметь все, что покупается за деньги, но, увы, далеко не все можно за деньги купить.	113:119	0:167
деньги	NN	example	22	22_деньги_97476		-- Чтобы сохранить оставленные мне деньги для телеграммы и писем из двинской тюрьмы.	35:41	0:84
деньги	NN	example	22	22_деньги_105558		А денег-то, денег-то сколько!	2:7	0:29
деньги	NN	example	22	22_деньги_52069		Время-- деньги, и на каждую покупку здесь отводится всего несколько секунд.	8:14	0:75
деньги	NN	example	22	22_деньги_84873		(СПА).«Kolnische Ztg.» сообщает: В последнее время германские капиталы, а также большое количество наличных денег в чрезвычайных размерах уходят в Швейцарию, с одной стороны вследствие до сих пор неблагоприятного международного положения, с другой стороны,-- и главным образом,-- в виду предстоящего единовременного обложения имущества на военные надобности.	108:113	0:358
деньги	NN	example	22	22_деньги_128619		-- А сбежишь, так и изловят; если же при сем подписные деньги невзначай с собою унесешь, то и под суд отдадут.	55:61	0:110
деньги	NN	example	22	22_деньги_26783		Хозяева решительно отказались брать с нас деньги за ночлег и за еду.	42:48	0:68
деньги	NN	example	22	22_деньги_43665		Считать, сколько я сэкономил денег, сличать цены и прочее мне очень быстро надоело.	29:34	0:83
деньги	NN	example	22	22_деньги_111862		С Ивана Абрамова следует получить оброку 32 р., но у Ивана Абрамова всего-навсего 1 р. денег, и он должен лавочнику 8 с полтиной, а ресурсов на уплату того и другого-- корова и телушка.	87:92	0:185
деньги	NN	example	22	22_деньги_87879		Да, я несколько профершпилился: сижу без денег и в долгах.	41:46	0:58
деньги	NN	example	22	22_деньги_60180		И не замечала, как ей клали на покрывало, что окутывало колени, конфеты, деньги, другие подарки.	73:79	0:96
деньги	NN	example	22	22_деньги_136702		А то уже и смешно, что многие деньги берегут, как сказывают, на смерть, чтоб было, чем погребстись.	30:36	0:99
деньги	NN	example	22	22_деньги_69392		Ничего, дам ей денег, сама купит.	15:20	0:33
деньги	NN	example	22	22_деньги_11757		Мои личные деньги, понимаешь?	11:17	0:29
деньги	NN	example	22	22_деньги_69534		И, какъ собирали многіе, то и собирали такъ немного, что ничего нельзя было на эти деньги сдѣлать.	83:89	0:98
деньги	NN	example	22	22_деньги_4529		Парикмахер Миркин, ставший«лошадью», то есть карточным игроком-профессионалом, играющим на деньги других, был застрелен в Москве, в споре, последовавшем после крупной игры.	91:97	0:172
деньги	NN	example	22	22_деньги_83836		Организация бандитов«Manu Nigrа» предъявила миллиардеру Джону Рокфеллеру требование положить пакет с крупной суммой денег в условленное место, угрожая в случае неисполнения требования, убийством самого Рокфеллера и всей его семьи.	116:121	0:230
деньги	NN	example	22	22_деньги_132377		Всё подымалось и разбегалось в сей нестройный, изумительно беспечный век, когда не воздвигалось ни крепостей, ни замков, а просто как попало становил на время соломенное жилище свое человек, думая:«Не тратить же на него работу и деньги, когда оно и без того будет снесено дотла татарским набегом!» Всё всполохнулось: кто менял волов и плуг на коня и ружье и отправлялся в полки; кто прятался, угоняя скот и унося, что только было можно унесть.	229:235	0:443
деньги	NN	example	22	22_деньги_130507		Марья Львовна, которой не сиделось на месте с полученными деньгами и которая оставалась лишь для приличия, чтобы не сразу уехать после того, как получила их, найдя, должно быть, что побыла достаточно и что все уже сказано ею, поднялась и стала прощаться.	58:66	0:254
деньги	NN	example	22	22_деньги_53302		Но мы должны помнить, что деньги-то уйдут, а возможное радиоактивное заражение останется навсегда.	26:32	0:98
деньги	NN	example	22	22_деньги_30766		Работал Сережка плиточником и денег выколачивал много.	30:35	0:54
деньги	NN	example	22	22_деньги_87729		У нас есть радио, но мы его еще не перевезли сюда, так как нету денег.	64:69	0:70
деньги	NN	example	22	22_деньги_86184		Главные же затруднения Директория испытывала в получении наличных денег.	66:71	0:72
