lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вид	NN	example	22	22_вид_59510		-- Если бы мне сказали несколько лет назад, что на этом месте будет такой вид,-- сказал он, задумчиво глядя вдаль через стекло,-- я бы не поверил.	74:77	0:146
вид	NN	example	22	22_вид_121039		Я упустил из вида, что доклад часовой у нас только один, а именно от центрального управления-- основной доклад, а все три остальные доклады получасовые, с 1/2 часа заключительного слова, которое может быть предоставлено и не сегодня, а через несколько дней, когда будут окончательные прения.	13:17	0:291
вид	NN	example	22	22_вид_20226		Помахал рукой, глядя, как она разворачивается, и в зеркало заднего вида Лина увидела, что он, смешно скользя по утреннему льду, побежал к сияющему огнями зданию аэровокзала.	67:71	0:173
вид	NN	example	22	22_вид_113909		Ни в истории идей, ни в истории политических учреждений мы не вписали ни одной страницы, которую не знало бы прошлое и которая в том или ином виде не была бы высказана великими деятелями французского переворота.	142:146	0:211
вид	NN	example	22	22_вид_168562		-- Как будто ты до сих пор не понимаешь, какие виды он на тебя имеет!	47:51	0:69
вид	NN	example	22	22_вид_107483		Сосед надул его-- должен был дать ему за покос травы несколько сот марок, а дал всего лишь десяток яиц(или на десяток яиц)-- Репин даже не жаловался, а все просил, чтобы мы и виду не показали, будто знаем об этом.	175:179	0:213
вид	NN	example	22	22_вид_108472		-- По крайней мере, что же покупатели говорят про плоские зажигалки? спросил Афанасий, стоя перед Марьей с оглушенным видом.	118:123	0:124
вид	NN	example	22	22_вид_144709		В зале встретил меня довольно пожилой человек почтенного вида в утреннем сюртуке.	57:61	0:81
вид	NN	example	22	22_вид_20121		У«Степаниды Филимоновны» был такой вид, словно ее, напроказившую, в наказание ткнули носом в колдобину, мучая и стыдя, как разумного щенка, оставили в обидной, унизительной позе.	35:38	0:178
вид	NN	example	22	22_вид_10412		Несмотря на привлекательный внешний вид, они пахнут пробкой и имеют отталкивающий привкус.	36:39	0:90
вид	NN	example	22	22_вид_15800		На рассвете, расплатившись с дуканщиком и оставив всех посетителей«Адовой жаровни» точно в том же виде, как они их застали, три наших путешественника вышли на свет Божий.	98:102	0:170
вид	NN	example	22	22_вид_179207		И вот, с криком: с нами бог!-- она входит в самое святилище упраздненных мыслей, ищет там обрывков далекого школьного прошлого, припоминает их, перевирает и в конце концов произносит такую речь, которую не только логически, но и синтаксически разобрать ни под каким видом нельзя.	2:5	0:279
вид	NN	example	22	22_вид_188837		И, во-первых, невоздержание и неосторожность с уставленными обыкновениями, особливо у нас в России вкоренившимися и имеющими вид некоторой святости.	125:128	0:148
вид	NN	example	22	22_вид_13610		Ее хвост мелькает буквально в одном миллиметре от пасти пса, и вот она уже сидит с довольным видом-- провела дружка!	4:5	0:116
вид	NN	example	22	22_вид_104628		Уже много позже, в мае 1899 года, я узнал от Лобко, что Ванновский имел тогда в виду назначить меня вместо Пузыревского.	80:84	0:120
вид	NN	example	22	22_вид_187595		Ведь чуть в гроб отца моего не вогнал, и точно вогнал бы, да сам, спасибо, умер: с голубятни в пьяном виде свалился...	102:106	0:118
вид	NN	example	22	22_вид_124749		Внешний вид его изменился настолько, что даже я не узнал его.	8:11	0:61
вид	NN	example	22	22_вид_79971		Первоначально однородный расширяющийся газ из-за некоторых видов неустойчивости разбился на сгустки, а дальше стал уже действовать механизм гравитационной неустойчивости, способствовавший дальнейшей фрагментации вещества.	59:64	0:221
вид	NN	example	22	22_вид_85574		По бесконечному этому в бегающих мокрицах темному ходу были укладены хмурые дрова, и количество их в каждом штабельке наверняка соответствовало какой-нибудь цифре числового трансцендентного образования, попавшегося ему в какой-то книжице в нескончаемом, вычисленном индийским гением Сарасватрой виде.	295:299	0:300
вид	NN	example	22	22_вид_118100		Между тем именно от последнего обстоятельства зависит введение многих игр и упражнений на открытом воздухе, связанных с большими затратами, которые не могут пополняться отделом лиги в виду обилия больных, снабжаемых продуктами, на которых уже в данное время расходуется попечительством до 150 р. в месяц, не говоря уже о детской колонии, также поглощающей не мало денег.	184:188	0:370
вид	NN	example	22	22_вид_105526		Кто-то заподозрилъ даже, не перестали ли японцы совсѣмъ бомбардировать городъ, въ виду безцѣльности и безуспѣшности этихъ бомбардировокъ.	82:86	0:137
вид	NN	example	22	22_вид_130447		Относительно посещения Старого Селенгинска, памятника генералу Якобий и вида на белое пятнышко, по диагонали, на СЗ, на Бестужевское кладбище следует более подробно сказать в своем месте, а теперь будем рассказывать о современном.	72:76	0:230
вид	NN	example	22	22_вид_39443		Этой осенью кредиты возвратятся в зерновой фонд области в виде продовольственной пшеницы третьего класса, фуража и других культур.	58:62	0:130
вид	NN	example	22	22_вид_171422		На него не действовало, когда ему замечали, что все то, что говорят нам наши коллекции о вымерших видах животных, едва ли даже так относится к некогда жившему в действительности миру, как сохранившиеся в наших музеях остатки от сокровищ искусства древности относятся к тому, что некогда в действительности украшало улицы и галереи Рима и Эллады».	48:51	0:346
вид	NN	example	22	22_вид_11206		Вот так, хотя и в общем виде, я аварию не только запомнил, но воспоминание это, несмотря на нечеткость общей картины и отсутствия в ней деталей, осталось со мной на всю жизнь.	24:28	0:175
вид	NN	example	22	22_вид_123816		По дороге всё тот же вид: затоптанные поля, пожарища, разрушенные мельницы, трупы лошадей...	21:24	0:92
вид	NN	example	22	22_вид_6901		Аникин понял, что ему не уговорить Страхова на бандитский дележ, он вроде бы покорно сник, всем своим видом выражая отчаяние, и тут же рванул ружье с плеча.	102:107	0:156
вид	NN	example	22	22_вид_58945		Пока с видом у меня все в порядке, но буду иметь в виду.:)	51:55	0:58
вид	NN	example	22	22_вид_173885		Въ это-то самое время онъ моего Ивана Тарасовича и на волю отпустилъ, и приписалъ къ какому-то департаменту и чинъ ему выхлопоталъ, извѣстно, все для своей потѣхи:«Ну, вотъ, говоритъ, Ванька и не холопъ, а его благородіе!» Княгиня только плечами пожала:«Чудодѣй ты, говорить, и больше ничего!» Такъ это кондры у нихъ съ первыхъ дней пошли: князь ея гостямъ грубитъ, она его штуки чудодѣйныя осуждаетъ, ну, а съ виду ничего,-- живутъ какъ будто и ладно.	411:415	0:452
вид	NN	example	22	22_вид_61900		Гусеницы же, выводящиеся летом, питаются довольно жесткими листьями, имеют большие мощные челюсти для их пережевывания и по внешнему виду похожи на веточки.	133:137	0:156
вид	NN	example	22	22_вид_15860		После символистов немыслимы были стихи в их классическом виде-- слово утратило вес; акмеисты захотели было его нагрузить-- но получалась либо приключенческая проза, либо несвязное, хоть и ангельское бормотание, либо, наконец, паразитирование на усадебном романе.	57:61	0:262
вид	NN	example	22	22_вид_152798		Гломар дал мне знак, и я принял вид гневный, раздраженный.	32:35	0:58
вид	NN	example	22	22_вид_89124		Спальня была не очень большой, из нее выходили двери на просторную веранду с изумительным видом на море и маяк.	90:95	0:111
вид	NN	example	22	22_вид_110484		В больнице прием уже кончился, рыжий весноватый, гладко выстриженный доктор и мужиковатая помощница, с усталым, скучающим видом встретили нового пациента, равнодушно велели положить его на кушетку, и когда Харитону Петрову заворотили рубашку и его раны обнажились, скучающее равнодушие сразу покинуло доктора.	122:127	0:309
вид	NN	example	22	22_вид_148164		-- Вот хоть бы взять ваше сальное дело, Тарас Семеныч: его песенка тоже спета, то есть в настоящем его виде.	103:107	0:108
