lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
свет	NN	example	22	22_свет_63610		Эта проекция мира на тот свет уже совершенно ясна в родовом обществе.	25:29	0:69
свет	NN	example	22	22_свет_26732		Конец света проспишь!	6:11	0:21
свет	NN	example	22	22_свет_39845		Вернувшись в первый зал после осмотра всей музейной экспозиции, уже в каком-то новом свете оцениваешь выставленные здесь экспонаты.	85:90	0:131
свет	NN	example	22	22_свет_30678		Она считала, что есть где-то на свете счастье, оно лежит неподобранное, как клад, важно только найти его и отломить свою долю.	32:37	0:126
свет	NN	example	22	22_свет_78300		К.». Вышел в свет журнал, на страницах которого казаки самостийники поставили Казачий Вопрос снова на очередь дня, поставили так широко и так глубоко, как только можно его поставить в трудных условиях эмиграции.	13:17	0:211
свет	NN	example	22	22_свет_20487		Глухие тяжелые портьеры закрывали окно от дневного света.	51:56	0:57
свет	NN	example	22	22_свет_40750		Когда думаешь о том, как человек вырвется из цепей гравитации, вспоминаешь, что Эйнштейн после гениального своего взрыва мысли, в двадцать пять лет создавший теорию относительности, всю остальную свою долгую жизнь посвятил построению единой теоретической системы, объединяющей все виды полей: и электромагнитные поля(радиоволны и свет) и гравитационные(тяжесть)...	330:334	0:364
свет	NN	example	22	22_свет_47761		Но в отличие от обычных трубчатых ламп дневного света пары ртути в«Литексе» возбуждаются не электрическим полем, а магнитным, создаваемым обмоткой и электронным управляющим блоком.	48:53	0:180
свет	NN	example	22	22_свет_24828		Живая легенда!-- так встретил меня в редакции журнала«Знамя», года три, пожалуй, назад, Сергей Чупринин, главный редактор этого всем известного, толстого, ежемесячного журнала, поднимаясь в просторном своем кабинете из-за большого, массивного, поблескивающего темным, отражающим заоконный свет, благородно-сдержанным лаком, загруженного сверху, но не очень, так, чтобы места достаточно оставалось, рукописями и всякими, наверняка важными и среди них-- деловыми, бумагами, поражающими плотностью и белизной, отчасти гостеприимного, но очень с виду солидного, начальственного стола, решительным движением отодвигая назад удобное мягкое кресло, откидывая, как-то наискось по отношению к туловищу, свою крупную, сгустком дум взлетавшую голову, закидывая, опять же-- назад, наискось и за плечи, густые, довольно длинные и уже седоватые волосы, улыбаясь по-детски, радостно, поправляя очки-- и устремляясь ко мне навстречу.	289:293	0:917
свет	NN	example	22	22_свет_28352		Только из окон некоторых дач падают на снег желтые полосы света.	58:63	0:64
свет	NN	example	22	22_свет_81102		Кое-где горели электрические фонари, кое-где на улицы падал свет из освещенных окон магазинов, но таких окон было мало: магазины уже позакрылись.	60:64	0:145
свет	NN	example	22	22_свет_95314		Я думаю-- это человек с того света?	29:34	0:35
свет	NN	example	22	22_свет_73844		Он сказал:-- Учение мое свет миру.	24:28	0:34
свет	NN	example	22	22_свет_114202		Лишь только офицер, управляющий вахтою, успел смениться, приметили по временам показывающееся мерцание света, причины коего мы сначала не знали.	103:108	0:144
свет	NN	example	22	22_свет_78645		Результат: росток опять реагирует на свет, как и раньше.	37:41	0:56
