lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
количество	NN	example	22	22_количество_48337		Что теперь правительство сочло необходимым основать в этом крае несколько постов(из них главный-- Николаевский в устье Амура) с тем, чтобы обеспечить сообщение Восточной Сибири с владениями нашими, лежащими по берегам Охотского моря, Камчатки и Америки, и, наконец, для того, чтобы плавающие в значительном количестве около этих негостеприимных и опасных берегов иностранные суда в случае несчастий или нужды имели бы пристанище и помощь.	307:317	0:438
количество	NN	example	22	22_количество_13940		Через 72 ч инкубации при 37°C в атмосфере СО2 во всех пробах подсчитывали количество клеток в камере Горяева и для каждой пробы вычисляли индекс пролиферации как отношение числа выросших клеток к числу клеток в посевной дозе(см. таблицу).	74:84	0:238
количество	NN	example	22	22_количество_41173		Полевой ремонт оружия вынести в третью траншею, для чего иметь соответствующие группы ремонтников и необходимое количество инструмента.	112:122	0:135
количество	NN	example	22	22_количество_30020		Обращает на себя внимание тот факт, что максимальное количество агностиков было зафиксировано в 1970-е, с тех пор их число начало снижаться, что, с нашей точки зрения, можно объяснить крушением коммунистического блока и развалом Советского Союза, а также некоторой либерализацией внутренней политики КНР.	53:63	0:304
количество	NN	example	22	22_количество_43661		Никогда еще в своей жизни не видал Симонов ни человека, ни животного, которые носили бы на себе такое несчетное количество следов бывших отчаянных драк.	112:122	0:152
количество	NN	example	22	22_количество_52229		Между прочим, ему не дают в достаточном количестве ни земли, ни лугов.	40:50	0:70
количество	NN	example	22	22_количество_16994		Американское подразделение по ведению психологической войны, прибыв во время второй мировой войны на один из островов Юго-Восточной Азии, напечатало на японском языке большое количество листовок, в которых были обещаны хорошее обращение и пища из деликатесов для тех, кто сдастся в плен.	175:185	0:287
количество	NN	example	22	22_количество_37385		Но если болгаре-сельчане, сравнительно редко едят кислое молоко, то чеснок потребляется ими действительно, ежедневно и в весьма больших количествах.	136:147	0:148
количество	NN	example	22	22_количество_4114		Тотчас появилось вино, кофе, всякие пирожные--«патиссери», а в дверях уже толпились, напирая друг на друга, улыбающиеся жители Эгморта и большое количество мальчишек.	145:155	0:166
количество	NN	example	22	22_количество_17461		И только«количество атомов, получившихся в ходе реакции, равно количеству атомов в нее вступивших» позволяет правильно описать ход процесса 4Fe+ 3O2= 2Fe2O3.	9:19	0:157
количество	NN	example	22	22_количество_52868		Количество оной простиралось до 1500 бочек, от 55 до 51 р. за анкер.	0:10	0:68
количество	NN	example	22	22_количество_18731		Количество лиц с выявленной 3-4 степенью тугоухости составляет около 600 тысяч человек.	0:10	0:87
количество	NN	example	22	22_количество_5815		Он прикидывал с большим количеством вариантов, приглядывался...	24:35	0:63
количество	NN	example	22	22_количество_6227		Они были равномерно распределены по окружающему пространству в таком количестве, что в этом чудилась попытка застолбить за собой всю территорию сразу-- еще более откровенная, чем старинный волчий обычай.	69:79	0:203
количество	NN	example	22	22_количество_33180		Образующиеся продукты распада и обмена не могут подвергнуться рассасыванию частью потому, что образуются в большом количестве, а главное потому, что для этого необходима известная активность жизненных процессов, которой в данном случае как раз и не хватает.	115:125	0:257
количество	NN	example	22	22_количество_27185		Если иное не предусмотрено договором складского хранения, товарный склад при приеме товаров на хранение обязан за свой счет произвести осмотр товаров и определить их количество(число единиц или товарных мест либо меру-- вес, объем) и внешнее состояние.	166:176	0:252
количество	NN	example	22	22_количество_4826		Смысл моей тактики заключался в том, чтобы с наименьшим количеством болевых ощущений, но ценой этих ощущений, узнать время и выбраться из квартиры.	56:67	0:147
количество	NN	example	22	22_количество_15754		Известную пословицу, что перед«отрезом» нужно произвести энное количество«отмеров», следовало бы чуть дополнить:«...отмерь различными инструментами».	63:73	0:149
количество	NN	example	22	22_количество_41551		Кэннон и сотрудники обнаружили, что эксудативные выпоты иммунных животных содержат мононуклеары в превалирующем количестве.	112:122	0:123
количество	NN	example	22	22_количество_9102		Вот только незадача, у полученного гибрида конечно окажутся в наличии волшебные лепестки, но также в количестве семи штук.	101:111	0:122
количество	NN	example	22	22_количество_15871		В крови здоровых людей она содержится в количестве 2-3 мг.	40:50	0:58
количество	NN	example	22	22_количество_41175		в) В состав танковых группировок наряду со средними танками вкрапливались группы тяжелых танков, шедшие впереди, большое количество бронетранспортеров и даже автомашин, что создавало впечатление большой численности танков.	121:131	0:222
количество	NN	example	22	22_количество_23233		(Равновесным-- потому, что здесь устанавливается состояние динамического равновесия-- ионы продолжают переходить в раствор, а эквивалентное количество их разряжается на поверхности металла.)	140:150	0:190
количество	NN	example	22	22_количество_49641		При отгонке переходила сначала эфирная жидкость, представлявшая смесь ацетона с большим или меньшим количеством неизмененного спирта.	100:111	0:133
количество	NN	example	22	22_количество_52614		Количество первоклассных архитектурных памятников, знаменитых людей, священников, монахов, воинов, правителей, художников, поэтов было больше, войны громаднее, философия глубже, богаче, религия беспримерно пламеннее(например, эллино-римской), аристократия резче римской, монархия в отдельных государствах определеннее(наследственнее) римской; вообще самые принципы, которые легли в основание европейской государственности, были гораздо многосложнее древних.	0:10	0:457
количество	NN	example	22	22_количество_26381		А количество их в парке составляет всего 7 процентов.	2:12	0:53
количество	NN	example	22	22_количество_8377		Причем каждые десять лет количество больных удваивается.	25:35	0:56
количество	NN	example	22	22_количество_12761		Уникальность дальневосточных БИ заключается в том, что количество ударных элементов в них зачастую превосходит количество бросковых.	55:65	0:132
количество	NN	example	22	22_количество_2777		Возникновение христианства тоже породило несметное количество религиозных побоищ.	51:61	0:81
количество	NN	example	22	22_количество_42843		Керамика этого древнего культурного слоя, помимо двух фрагментов, представлена обломками(88 экз.) грубой лепной посуды, толстостенной(0.6-0.7 см), с большим количеством примеси крупнозернистого кварцевого песка, отчего стенки сосудов шероховаты.	157:168	0:245
