lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
мнение	NN	example	22	22_мнение_45450		Надежде же Осиповне возила сувениры, по мнению Марьи Алексеевны, безделки и ничего боле.	40:46	0:88
мнение	NN	example	22	22_мнение_10310		О Маршаке написано много, но поэзия его никогда не была предметом столкновения противоположных мнений, споров«борьбы».	95:101	0:118
мнение	NN	example	22	22_мнение_36272		По общему мнению, расстояние не должно было превышать 25-30 саженей.	10:16	0:68
мнение	NN	example	22	22_мнение_18287		Кроме того, мнение твое, разумеется, выслушают, но выслушает один человек, а не так, чтобы тем же тиражом да на всю страну громыхнуть.	12:18	0:134
мнение	NN	example	22	22_мнение_45081		По его мнению, сражение выиграно, иначе уж здесь кто-нибудь да был бы.	7:13	0:70
мнение	NN	example	22	22_мнение_48300		И француская дипломация не говорит о рейнской границе, но это не мешает французскому общественному мнению свободно выражать свои мысли и желания об этом предмете, хотя законность их подлежит гораздо большему сомнению, чем законность желаний России.	99:105	0:248
мнение	NN	example	22	22_мнение_51088		-- Я совсем противного мнения,-- возразил таинственный человек,-- враг человеческого рода не может ни делать, ни желать добра; а этот висельник, напротив, требовал очень доброго дела.	23:29	0:183
мнение	NN	example	22	22_мнение_59807		Заметьте, что это мнение-- почти общее.	18:24	0:39
мнение	NN	example	22	22_мнение_32133		-- Разные люди имели разные мнения о том или ином вопросе и путях его решения, но каждое мнение аргументировалось и сопоставлялось с другим.	89:95	0:140
мнение	NN	example	22	22_мнение_45649		Я передаю беседу именно с ним потому, что, сколько мне потом ни приходилось говорить с японскими военными, я убедился, что мнение образованнаго и бывалаго майора-- типичное мнение японской военной среды.	123:129	0:203
мнение	NN	example	22	22_мнение_15081		Мнение экспертов о путях создания новой дееспособной Европы 25-ти однозначно.	0:6	0:77
мнение	NN	example	22	22_мнение_38381		Поговаривают о необходимости, в виде первого шага— добиваться легализации социалистических партий: это, по мнению сторонников такой меры, сразу освежит воздух».	107:113	0:160
мнение	NN	example	22	22_мнение_45097		Все, по его мнению, было«по-хорошему», а тут Бог весть что говорят.	12:18	0:67
мнение	NN	example	22	22_мнение_12450		По их мнению, данный фактор в некоторых государствах с«англосаксонской» моделью военного устройства может играть весьма позитивную роль.	6:12	0:136
мнение	NN	example	22	22_мнение_17312		Но как знать, может, со временем появится и другое мнение...	51:57	0:60
мнение	NN	example	22	22_мнение_41064		Возможность приезда австро-славянских депутатов в Петроград в 1908 году, устройство неославянских съездов обязаны влиянию«Нового Времени» на русское общественное мнение.	162:168	0:169
мнение	NN	example	22	22_мнение_30438		Богословие, по мнению Шмаиной-Великановой, это не всё на свете.	15:21	0:63
мнение	NN	example	22	22_мнение_35099		Государя всегда занимала мысль пойти навстречу общественному мнению и призвать в состав правительства министров из членов Государственной Думы,-- таковы были назначения графа А. А. Бобринского, князя В. М. Волконского, А. Н. Хвостова и А.	61:67	0:238
мнение	NN	example	22	22_мнение_1822		Во множестве писем мои слушатели сообщали мне самые разные сведения: свое мнение о моем исполнении и репертуаре, события своей и моей жизни.	74:80	0:140
мнение	NN	example	22	22_мнение_898		Я против того, когда с помощью таких постановок, как 11 сентября, создаются механизмы для корректировки общественного мнения.	118:124	0:125
мнение	NN	example	22	22_мнение_8134		—_Есть такое мнение, что все это— заявки,_— сказал Лавр Федотович и поднялся._	13:19	0:78
мнение	NN	example	22	22_мнение_13578		В науке арбитражного процесса существует мнение(5), что, например, отказ государственного органа в регистрации права собственности фактически является спором о праве.	41:47	0:166
мнение	NN	example	22	22_мнение_52656		По мнению прокурора, при существовании откупов, при возможности быстрого, почти внезапного обогащения понятие о больших капиталах 14 лет тому назад было другое, чем теперь.	3:9	0:172
мнение	NN	example	22	22_мнение_32066		Наконец, едва ли не сразу применена мера из третьего ряда: в электронных СМИ, более всего влияющих на общественное мнение, тема признана«неактуальной».	115:121	0:151
мнение	NN	example	22	22_мнение_5036		Мнение было общее: если«эти» открыто позволяют себе на весь мир так дико лгать, значит, они отрезают себе все пути назад, значит, пойдут до конца.	0:6	0:146
мнение	NN	example	22	22_мнение_5326		Они были очень высокого мнения о физической работе, главным образом они ценили ее за то, что она дает независимость.	24:30	0:116
мнение	NN	example	22	22_мнение_18695		Было испрошено мнение президента и всех, кто мог быть к делу причастен.	15:21	0:71
мнение	NN	example	22	22_мнение_19419		(Украина) Про Ростоцкого говорят не Меньшикова и его друзья, тем болee мы, зрители, которые почитали мнение какого-то журналиста, а его фильмы.	101:107	0:143
мнение	NN	example	22	22_мнение_27757		По его мнению, новая теория«не сразу доступна уму, сотворившему себе... известные идолы или навыки мышления, которые укоренились и развились скорее по законам вторичной механики, чем первичного духа...».	7:13	0:203
мнение	NN	example	22	22_мнение_18414		В брошюре приведены интересные физические идеи, которые часто расходятся с распространенными мнениями.	93:101	0:102
мнение	NN	example	22	22_мнение_22176		Таким образом, подводя итог, скажу, что категорически не согласен с распространённым мнением, будто Ричарду III понадобился конь для того, чтобы сбежать с поля боя.	85:92	0:164
мнение	NN	example	22	22_мнение_48669		Вероятно, нашлись достойные государственные деятели, высказывавшие мнение, что мысль о нравственном развитии виттенагематов Гептархии должна быть оставлена; без сомнения, нашлись рабовладельцы, утверждавшие, что их рабы питаются лучше, чем король Ломбардии; без сомнения, нашлось много остряков, осмеивавших экзальтацию папы, и клеветников, маравших его репутацию.	67:73	0:364
мнение	NN	example	22	22_мнение_26284		Мы должны полностью подтвердить мнение преосвященного Филарета Черниговского, называющего преподобного Андрея Критского поэтом церковным.	32:38	0:137
мнение	NN	example	22	22_мнение_50377		Я этому совершенно сочувствую; вероятно, и муж твой, как человек деловой, будет моего мнения; оно и понятно: ум администратора, не затрудняемый мелочами,-- сохраняет свою свежесть, яснее видит сущность дела; что же касается подчиненных-- их труд и служба в значительной степени облегчаются.	86:92	0:290
мнение	NN	example	22	22_мнение_36492		Это мнение основывалось по преимуществу на ряде житейских наблюдений(уменьшение чувства голода при стягивании живота поясом и т.п.).	4:10	0:132
