lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
тысяча	NN	example	22	22_тысяча_48792		Поздние тексты I--I тыс. до н. э. на лувийском языке, родственном хеттскому, выдержаны в форме, испытавшей влияние семитской финикийской литературы.	20:23	0:148
тысяча	NN	example	22	22_тысяча_42581		На 20,6%, до 1/8 месячного заработка, понизилась просроченная задолженность по заработной плате, на 5,4% повысилась безработица(в 2002 г. безработица понизилась на 10,5%), уменьшилось число забастовок(с 80 до 67), увеличилось число их участников(с 3,9 до 5,7 тыс. человек), увеличились потери рабочего времени(с 29,1 до 29,5 тыс. человеко-дней).	259:262	0:345
тысяча	NN	example	22	22_тысяча_92909		Да я без церемонии написал матери, если не пришлет сорока тысяч, так я себе пулю в лоб.	58:63	0:87
тысяча	NN	example	22	22_тысяча_3467		31 октября 1803 года-- указ Александра I о назначении Карамзина историографом с жалованием в год по две тысячи рублей ассигнациями.	104:110	0:131
тысяча	NN	example	22	22_тысяча_2821		Позолоту и облезлый пурпур Большого(а до войны он был сильно потертый, этот знаменитый бархат лож и особенно верхних ярусов) сменяет в моей памяти белое полотно экрана, на котором прошли предо мною и тут же выветрились сотни километров фильмов, тысячи героев и ослепительных красавиц, но не могу забыть жест молоденькой Бетт Дэвис, которая непроизвольно поправила волосы, оглянувшись вслед юноше, видимо, задевшему ее сердце.	245:251	0:425
тысяча	NN	example	22	22_тысяча_60468		Ему показалось, что за этими вот тысячами, что стоят у него на виду, тесно примыкая, пропадая в густую тьму, стоят новые, а за теми-- новые тысячи, и так без конца.	140:146	0:164
тысяча	NN	example	22	22_тысяча_1446		«Министерство информации и печати Саратовской области приносит свои извинения всем известинцам и сотням тысяч читателей одной из старейших и уважаемых газет России за инцидент, происшедший на Саратовском телеграфе вечером 13 апреля 2000 года.	104:109	0:242
тысяча	NN	example	22	22_тысяча_67549		А может, я лучше тебя в тысячу раз.	24:30	0:35
тысяча	NN	example	22	22_тысяча_68947		Но где были эти шестьдесят тысяч нищих и гордых людей-- этого мы не знали.	27:32	0:74
тысяча	NN	example	22	22_тысяча_5215		-- Я от них только что взнос в двенадцать тысяч баксов получила.	42:47	0:64
тысяча	NN	example	22	22_тысяча_67257		Горовиц, один из крупных представителей заграничной лейпцигской фирмы, купил в Товариществе каракуля на 40 тысяч рублей, сказав, что деньги внесет дня через два-три, по получении их из-за границы, что делалось им и в предыдущие годы, и он аккуратно оплачивал.	107:112	0:259
тысяча	NN	example	22	22_тысяча_24437		На создание 1 га лесных культур с первоначальной густотой 3-4 тыс. шт/га затрачивается на 191 руб.(в ценах 2002 г.) меньше, чем на создание 1 га культур густотой 6-6,6 тыс. шт/га.	62:65	0:179
тысяча	NN	example	22	22_тысяча_57989		И вдруг он же— обладатель ритм-компьютера„ЯмахаЯмаха--икс-11“(цена на черном рынке четыре тысячи семьсот рублей).	90:96	0:113
тысяча	NN	example	22	22_тысяча_8239		За последнее пятилетие закупки молока возросли со 194 тысяч тонн до 297 тысяч, мяса-- с двадцати девяти до пятидесяти тысяч тонн.	54:59	0:129
тысяча	NN	example	22	22_тысяча_31242		Сто тысяч долларов за убранство всех этажей Дворца съездов.	4:9	0:59
тысяча	NN	example	22	22_тысяча_50722		Им предстояли небывало длинные и тяжелые походы: надо было исходить не один десяток тысяч километров таежного бездорожья от станции Тайшет на западе и, в обход Байкала, до Тихого океана на востоке.	84:89	0:197
тысяча	NN	example	22	22_тысяча_104444		Мещане жь и некоторые купцы, не имеющие для помянутаго оборотного торга капитала, упражняясь в рыбной ловле, на выгонной городской земле(которой ныне отмежевано восемь тысяч шестьсот пятьдесять восемь десятин), имеют небольшое хлебопашество и торгуют мелочными товарами; в другие жь города в заработки никуда от домов своих не отлучаются, кроме того, что на своих судах ездят с рыбою.	168:173	0:384
