lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
газета	NN	example	22	22_газета_15687		Кроме рекламных газет-- квитанция за квартплату за июнь.	16:21	0:56
газета	NN	example	22	22_газета_26118		Он подошел к малышу, который читал у края тротуара газету, и спросил его:	51:57	0:73
газета	NN	example	22	22_газета_33392		Рассказывает, что в Турцию и Иран их продукцию доставляют контрабандой, что еще он издает две газеты(политическую и спортивную) и глянцевый журнал, что журналистов мало,«и вообще все в Курдистане впервые».	94:100	0:205
газета	NN	example	22	22_газета_50134		Вышла въ издательствѣ И. Л. Солоневича газета«Голосъ Россiи», поставившая себѣ цѣлью дать эмиграцiи:	39:45	0:100
газета	NN	example	22	22_газета_14422		-- А ты бы взял у него газету и почитал!	23:29	0:40
газета	NN	example	22	22_газета_9997		Но пока есть такие честные бесстрашные люди, как Лидия Чуковская, мой давний друг, без боязни перед волчьей стаей и свистом газет,-- русская культура не погаснет и без казенного признания».	124:129	0:189
газета	NN	example	22	22_газета_9079		Эти данные были опубликованы в 1944 г. в армейских газетах, но были быстро изъяты из обращения и больше не воспроизводились.	51:58	0:124
газета	NN	example	22	22_газета_56754		Через некоторое время после этого в газете«Известия ЦИК» появилось пространное письмо за подписью К., в котором он отдавал себя и весь свой отряд в распоряжение коммунистической партии.	36:42	0:185
газета	NN	example	22	22_газета_67194		Считаю себѣ за особенную честь... пробормоталъ сотрудникъ болгарской газеты и низко поклонился.	69:75	0:95
газета	NN	example	22	22_газета_43885		Благодаря любезности Якутской почтовой конторы, теперь мы можем дать почти полный список газет, получаемых в Якутске.	89:94	0:117
газета	NN	example	22	22_газета_45694		Опровергается известие краковской газеты«Kurjer Codzienny» о падении близ Тарново аэроплана с тремя русскими офицерами.	34:40	0:119
газета	NN	example	22	22_газета_51685		Читаю внимательно газеты.	18:24	0:25
газета	NN	example	22	22_газета_1782		Синявский, эмигрант par exellence, эту школу маргинализации прошел еще в тюрьме, когда, лишенный бумаги, он писал на полях газеты«Известия».	123:129	0:140
газета	NN	example	22	22_газета_32370		Попрощавшись и оставив ей вместе с газетами и квас, Олимпиада тяжело стала взбираться по крутой лестнице на переходный мост.	35:43	0:124
газета	NN	example	22	22_газета_33102		Спасение принес гонорар за стихи и рассказ, которые мы сунули в местную газету.	72:78	0:79
газета	NN	example	22	22_газета_45557		Венские газеты усиленно комментируют обмен телеграмм между императором Вильгельмом и румынским королем и назначение греческого короля генерал-фельдмаршалом германской армии.	8:14	0:173
газета	NN	example	22	22_газета_14554		В тысяча девятьсот сисьдесят старом или около того его обменяли на пропускном пункте в Берлине на Гэри Пауэрса-- неудачливого пилота, который в последний раз попал в газеты всего пару лет назад, когда он опять разбился-- на сей раз около Лос-Анджелеса, в вертолете, и на сей раз навсегда.	166:172	0:288
газета	NN	example	22	22_газета_3555		И... кстати, газет не мешало бы подкупить.	13:18	0:42
газета	NN	example	22	22_газета_19387		За последнюю неделю я что-то не слышал ни одного возгласа из этого«лагеря» с одобрением действий государственного органа, милиции, раскрывшей существование складов с миллионами экземпляров газет и листовок без выходных данных, но направленных против только одного лишь кандидата.	189:194	0:279
газета	NN	example	22	22_газета_48444		Все печатаемые в газетах сообщения, что я ведупереговоры о займах, безусловно ложны.	17:24	0:84
газета	NN	example	22	22_газета_25959		Чтобы понять, что такое наши суды, достаточно газеты читать- все написано.	46:52	0:74
газета	NN	example	22	22_газета_10394		-- А вы что, русских газет не читаете?	21:26	0:38
газета	NN	example	22	22_газета_22915		О сроках операции можно узнать из газет.	34:39	0:40
газета	NN	example	22	22_газета_1366		Но у периферийных писателей той поры, в первую голову у бывших фронтовиков-окопников, а не у тех, что мешками проливали кровь в газетах и после войны сумели доказать доверчивым читателям, что именно там, в газете, и была настоящая, самая страшная война, в конце концов образовалось своего рода товарищество, которое, как правило, начиналось с переписки, с заочного знакомства.	128:135	0:376
газета	NN	example	22	22_газета_28617		Как я узнал из объявления в газете, умер он в середине 30-х гг.	28:34	0:63
газета	NN	example	22	22_газета_32474		Название газеты было коротким, из четырех букв(это Петров уже мог сосчитать), рядом с названием были нарисованы ордена и медали, Петров спрашивал у отца, зачем это, но сколько отец ни объяснял, Петров так и не понял, как газету можно награждать медалями и зачем их печатать рядом с названием.	9:15	0:292
газета	NN	example	22	22_газета_65571		Он смутно помнил, что Нешумов когда-то писал о ней из Петербурга, но почему-то ее участие в его газете не устроилось.	96:102	0:117
газета	NN	example	22	22_газета_66562		Целестин махнул головою и уткнул нос в газету,-- дескать:«Пусть врет, я не буду слушать».	39:45	0:89
газета	NN	example	22	22_газета_16708		Мастер Леша Молоков-- молодой, но степенный парень в пиджаке с галстуком по-хозяйски взял газету, долго читал рассказ и спросил, брезгливо оттопырив губу:	90:96	0:154
газета	NN	example	22	22_газета_25136		А когда в день шестидесятилетия Великого Октября в газетах было опубликовано постановление ЦК КПСС и Совета Министров СССР«О присуждении Государственных премий СССР 1977 года за выдающиеся достижения в труде передовикам Всесоюзного социалистического соревнования» и среди лауреатов было названо имя Веры Степановны Гридневой, это было большой радостью для всего коллектива предприятия.	51:58	0:385
газета	NN	example	22	22_газета_20386		И вот появились вымпелы, значки, открытки, газеты военного времени и, конечно, книги-- свидетельства эпохи.	43:49	0:107
газета	NN	example	22	22_газета_15733		Без радости выслушали«Независимая газета» и«Книжное обозрение».	34:40	0:63
газета	NN	example	22	22_газета_47984		Газета«Times» утверждает, что Румыния присоединится к союзникам и начнет военные действия в конце февраля.	0:6	0:106
газета	NN	example	22	22_газета_50481		В настоящее время крестьянская партія имѣет за собой в парламентѣ 46 мѣст и выпускает 14 ежедневных газет.	100:105	0:106
газета	NN	example	22	22_газета_18016		Доходов газета не приносила.	8:14	0:28
