lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
жизнь	NN	example	22	22_жизнь_350145		Основание ваше гимназической библиотеки в тех самых покоях, где вы разделяли прежде жизнь свою с достопочтенною супругою, пребудет навсегда незабвенным ее и вашим памятником.	84:89	0:174
жизнь	NN	example	22	22_жизнь_136299		В подавляющем большинстве это были либерально настроенные интеллигенты, для которых подпись под письмом была первым в их жизни независимым проявлением гражданственности.	121:126	0:169
жизнь	NN	example	22	22_жизнь_55912		Снова началась прежняя жизнь.	23:28	0:29
жизнь	NN	example	22	22_жизнь_313949		Вся жизнь моего сердца осталась объединенной только с Вашим краем.	4:9	0:66
жизнь	NN	example	22	22_жизнь_233358		Вне этого единства немыслима жизнь, и только если вычеркнуть ее и все рассматривать как неживое и механическое, можно защищать правоту детерминистов, но при этой фантастической фикции не окажется прежде всего места для них самих с их наукой, с их познанием, с их утверждениями и волевыми устремлениями.	29:34	0:302
жизнь	NN	example	22	22_жизнь_217785		В противном случае возникает серьезная угроза церковному единству, что и произошло при введении в богослужебную жизнь Церкви нового календарного стиля.	112:117	0:151
жизнь	NN	example	22	22_жизнь_423119		Все устроилось в моей жизни чрезвычайно благополучно.	22:27	0:53
жизнь	NN	example	22	22_жизнь_259038		Сколько раз я и ей самой, и ее отцу, и многим другим высказывал мое мнение о браке, о моем отвращении к семейной жизни...	113:118	0:121
жизнь	NN	example	22	22_жизнь_40081		Это есть не атом, а величайшее благо, газ жизни-- кислород.	42:47	0:59
жизнь	NN	example	22	22_жизнь_274290		Будь условия русской жизни XIX века иные, возможно, что памятник писательнице поставили бы теперь не во Франции, а у нас.	21:26	0:121
жизнь	NN	example	22	22_жизнь_373115		Смысл притчи теоретический тот, что время жизни дано для того, чтобы вознести сына человеческого, отдать свою плотскую жизнь для того, чтобы получить жизнь истинную.	119:124	0:165
жизнь	NN	example	22	22_жизнь_102346		Вот и спорь с утверждением, что Поэт– наполовину Судьба: без Колдуньи жизнь Высоцкого была бы абсолютно иной, а то и вовсе оборвалась бы на взлёте.	70:75	0:147
жизнь	NN	example	22	22_жизнь_257231		Далеко не бесплодна его работа, и его жизнь, несомненно, получила и смысл, и общественное значение...	38:43	0:101
жизнь	NN	example	22	22_жизнь_39615		Значит, первое, что необходимо сделать,— утвердить реальность значащего отсутствия, сделать ее всеобщим достоянием, отдать себе отчет в том, что мы врем в каждый миг нашей жизни, когда заменяем своими псевдоинтеллигентными действиями настоящую интеллигентность.	172:177	0:261
жизнь	NN	example	22	22_жизнь_18171		-- Она опять размышляла, и, поняв, что домой возврата нет, что ее жизнь полностью зависит от мужчины со смеющимися глазами, в которых, кроме властности, иногда мелькает обыкновенная человеческая жалость и сострадание, Евгения сдалась:-- Только что я убедила Соколова, что об архиве Мокрухтина лучше всего порасспросить господина Авдеева.	66:71	0:337
жизнь	NN	example	22	22_жизнь_400170		Первое вступление в кружок товарищей показало мальчику, что есть более привольная, более свободная, более интересная жизнь, и он ринулся в эту жизнь с головою, отдался ей с тем жаром, с которым отдается человек свободе после выхода из тюрьмы.	117:122	0:242
жизнь	NN	example	22	22_жизнь_5672		Этот урок, стоивший нам многих тысяч человеческих жизней, должен быть красной строкой вписан в новую концепцию военной реформы.	50:56	0:127
жизнь	NN	example	22	22_жизнь_114279		Он пережил уже пятнадцатое покушение на его жизнь.	44:49	0:50
жизнь	NN	example	22	22_жизнь_74964		Но в этом случае храбрецы рискуют только своими жизнями.	48:55	0:56
жизнь	NN	example	22	22_жизнь_91963		Жизнь быстротечна, оглянуться не успеешь, как какой-нибудь… полноценный:«А ну,-- скажет,-- дедунчик, подайся в сторонку, не путайся под ногами».	0:5	0:144
жизнь	NN	example	22	22_жизнь_374908		И относительно продолжительности жизни оно не казалось ему более медленно, чем пробуждение от сна относительно продолжительности сновидения.	33:38	0:140
жизнь	NN	example	22	22_жизнь_376838		Судьба, как нарочно, после двухлетнего моего напряжения мысли все в одном и том же направлении, натолкнула меня в первый раз в жизни на это явление, показавшее мне с полной очевидностью на практике то, что для меня давно выяснилось в теории, а именно то, что все устройство нашей жизни зиждется не на каких-либо, как это любят себе представлять люди, пользующиеся выгодным положением в существующем порядке вещей, юридических началах, а на самом простом, грубом насилии, на убийствах и истязаниях людей.	127:132	0:503
жизнь	NN	example	22	22_жизнь_316727		Он выкупил кабинет, позвал столяра, наводнившего дом горелой кислятиной клея и пронзительной вонью полукрупки, и все жил, жил, никуда не торопясь, размышляя, не явился ли он на этот свет с особым предназначением и куда поведет его звезда, кивнувшая ему с загадочной высоты, едва он начал привередливую сочинительскую жизнь.	317:322	0:323
жизнь	NN	example	22	22_жизнь_137052		Ведь люди большую часть жизни, как говорится, живут, а не совершают подвиги.	24:29	0:76
жизнь	NN	example	22	22_жизнь_122344		Сетования на непросвещенность, а также на катастрофический недостаток внимания к столь значимому аспекту общественной жизни давно являются общим местом.	118:123	0:152
жизнь	NN	example	22	22_жизнь_143259		[Меня лично бесит не столько постоянные отсылки к сексу, сколько гипертрофированное его значение] Вы с любимым трахаетесь раз в неделю?– а, кошмар, конец жизни, срочно лечиться!(ничего, что любимый работает на выматывающей работе, да и у тебя отчетный период-- дома хочется только упасть и не вставать)Ты получаешь оргазм не каждый раз?– а, кошмар, у тебя смертельное заболевание-- анаргозмия, срочно лечиться!	154:159	0:410
жизнь	NN	example	22	22_жизнь_107969		Все, даже самые энергичные попытки«навести порядок» приводят лишь к временному эффекту-- в точности, впрочем, как и в других сферах жизни.	132:137	0:138
жизнь	NN	example	22	22_жизнь_119043		К сожалению, медленно происходят изменения в нашей жизни, поэтому иногда приходится выступать и второй, и третий, и четвертый раз.	51:56	0:130
жизнь	NN	example	22	22_жизнь_202332		Как показал статистический опрос, многие граждане заинтересованы прояснением темных пятен своей жизни и жизни своих родственников.	96:101	0:130
жизнь	NN	example	22	22_жизнь_72309		Городку бедных у памятника Линкольну была отмерена короткая жизнь.	60:65	0:66
жизнь	NN	example	22	22_жизнь_259950		Я, будучи как-то в Иванове, зашел к нему в дом, но он, как оказалось, был в Москве, а потому мне не пришлось видеть его в домашней жизни.	131:136	0:137
жизнь	NN	example	22	22_жизнь_301592		Пушкин вводит здесь пространное описание народных поверий, песен, обрядов, и Татьяна принимает непосредственное участие в этой поэтической жизни.	139:144	0:145
жизнь	NN	example	22	22_жизнь_19522		Это был весьма умудренный жизньюмуж	26:35	0:35
жизнь	NN	example	22	22_жизнь_254936		За эти необычные политические стремления Андрей и заплатил жизнью.	59:65	0:66
жизнь	NN	example	22	22_жизнь_186325		Она была предана музыке, давала уроки пенья, была труженицей, но ревностно придерживалась в жизни стиля«артиста».	92:97	0:113
