lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
план	NN	example	22	22_план_1908		-- Менять план не буду.	10:14	0:23
план	NN	example	22	22_план_25454		Можно иметь прекрасные, планы и самые благородные цели, которые ими и останутся, если не подкрепить соответствующим изменением организации.	24:29	0:139
план	NN	example	22	22_план_60028		Ей хотелось соединения широких комбинаций с мелочами выполнения на всех планах.	72:78	0:79
план	NN	example	22	22_план_39004		-- Это только кажется, будто правительство имеет какой-то план, искусно заманивает, а потом ничего не дает и т.д.	58:62	0:113
план	NN	example	22	22_план_4951		Суть же заключалась в том, что у новорожденной Лилии Ивановны, так хорошо и грамотно планировавшей всю свою прежнюю жизнь, на этот раз не было никакого плана.	152:157	0:158
план	NN	example	22	22_план_10658		Вот такие планы и мечты были у меня даже после казни Берии.	10:15	0:59
план	NN	example	22	22_план_11940		Кстати говоря, очень высокоморальным человеком в личном плане был Александр III.	56:61	0:80
план	NN	example	22	22_план_23331		Ну конечно, если отодвинуть на задний план(замять, отвлечь...) не получается, значит проблема налицо и это не сиюминутная прихоть, нужно решать.	38:42	0:144
план	NN	example	22	22_план_6136		Им было предложено встретиться и разработать план действий, если уж не совместных, то хотя бы не мешающих друг другу.	45:49	0:117
план	NN	example	22	22_план_24013		«Мир SMS» был доступен на тарифном плане«Заботливый».	35:40	0:53
план	NN	example	22	22_план_51277		Но проницательный ум мудрого царя уже опередил их планы и уже вязал, в свою очередь, тонкую политическую сеть, которою он оплетет этих важных людей с надменными глазами и с льстивой речью.	50:55	0:188
план	NN	example	22	22_план_29934		Существует достаточно большое число языков(например, в австронезийском ареале, в западной Африке, и в других местах), которые обладают полностью или почти полностью аналитической грамматикой: семантическое развитие лексических элементов в грамматические не получает в них того параллелизма в плане выражения, которые требуется теорией грамматикализации.	292:297	0:353
план	NN	example	22	22_план_16188		Для обобщения информации о любом выбытии имущества организации, а также для выявления финансовых результатов от реализации в Плане счетов предназначен счет 91«Прочие доходы и расходы».	125:130	0:184
план	NN	example	22	22_план_4393		Кого он при этом расспрашивал и как, выяснить не удалось, но не удалось удержать в тайне и весь хитроумный план.	107:111	0:112
план	NN	example	22	22_план_1137		Каковы же были дальнейшие планы Берлина?	26:31	0:40
план	NN	example	22	22_план_24754		В плане издательства много книг зарубежных авторов по наиболее актуальным вопросам.	2:7	0:83
план	NN	example	22	22_план_4224		Исходя из этого, и нужно строить планы на дальнейшую деятельность...	33:38	0:68
план	NN	example	22	22_план_51446		Разрезанные части неба висят наверху рядами, от авансцены до самого последнего задника, по математически размеренным планам и напоминают собою голубые крашеные полотенца, окунутые в синьку и точно сохнущие после стирки.	117:123	0:219
план	NN	example	22	22_план_57341		Уезжая за границу, она даже с ним не простилась как следует и ничего не сообщила из своих планов«этой бабе», опасаясь, может быть, чтоб он чего не разболтал.	90:96	0:157
план	NN	example	22	22_план_34181		Сомнений относительно сроков реализации этих планов не возникает, ведь«Роснефти» необходимо выполнять контрактные обязательства по экспорту нефти перед китайской стороной.	45:51	0:171
план	NN	example	22	22_план_2833		Ефремов с готовностью согласился включить эту работу в план.	55:59	0:60
план	NN	example	22	22_план_59043		Я тебе писал уже, кажется, о плане моих занятий: я его не изменил и ему не изменил.	29:34	0:83
план	NN	example	22	22_план_54370		Ему-то открывал чувства, мысли, все планы, все надежды свои!	36:41	0:60
план	NN	example	22	22_план_34510		Начальники штабов поначалу скептически отнеслись к плану бомбардировок Баку, опасаясь ответного удара по нефтяным предприятиям в Иране.	51:56	0:135
план	NN	example	22	22_план_36352		Они в те дни провели работу, которую еще не узнала и не оценила история: это они ночи насквозь корпели над мучительно-вздорными сводками фронта, вылавливали оттуда крупицы правды, отметали паническую или восторженную ложь, из этих крупиц составляли какую-то свою, особенную и мудрую правду, это они давали сырье Фрунзе, Куйбышеву, Баранову, Элиаве, чтоб из этого многоценного сырья крепкие головы отжимали самое нужное, из отжатого строили свои планы, из планов свивали грозную сеть, в которую должен был попасть Колчак.	445:450	0:520
план	NN	example	22	22_план_58206		Во всей Европе, где никогда и никто не отодвигал на задний план созданий искусства, эти произведения имели бы почетный, спокойный успех, очень завидный, но не поразительный и не шумливый.	59:63	0:187
план	NN	example	22	22_план_22986		В итоге все заканчивается, как и в случае с мыльницей, коррекцией цвета в фотошопе, правда с тенями это не прокатывает, так что в планах не менять китовый объектив, а купить внешнюю вспышку.	130:136	0:190
план	NN	example	22	22_план_47056		О большевистских делах и планах мне в эти времена, кажется, с ним говорить не пришлось.	25:31	0:87
план	NN	example	22	22_план_7296		У тебя есть другой план?	19:23	0:24
план	NN	example	22	22_план_31764		Так и помрешь, как буриданов осел,-- проплыла на заднем плане сознания горестная, третья мысль, подводящая итог всему вышесказанному.	56:61	0:133
план	NN	example	22	22_план_58063		Однако можно сказать, что хотя много вынес русский народ на своих плечах, но, вероятно, исполнение подобного плана стоило бы ему всех прежних испытаний, взятых вместе.	109:114	0:167
план	NN	example	22	22_план_56004		Картины одна страшней другой проходили перед нами на следствии, и на фоне всех ужасов рисовались на первом плане люди-звери: Федор Иванов, Калина Еремеев, Михаил Поянен и Александр Перфильев.	107:112	0:191
план	NN	example	22	22_план_3244		Здесь его лицо более крупным планом.	29:35	0:36
план	NN	example	22	22_план_19449		Мы, заканчивавшие школу в 86-м вполне сознательные раздолбаи, четко и выпукло помним пионерию, комсомольские собрания, комплексные ленинские планы учащихся, уроки по«Молодой гвардии» и песни Валентины Толкуновой.	141:146	0:212
план	NN	example	22	22_план_53348		Этот план был последней работой Гришова,_- его нашли в бумагах после смерти астронома в 1760 году.	5:9	0:98
