lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
автор	NN	example	22	22_автор_41306		Потому что мимо яркого автора невозможно пройти.	23:29	0:48
автор	NN	example	22	22_автор_55419		Что касается живых людей, то они его мало интересовали, даже если занимались литературой,-- и в этом смысле одно из его высказываний было чрезвычайно характерным; он как-то сказал, говоря об одном известном писателе, что тот, к сожалению, еще жив, и объяснил при этом, что мы можем составить себе окончательное суждение о творчестве того или иного автора только после его смерти, которую он рассматривал как нечто вроде решающего и необходимого критерия или литературной оценки.	348:354	0:478
автор	NN	example	22	22_автор_54987		Поэтому-то он сначала горячо приветствовал гоголевскую патетику в«Мертвых душах», так как думал, что эта«субъективность заставляет автора проводить сквозь свою душу живу явления внешнего мира, а через то и в них вдыхать душу живу».	131:137	0:231
автор	NN	example	22	22_автор_20604		Хотя в фильме«Жаркое лето в Кабуле» авторы сценария сделали меня замужней женщиной, я пока одинока.	36:42	0:99
автор	NN	example	22	22_автор_54429		У отдельных авторов многое, если не почти все, может быть понято только в связи с хронологией их, и не только их, творчества.	12:19	0:125
автор	NN	example	22	22_автор_27542		Автор этих заметок имел заблуждение причислять себя в определенном смысле к знатокам событий, потому и почел долгом отозваться на 255-летнюю годовщину.	0:5	0:151
автор	NN	example	22	22_автор_22542		Автору этих строк было 15 лет, когда он спросил себя; чем отличаются этот строй и этот вождь от фашизма и Гитлера?— и ответил: ничем.	0:6	0:133
автор	NN	example	22	22_автор_4590		Люди моего поколения впервые узнали имя Игоря Евгеньевича Тамма как автора замечательного курса теории электричества-- для многих он был откровением, и отзвуки этого до сих пор чувствуются в учебной литературе.	68:74	0:210
автор	NN	example	22	22_автор_14904		И привел следующий пример:«Вот тут показывали объявления об оказании секс-услуг по телефону, а если мы введем нормативную цензуру, тогда автор объявления задумается, публиковать его или нет».	137:142	0:191
автор	NN	example	22	22_автор_52949		И лишь изредка природа берет свое, и автор обнаруживает свое подлинное лицо.	37:42	0:76
автор	NN	example	22	22_автор_10533		Дело, следовательно, не в случае, послужившем основой для рассказа, не в его оригинальности или неоригинальности, а в том, с какой душевной мерой подошел к этому случаю автор.	169:174	0:175
автор	NN	example	22	22_автор_59050		«Горе,-- восклицает он,-- негодяю, заставляющему меня сделать лишние триста или четыреста лье, между тем как я рассчитывал отдохнуть!..» Некоторые биографы думают, что этот«негодяй» был не кто иной, как сам Бомарше, он же автор памфлета, устрашившего Людовика XVI.	222:227	0:264
автор	NN	example	22	22_автор_36736		Её автор Олег Якубов писал:«В израильской печати несколько дней назад промелькнуло сообщение о том, что с января 1993 года Александр Бовин отзывается из Израиля и пост посла России в нашем государстве займёт бывший первый заместитель министра иностранных дел России Шелов-Коведяев.	3:8	0:281
автор	NN	example	22	22_автор_5902		Четыре тысячи экспонатов передал конструктор музейно-выставочному комплексу, который строится на месте, где жил когда-то автор множества автоматов.	121:126	0:147
автор	NN	example	22	22_автор_6690		Я возьму у вас отдел, а вы будете работать при мне, в качестве моего личного консультанта, читая стихи и прозу, работая по моей просьбе с авторами и пр.	138:146	0:152
автор	NN	example	22	22_автор_19568		Шестеркиным», морально устарела, что данные авторы«не идут в ногу с развитием самозащиты, стараясь возвести в идеал выпущенные ими в 1925-33 гг. труды».	44:50	0:152
автор	NN	example	22	22_автор_53073		Рядом с хоровой песенно-плясовой песнью была и такая, где автор и исполнитель являлись одним и тем же лицом, и это лицо было единично.	58:63	0:134
автор	NN	example	22	22_автор_43621		В процессе поисков драматургического материала автор пьесы Марина Крапивина и режиссер Валерий Сурков исследовали исторические документы, поработали в архивах Музея индустриальной культуры в Кузьминках и Музея ретроавтомобилей на Рогожском Валу, изучили выпуски заводской многотиражки, мемуары, общались с ветеранами АЗЛК.	47:52	0:322
автор	NN	example	22	22_автор_7087		Если пафос автора связан с одними только отдельными недостатками в среде немецких помещиков XVIII столетия, увлекающихся охотой,-- хвастунишка Иероним никогда не стал бы«бароном Мюнхгаузеном»!	11:17	0:192
автор	NN	example	22	22_автор_30092		Когда семья переехала во Флоренцию, мальчика отдали в латинскую школу, а его поступление в мастерскую Доменико Гирландайо сопровождается легендарными рассказами его учеников(Кондиви и Вазари-- авторы двух биографий мастера, обвинявшие друг друга в плагиате) о той борьбе, которую ему пришлось вынести.	193:199	0:301
автор	NN	example	22	22_автор_66937		Успех этот более чем освободил его от сомнений и колебаний, которыми сопровождаются обыкновенно первые шаги авторов: он еще принял его за вещий сон, пророчивший венцы и капитолии.	108:115	0:179
автор	NN	example	22	22_автор_35534		Я предполагаю другое: этот мотив известен автору эпопеи(см. строфы 2370-2371), и он с ним считается; но мотив этот существенно ослаблен и частично переработан.	42:48	0:159
автор	NN	example	22	22_автор_13100		Наша мюнхенская встреча с Виком произвела, похоже, на Двигубского впечатление сильнейшее; в поздних тетрадях и рукописях внешность товарища Сергея, не изменяясь, как будто проясняется для самого автора; появляется, в придачу ко второму подбородку, еще один, третий, а то и два(третий, четвертый);	195:201	0:296
автор	NN	example	22	22_автор_23571		Их действенность бесспорна еще и потому, что за каждым кадром, за каждым словом дикторского текста стоит не просто желание удивить или озадачить,-- нет, в работах ленинградских кинодокументалистов постоянно чувствуется, слышится закадровый голос авторов:«Давайте разберемся.	246:253	0:274
автор	NN	example	22	22_автор_29921		Ничего себе«картофелины»!-- пишет автор заметки М. Домогацких.	34:39	0:62
автор	NN	example	22	22_автор_47133		Порывшись в источниках, автор уже начал было вклинивать нечто меж заглавия и текста, как вдруг услыхал над ухом:	24:29	0:112
автор	NN	example	22	22_автор_51720		На совещании выступил директор одного из основных ленинградских театров и заявил, что никакого толку от ленинградских драматургов он не ждет и что прямо с совещания едет на вокзал-- в Москву, договариваться с авторами.	209:217	0:218
автор	NN	example	22	22_автор_65270		Здесь всего яснее открывается различие его таланта с талантом Искандера: тот и в сфере чуждой для его таланта действительности умел выпутаться из своего положения силою мысли; автор«Обыкновенной истории» впал в важную ошибку именно оттого, что оставил на минуту руководство непосредственного таланта.	176:181	0:300
автор	NN	example	22	22_автор_5658		Иногда это случается потому, что автор повести сам не знает, куда дальше двинется его сюжет, порой это происходит от желания того же автора написать большую повесть, а не маленькую, так как за последнюю платят меньше, а бывает и то, что детективы и в самом деле ошибаются.	33:38	0:272
автор	NN	example	22	22_автор_1499		Только последняя деталь выдает автора этой непритязательной истории.	31:37	0:68
автор	NN	example	22	22_автор_10258		Всякое стихотворение«На смерть...», как правило, служит для автора не только средством выразить свои ощущения в связи с утратой, но и поводом для рассуждений более общего порядка о феномене смерти как таковом.	60:66	0:209
автор	NN	example	22	22_автор_61368		Древний персидский поэт Мухаммед Руми(XIII стол.)-- автор знаменитой поэмы Маснави.	52:57	0:83
