lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дом	NN	example	22	22_дом_166534		Разве в Москве на Старой Басманной могут не розоветь зарею окна в том доме, где они родились и где давно уже уготована для них новая, обетованная жизнь.	70:74	0:152
дом	NN	example	22	22_дом_10606		Сменился и директор детского дома.	29:33	0:34
дом	NN	example	22	22_дом_78758		А следом, это уж за дверью, в комнатах-тихонях дома на Сивцевом Вражке, будто снова вернулись мы в катакомбы.	47:51	0:109
дом	NN	example	22	22_дом_13218		И когда однажды, сидя в ресторане Дома журналистов, мы затеяли переписку за столом, среди объяснений в любви я задала такой вопрос:«Чего ты больше всего боишься в постели?»	34:38	0:172
дом	NN	example	22	22_дом_119013		15 мая пухлый созерцатель плакал навзрыд, вытирая грязными кулаками слезы, и весь дом рыдал вместе с ним.	82:85	0:105
дом	NN	example	22	22_дом_173495		-- Скажите, господин бальи,-- заговорил император, как будто припоминая что-то,-- ведь и женщины вообще, не говоря о принадлежащих к царствующим домам, могут входить в состав вашего ордена?	145:150	0:189
дом	NN	example	22	22_дом_112070		Еще можно было понять, когда против«права на выбор» голосовали фракции, чья позиция определяется командой из«Белого дома», но удивительно, что с этим принципом не соглашались и те, кого принято считать либералами,-- депутаты от СПС и«Либеральной России»...	116:120	0:256
дом	NN	example	22	22_дом_123636		И захочется нестерпимо разворошить весь дом, ну и начнёшь, бывало, бабёнок смущать-- они благополучию главная основа-то.	40:43	0:120
дом	NN	example	22	22_дом_46439		Я оделся-- и выбежал из дому.	24:28	0:29
дом	NN	example	22	22_дом_105696		-- Сама видишь, какой у мамы характер, любую со свету сживет,-- пояснил Вован,-- да и мне не нравится, когда по дому посторонние шляются.	112:116	0:137
дом	NN	example	22	22_дом_103545		Школа имени Залупы, ура!А на дом его прибили табличку: Здесь живет Залупа. А мэр распорядился назвать улицу именем Залупы.	29:32	0:122
дом	NN	example	22	22_дом_29314		—_Да, я за свой дом не держался,_— сказал Калина Иванович._	16:19	0:59
дом	NN	example	22	22_дом_30050		В других домах Тополева переулка книг не держали, там не все старшие и«грамоте знали».	9:14	0:86
дом	NN	example	22	22_дом_97094		Ну, встречал будто ненароком в девять часов утра в скверике перед Арининым домом у черта на куличках.	75:80	0:101
дом	NN	example	22	22_дом_153588		Петя поднялся со своего излюбленного пригорка и размеренно, вразвалку зашагал к дому.	80:84	0:85
дом	NN	example	22	22_дом_149175		Когда, расходясь группами по домам, мы очутились на свежем воздухе, дышалось легко, всею грудью.	29:34	0:96
дом	NN	example	22	22_дом_224274		Я не хотел ни на кого положиться, все время не отлучался от дома и не ложился спать.	60:64	0:84
дом	NN	example	22	22_дом_203860		Впрочем, и канаки нынче строят порядочные дома и перебираются из своих лачуг!-- прибавил он.	42:46	0:92
дом	NN	example	22	22_дом_136108		Молчаливые стены старого дома ревниво хранили свои тайны.	25:29	0:57
дом	NN	example	22	22_дом_64393		Легко и непринужденно, будто дом вырос на листе без видимых художественных ухищрений.	29:32	0:85
дом	NN	example	22	22_дом_47443		-- Мы можем доехать до моего дома,-- сказал Мятлев.	12:14	0:51
дом	NN	example	22	22_дом_81603		Естественно все должно быть в меру и все такое, но не надо забывать кто в доме хозяин!	74:78	0:86
дом	NN	example	22	22_дом_198166		Сия духовная положена в Воспитательной дом в Опекунскойсоветатья	39:42	0:64
дом	NN	example	22	22_дом_180360		Вчера получил я письмо от давнишнего моего приятеля, старшины батуринского, который по просьбе моей ни на минуту не выпускает из виду пана Харитона и дел его, производящихся в тамошней канцелярии: от него-то известно мне о имеющем вскоре последовать определении, по силе коего как пан Харитон, так и отцы ваши лишены будут всего имения и выгнаны из домов своих.	150:153	0:361
дом	NN	example	22	22_дом_28283		Спустя много лет все будут вспоминать героизм защитников Белого дома в августе девяносто первого и их противостояние советским войскам.	64:68	0:135
дом	NN	example	22	22_дом_85849		Гости с порога начинали песню, прося позволения«в нову горницу зайти, на лавочку сесть да«виноградие» спеть, в дому хозяина припеть.	111:115	0:132
дом	NN	example	22	22_дом_178452		Онъ весьма ласковъ и доброхотенъ къ европейцамъ, а потому англичане стараются сдѣлать ему всякое добро: научили его разнымъ мастерствамъ, снабдили инструментами, построили ему домъ и сдѣлали разные подарки.	176:180	0:206
дом	NN	example	22	22_дом_223119		Но и эти места обыкновенно грязные, потому что хотя индийцы, без сомнения, и купаются никак не менее двух раз в день, но все вокруг них чрезвычайно неопрятно: улицы, базары и дома такие же в отношении к чистоте, как в Векио-Наполи, или в Чивита Векие(Чивитавеккья), этой несносной трущобе.	175:179	0:289
дом	NN	example	22	22_дом_67043		Опираясь на теорию комфорта и опыт,«КРОСТ» строит достойные, современные дома.	73:77	0:78
дом	NN	example	22	22_дом_80886		Снова забежал в дом, через некоторое время выскочил.	16:19	0:52
дом	NN	example	22	22_дом_137852		Дом«трех сгоревших сестер» давно пользовался дурною славою.	0:3	0:59
дом	NN	example	22	22_дом_26467		Уже знакомые дома в два-три этажа, с ровными, скучными фасадами, с обязательными, почти всегда закрытыми ставнями, с примелькавшимися магазинами, гаражами, вывесками.	13:17	0:166
дом	NN	example	22	22_дом_172889		Пожар был силен; загорелся один деревянный дом и как около него строение все было деревянное, а ветер был отчаянный и дул прямо на город, то опасность была великая.	43:46	0:164
дом	NN	example	22	22_дом_101764		Уже в наше время записано предание об уржумском купце Стародубцеве: дескать, он был щедр, пожертвовал уйму денег на строительство Троицкого собора и по праздникам угощал всех, а вообще-то был он фаль-шивомонетчик, и от его дома шёл подземный ход к собору и ещё дальше, за реку.	223:227	0:277
дом	NN	example	22	22_дом_216742		И если тот человек был на пути к почестям, почести от него отнимутся; если он в это время имел в виду сделать прекрасную партию, родители невесты откажут ему от дома, и счастие его расстроится навеки.	161:165	0:200
