lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
сила	NN	example	22	22_сила_154235		Герой же моей повести, которого я люблю всеми силами души, которого старался воспроизвести во всей красоте его и который всегда был, есть и будет прекрасен,-- правда».	46:52	0:167
сила	NN	example	22	22_сила_147375		Конечно, и указание на страсть к типизации, в силу неопределенности и многозначности самого термина«тип», не проясняет нисколько понятия о«натуральной» школе, тем более, что рисовке типов тогда предались писатели с самыми разнообразными литературными влечениями.	46:50	0:262
сила	NN	example	22	22_сила_101643		Наши развѣдочные разъѣзды на первыхъ порахъ принимали такіе отряды за значительныя силы, и получалось вслѣдствіе этого неправильное представленіе о количествѣ враговъ.	83:87	0:167
сила	NN	example	22	22_сила_15867		Если поэзия обладала хоть какой-нибудь силой, то она обязана была проявить эту силу сейчас.	79:83	0:91
сила	NN	example	22	22_сила_177243		Юе не хотелось отправиться, но император силою послал его.	41:46	0:58
сила	NN	example	22	22_сила_64103		Смутно понимая, что на Ливадии тем самым ставится крест, но уже не обладая способностью«проявлять силу и мужество», я поддалась на эту симпатичную возможность слегка ослабить программу.	98:102	0:185
сила	NN	example	22	22_сила_91025		Возник конфликт, в который вмешиваются все новые и новые силы, раскалывая правящий класс надвое.	57:61	0:96
сила	NN	example	22	22_сила_207559		Олончане в таких делах не отстают, по силе обычаев, от прочих.	38:42	0:62
сила	NN	example	22	22_сила_67635		«Гладиаторы» распущены по домам и не знают, как избыть свои силы.	60:64	0:65
сила	NN	example	22	22_сила_76026		Не сразу, не мирно-- матросы Балтики в 1918 году совершили рейд по типографиям и силой отняли отмененные буквы,-- но реформу орфографии провели.	81:86	0:144
сила	NN	example	22	22_сила_190948		Отечественныя Записки, съ своей стороны, уничтожаютъ также собственную силу свою другимъ образомъ.	71:75	0:98
сила	NN	example	22	22_сила_122267		Ходоровская и санитар нам помогали, а мы две сделали все, что было в наших силах: очистили, как могли, продезинфицировали, вытянули и хорошо забинтовали в лубки.	75:80	0:161
сила	NN	example	22	22_сила_160379		Силы удесятерялись при этом кратком общении с природой.	0:4	0:55
сила	NN	example	22	22_сила_71720		Естественно, что чем больше плечо изгиба(расстояние от места приложения силы до места изгиба), тем меньше усилий необходимо приложить для изгиба обуви.	72:76	0:151
сила	NN	example	22	22_сила_67420		Но как забыть, что Генрих Шлиман на пути к своей Трое в силу первоначальной некомпетентности попутно изуродовал несколько ценных археологических памятников, о чем потом сожалел всю оставшуюся жизнь, став уже искушенным исследователем?	56:60	0:234
сила	NN	example	22	22_сила_145432		Установить ответственность за каждый стык, начиная от роты и выше, поставив конкретные задачи, какими силами и средствами должен быть обеспечен каждый стык.	102:108	0:156
сила	NN	example	22	22_сила_44272		В этом была особая сила воздействия на читателя, ибо то, чего не замечал сам герой, читатель-то видел и ощущал.	19:23	0:111
сила	NN	example	22	22_сила_133864		В разное время года и часы дня сила приема меняется в два-три раза.	31:35	0:67
сила	NN	example	22	22_сила_99826		Он поверил змию, что познание прибавит ему сил, и стал знающим, но ограниченным и смертным существом.	43:46	0:101
сила	NN	example	22	22_сила_4096		Он сидел рядом, с буддийски-неподвижным корпусом, и от него исходила каменная сила.	78:82	0:83
сила	NN	example	22	22_сила_154187		«Смерть, а смерть, это ты?»--«Это я, это я!»--«А откуда ты пришла?»--«Где была, где была!»--«А пришла ты не за мной?»--«За тобой, за тобой!»--«А уйдем мы далеко?»--«Далеко, далеко!» Часто на морской набережной или на террасе дома Прохаски, куда он не раз заходил ко мне и где мы сиживали, он-- греясь на солнце, а я поджариваясь,-- я, смотря на него, невольно вспоминал слова Некрасова:«Завтра встану и выбегу жадно-- встречу первому солнца лучу,-- снова все улыбнется отрадно и мучительно жить захочу,-- а недуг, подрывающий силы, будет так же и завтра томить и о близости темной могилы так же внятно душе говорить».	526:530	0:617
