lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ночь	NN	example	22	22_ночь_80016		Из дому... по заявлению жены... в ночь на 25 августа...	34:38	0:55
ночь	NN	example	22	22_ночь_21404		Мысль о том, чтобы чуть ли не каждую ночь выскакивать из своей квартиры, бежать по нескольким лестницам в бомбоубежище и сидеть там до утра в углу между детьми и женщинами, без сна, без удобств, даже без возможности закурить трубку, казалась ему если не страшнее, то противнее мысли о смерти.	37:41	0:292
ночь	NN	example	22	22_ночь_24437		Она не знала, сколько прошло времени; не понимала, день на земле или ночь; не представляла, в каком столетии живет и живет ли вообще или ей все это только мнится…	69:73	0:162
ночь	NN	example	22	22_ночь_102705		Она знала мучительное состояние этой бодрой истомы; бесконечная ночь парит и душит, впивается в тело каждая пружина матраца, кусает каждая складка, простыня липнет к коже, на всей постели нет ни одного прохладного бугорка.	64:68	0:222
ночь	NN	example	22	22_ночь_108665		Ночь стояла теплая.	0:4	0:19
ночь	NN	example	22	22_ночь_148667		Литвинов не спал всю ночь и не раздевался.	21:25	0:42
ночь	NN	example	22	22_ночь_145495		День сгас, и над городом стала ясная, лунная ночь.	45:49	0:50
ночь	NN	example	22	22_ночь_48293		Да и ночью города смотрятся интересно.	5:10	0:38
ночь	NN	example	22	22_ночь_149320		Глубокая тишина ночи.	16:20	0:21
ночь	NN	example	22	22_ночь_29087		В колени дышало сухим теплом, пощелкивало электрическое отопление, осенняя ночь липла к стеклам сырой теменью, стучали набегом редкие капли, малиновый отблеск рекламы туманно разбрызгивался по мокрому тротуару на углу каменной улицы.	75:79	0:233
ночь	NN	example	22	22_ночь_60867		На мосту кажется, что река под нами раскинула руки до невидимого горизонта, обнимая огромную душу ночи.	98:102	0:103
