lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
глаз	NN	example	22	22_глаз_191118		Вот сейчас мы приедем к нему, и ты убедишься своими глазами, что на лесном хуторе все преблагополучно.	52:59	0:102
глаз	NN	example	22	22_глаз_253384		Из круга тяжелых складок женского платья, как бы из заколдованного круга волшебника, вдруг выскочил на глазах у князя маленький калмык, в своем обычном наряде-- куртке, шальварах и ермолке.	103:109	0:189
глаз	NN	example	22	22_глаз_74114		Если бы он промедлил еще миг, она бы бросилась из окна, убежала бы куда глаза глядят или назло всем съела бы целую коробку спичек: таким путем, по словам мамы, покончила с собой какая-то очень несчастная девушка.	72:77	0:212
глаз	NN	example	22	22_глаз_308612		Глазеть на разжиревших, как ты? или на приказных, которые пучат глаза в ладонь, высматривают: нет ли там поживы...	64:69	0:114
глаз	NN	example	22	22_глаз_252792		Базановъ опустилъ глаза на ведро съ помоями и прибавилъ конфузясь отъ взгляда хозяина:-- Поэтому... я право...	18:23	0:110
глаз	NN	example	22	22_глаз_127597		Открываю(сугроб в пороге, все в белом, режущем глаза белом свете…)-- шерстяные, целая ватага, лет по 11-12.	47:52	0:107
глаз	NN	example	22	22_глаз_307273		У Гороховой зарделись щеки, подернулись губы и брызнули из глаз благодарные слезы.	59:63	0:82
глаз	NN	example	22	22_глаз_182187		-- Вы уж на меня, старика, не погневайтесь,-- посмотрел ему не в глаза, а в брови(никогда не смотрел собеседнику прямо в глаза), и лицо его вдруг сделалось ехидно-ласковым.	65:70	0:172
глаз	NN	example	22	22_глаз_80832		Он неправдоподобно выглядел для своих восьмидесяти: худой, стройный, в прекрасно сидящих коричневых брюках и кремовой тонкой шерстяной рубашке; лицо не обвисло морщинами, смугловатая кожа туго обтягивает лоб, скулы, подбородок, привычен всос худых щек, лишь по глазам, по их усилию сверкать и твердо глядеть сквозь возрастную усталость можно догадаться, что ему много лет.	261:267	0:372
глаз	NN	example	22	22_глаз_236558		У нее тоже были зеленоватые глаза.	28:33	0:34
глаз	NN	example	22	22_глаз_156304		Высокий старик с бородою апостола и глазами вора убежденно говорит над моим ухом:	36:43	0:81
глаз	NN	example	22	22_глаз_151117		Ее глаза кажутся ему бездонными в своей темной синеве.	3:8	0:54
