lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ход	NN	example	22	22_ход_9555		Судья из Франции, которая впервые попала на чемпионат Европы и с ходу поставила нас первыми, после такого отчаянного поступка четыре года не судила на международных турнирах.	65:69	0:174
ход	NN	example	22	22_ход_50659		Вѣдь это-жъ ходъ!	12:16	0:17
ход	NN	example	22	22_ход_30138		Очередной, уже непонятно какой по счету краеведческий текст Питера Акройда про Лондон-- на этот раз про подвалы, подземные реки, секретные ходы, а также про легенды, связанные с метро.	139:143	0:184
ход	NN	example	22	22_ход_24528		Справа: в ходе расширения«белковой вселенной» дочерние молекулы удаляются в пространстве последовательностей от исходной точки, которая соответствует одному из белков LUCA.	10:14	0:172
ход	NN	example	22	22_ход_18034		-- То есть пробуют усовершенствовать раннее детище«Алмаза» с заднего хода, без учета мнения генерального разработчика?	69:73	0:118
ход	NN	example	22	22_ход_51805		По лицамъ своихъ слушателей внимательный профессоръ немедленно можетъ опредѣлить, хорошо ли понимаютъ его слушатели или нѣтъ; если онъ замѣчаетъ хоть одинъ недоумѣвающій взглядъ, это означаетъ, что данный абзацъ изложенъ неясно или неопредѣленно и надо его разъяснить по возможности быстро, какимъ-нибудь вставнымъ предложеніемъ или примѣромъ, не отрываясь замѣтно отъ общаго хода чтенія, чтобы слушатели не потеряли нить изложенія.	376:380	0:432
ход	NN	example	22	22_ход_27598		Вагон стучал и покачивался на ходу, и я время от времени открывал глаза.	30:34	0:72
ход	NN	example	22	22_ход_11034		Они имели сюжет весьма произвольный, но обладали одной неотъемлемой деталью– за стенами устроены тайные ходы и целые комнаты, в которых прячутся соглядатаи, днем и ночью они блюдут, дурное пресекают, а за добропорядочных граждан вступаются.	104:108	0:240
ход	NN	example	22	22_ход_25868		Однако, нет худа без добра: в 1982 году, в ходе проработки эффективной системы передачи по схеме«переменный ток-- микроволны-- постоянный ток», было сделано изобретение, имеющее важнейшее значение для будущих полетов.	43:47	0:217
ход	NN	example	22	22_ход_12632		Август 1968 года-- 72 жителя погибло, 266 тяжело ранены в ходе операции«Дунай», когда на территорию Чехословакии вошли войска Советского Союза и других соцстран-- участниц Варшавского договора.	58:62	0:193
ход	NN	example	22	22_ход_31825		По политическим предпочтениям, выявленным в ходе выборов в этих регионах, можно было судить, чем приблизительно они закончатся в целом.	44:48	0:135
ход	NN	example	22	22_ход_6605		Ход тесный.	0:3	0:11
