lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
год	NN	example	22	22_год_253439		Таким образом, за два с половиной года в России зарегистрированы 253 преступления, связанных с мошенничеством в области оборота банковских пластиковых карточек, и 150 преступлений, подпадающих под действие ст. 187 УК(изготовление или сбыт поддельных кредитных либо расчетных карт и иных платежных документов), при суммарном ущербе 93, 5 миллиона рублей.	34:38	0:353
год	NN	example	22	22_год_466590		Спустя пять лет Надежда Осиповна в Михайловском опять увидела это странное существо, скользящее по полу как будто на коньках.	0:0	0:125
год	NN	example	22	22_год_522044		С 1717 года на светлейшего посыпались жалобы, положившие начало знаменитому«почепскому делу».	7:11	0:93
год	NN	example	22	22_год_360061		По оценкам на конец 1990-х годов, на золоотвалах угольных теплоэлектростанций страны было складировано более 1,5 млрд т золы и шлака, а общая площадь земель, занятых золоотвалами, составляла многие десятки тысяч гектаров.	27:32	0:221
год	NN	example	22	22_год_368318		Я много лет читаю ваши публикации, смотрю словари под вашим авторством и редакцией.	0:0	0:83
год	NN	example	22	22_год_346966		30 лет назад, 24 января 1984 года в США в продаже по цене$2495 появился персональный компьютер«Macintosh» американской компании«Apple».	29:33	0:135
год	NN	example	22	22_год_78677		Два года он молчал, два года от него не просочилось никакой информации, но это совершенно не означает, что он ею не располагает.	4:8	0:128
год	NN	example	22	22_год_548811		Последние два года в этот день я бывал пьян-- вообще он являлся для меня днем весеннего равноденствия: зимнее пьянство сменялось весенними мечтами и воздыханиями.	14:18	0:162
год	NN	example	22	22_год_702598		4 миллиона, в 1925/26 г.-- 8 миллионов и в 1926/27 г.-- 3 миллиона.	22:23	0:67
год	NN	example	22	22_год_804434		Если к этому прибавить, что, начиная свою ученую службу, Ломоносов шесть лет,-- может быть, лучших лет своей жизни,-- потерял для работы, не имея даже плохонькой лаборатории, то ужас положения, в котором находился первый русский ученый-великомученик и та душевная трагедия, которую он не мог не пережить, и теперь заставляют нас задуматься.	0:0	0:340
год	NN	example	22	22_год_847315		В продолжение тех лет, когда я находился в здешнем университете, я каждый семестр читал обе эти науки, на частных уроках.	0:0	0:121
год	NN	example	22	22_год_391610		Однако уже в первые годы после того, как стали применять ДДТ, начали выявляться его гораздо более серьезные недостатки.	20:24	0:119
год	NN	example	22	22_год_510907		Постановление о создании в Татарстане особой экономической зоны«Иннополис» было подписано премьер-министром РФ Дмитрием Медведевым в конце 2012 года.	144:148	0:149
год	NN	example	22	22_год_136277		В качестве министра иностранных дел России в 1996 году в Нью-Йорке я встречался на сессии Генеральной Ассамблеи ООН с министром иностранных дел Албании.	50:54	0:152
год	NN	example	22	22_год_190429		Основными выигравшими от приватизации оказались нынешние столпы российского крупного бизнеса, участвовавшие в залоговых аукционах и крупных конкурсах 1995-1996 годов.	160:165	0:166
год	NN	example	22	22_год_34837		Не по годам грузный, любитель вкусно поесть и выпить, бывший, как выяснилось, морской офицер, переквалифицировавшийся в геоморфолога и защитивший кандидатскую диссертацию, Белоусов обладал совершенно уникальной доброжелательностью, сочетавшейся с не менее редким оптимизмом.	6:11	0:274
год	NN	example	22	22_год_292301		Хотя все политические террористы мира движимы исключительно возвышенными целями, а в душе-- добрейшие люди, и от прогрессивных мыслителей Запада мир слышал это сотни раз еще в 70-е годы, в такой мировой провинции, как Россия, стандартные протеррористические софизмы воспринимались еще без особого отвращения.	181:185	0:308
год	NN	example	22	22_год_296160		Время действия-- 1930 год.	22:25	0:26
год	NN	example	22	22_год_808199		Звезда Бестужева померкла через десять лет после осуждения Лестока, но все-таки и эта«старая лиса» дождалась печального конца(1758 год).	131:134	0:136
год	NN	example	22	22_год_836515		Каменная церковь построена в 1418 году.	34:38	0:39
год	NN	example	22	22_год_70855		А его нет уже второй год!	21:24	0:25
год	NN	example	22	22_год_439479		Основным стимулом к написанию статьи 1975 г. было стремление создать формальную дедуктивную систему терминов для описания структуры словоформы, зафиксировав список исходных(неопределяемых в рамках данной области знания) понятий и построив на их основе определения всех остальных терминов.	42:43	0:288
год	NN	example	22	22_год_555882		Кроме того, гг., необходимо в Петроград доставить и фураж.	12:14	0:58
год	NN	example	22	22_год_399942		Ученый умер через несколько лет, совсем молодым.	0:0	0:48
год	NN	example	22	22_год_68624		Она очень честно рассказала, скрупулезно придерживаясь запомнившихся фактов, о своих тюремных и лагерных мытарствах, начавшихся в 1937 году.	135:139	0:140
год	NN	example	22	22_год_519620		Нормы закона 1836 года получили дальнейшее развитие в Уложении о наказаниях(1845), которое стало отправной точкой для рассмотрения дел о смешанных браках на протяжении всего XIX века.	18:22	0:183
год	NN	example	22	22_год_247195		К примеру, крупнейшее мясоперерабатывающее предприятие Северо-Западного региона ОАО«Парнас-М» в последние годы выпускает в оболочках«Белкозин» более 35 наименований колбасных изделий.	106:110	0:183
год	NN	example	22	22_год_630766		Третьего дня в театре Омон состоялся бенефис местной этуали г-ж Миликетти, которой поднесли шесть ящиков серебра, добрый десяток корзин и букетов и еще разные вещи.	6:7	0:164
год	NN	example	22	22_год_231811		Но произойдет это не раньше, чем через пять лет, поскольку рынок будет изучать, присматриваться и тестировать новые системы.	0:0	0:124
год	NN	example	22	22_год_78139		Надо бы сказать об этом прямо, но это значило бы, как мне казалось тогда, очень уж уронить свой престиж, наш, советский престиж: немецкий-то парень моих лет мог быть лопухом и тупицей, невеждой в музыке и в тысяче других вещей, но одно-то он уж верняком умел-- водить машину, мотоцикл, катер.	0:0	0:292
год	NN	example	22	22_год_373773		В соответствии с поручением Президента Российской Федерации Д.А. Медведева учёные академии провели исследования и подготовили доклад о прогнозе научно-технологического развития страны до 2030 г.	117:118	0:194
год	NN	example	22	22_год_122574		След на линолеуме, с годами посветлевший, так и остался напоминанием о том дне.	21:27	0:79
год	NN	example	22	22_год_402049		В связи с этим были разработаны материалы к реформе народного образования(ГДР-- 1965 г., Румыния-- 1968 г., Болгария-- 1969 г., Югославия-- 1970 г., Венгрия-- 1972 г., Польша и Чехословакия-- 1973 г.).	59:60	0:201
год	NN	example	22	22_год_46684		Первого января, в первый день Нового года, шла одна из наших премьер.	37:41	0:69
год	NN	example	22	22_год_476616		В старину же улицу, в которую переходил взвоз, называли Богословской, затем, с середины прошлого века,-- Введенской, а с 1927 года-- Революционной.	126:130	0:147
