lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
движение	NN	example	22	22_движение_31037		С ростом скорости сила сцепления уменьшается, а сопротивление движению резко увеличивается.	62:70	0:91
движение	NN	example	22	22_движение_47910		А когда она созреет, тогда вожди организуют ее и дают еще более сильный толчок к дальнейшему развитию движения масс.	102:110	0:116
движение	NN	example	22	22_движение_72510		-- Без восклицаний,-- остановил он ее движением руки:-- я для вас бросил все: службу...	38:47	0:87
движение	NN	example	22	22_движение_19801		Пусть взгляд«ведет» движение!	20:28	0:29
движение	NN	example	22	22_движение_70926		В эпоху католического движения против протестантов все лица городового управления были выбраны из католиков.	22:30	0:108
движение	NN	example	22	22_движение_26122		Тем временем колесики прибора, приди они в движение, сделали бы еще несколько оборотов.	43:51	0:87
движение	NN	example	22	22_движение_74337		Этот страшный урок заставил командиров частей прислать сюда, в Габрово, всех остальных лошадей для прокормления и сбережения их в закрытых стойлах по дворам, так как движение вперед не предвидится еще в течение нескольких дней.	166:174	0:227
движение	NN	example	22	22_движение_41191		Это не удовлетворило А. И. Гучкова, и он, продолжая говорить, что страна находится в конце первого периода вспышки революционного движения и в первой его стадии и что центральные органы губернского земства и целый ряд других учреждений примкнули к этому движению, пояснил, какая цель была у этого движения, и потому предложил другую резолюцию:	130:138	0:343
движение	NN	example	22	22_движение_3121		Какой-то рыжий мужчина на поляне у подножия горы давал урок движения.	60:68	0:69
движение	NN	example	22	22_движение_12053		Мало того, Нос много рассказывал мне о бандеровском движении, о борьбе группировок внутри организации(Мельник и Бандера), о структуре партии, о методах конспирации и т.д. Говорил, что он лично работал в отделе беспеки, то есть безопасности, часто выполнял сложные задания.	52:60	0:272
движение	NN	example	22	22_движение_10377		Обилие созревающей малины по сторонам дороги замедляло наше движение.	60:68	0:69
движение	NN	example	22	22_движение_64709		Но весь вопрос в том, как понимать«определение задач» этим массовым движением.	68:77	0:78
движение	NN	example	22	22_движение_40929		Прошли минуты, спало волненье-- и вошли в берега передрожавшие страсти: снова кротки и ласковы серые глаза, снова ровны, покойны движенья, только редко-редко вздрогнет в голосе струнка недавнего бурного прилива.	129:137	0:211
движение	NN	example	22	22_движение_54850		И скоро мое движение вперед приобрело все черты долгого и однообразного сна, покорной и безнадежной борьбы с неодолимым пространством; так, вероятно, грезят измученные оглохшие лошади к концу далекого пути и те особенные люди, что ходят из конца в конец земли и тягучим ритмом своих шагов гасят сознание жизни.	12:20	0:310
движение	NN	example	22	22_движение_60474		Следя за движениями немецких танков, Подберезкин увидел вдруг, что со снегу стали вскакивать отдельные фигуры; подымая руки, они бежали машинам навстречу.	9:19	0:154
движение	NN	example	22	22_движение_65079		Как потом, когда я сломал себе ногу, в один вечер выбывши из двух будущих войн, и лежал без движенья в гипсе, горели за рекой эти знакомые, и юродствовал, трясясь в лихорадке, тоненький сельский набат.	92:100	0:201
