lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
партия	NN	example	22	22_партия_10855		Это глубокая нравственная ошибка-- думать, что расправа Сталина с основными кадрами коммунистической партии и советского государства была, пусть и в крайне извращенной форме, торжеством какой-то исторической справедливости.	101:107	0:223
партия	NN	example	22	22_партия_30066		Сейчас партия имеет 24 из 73 британских мандатов в Европарламенте.	7:13	0:66
партия	NN	example	22	22_партия_40047		Съезд, после долгих прений, выработал программу партии социалистов-революционеров и ее организационный устав.	48:54	0:109
партия	NN	example	22	22_партия_54850		-- Впрочем, на самом деле, в России не было ни английской, ни французской партии, а была одна русская партия-- и если граф Румянцев, князья Куракины, граф В.П.Кочубей, граф Строганов, князь Долгорукий и другие приближенные к государю лица казались весьма довольными союзом с Наполеоном, то этого требовали обстоятельства.	102:108	0:321
партия	NN	example	22	22_партия_22893		Такой огромный рост научной продукции ученого стал возможным лишь благодаря помощи и поддержке, которую ему неизменно оказывали Партия, Правительство и вся советская общественность.	128:134	0:181
партия	NN	example	22	22_партия_58977		Я, признаюсь, не представляю себе никакой политической партии под названием русской, но я в то же время по предчувствию думаю, что если какой-нибудь образ мыслей мог бы быть разумною срединой между нашими европофилами и нашими русофилами, то правда была бы на его стороне.	55:61	0:272
партия	NN	example	22	22_партия_36415		Прошло немного времени, и в партии начались жалобы и нарекания на этих новых коммунистов, вошедших в партию через«широко открытые двери»...	28:34	0:139
партия	NN	example	22	22_партия_48112		После выступления Зензинова следует декларация партии к.-д., которую читает П.Н. Милюков:	47:53	0:89
партия	NN	example	22	22_партия_9316		На втором курсе Лешка одновременно собирался жениться на этой студентке и перейти из кандидатов в полноправные члены партии.	117:123	0:124
партия	NN	example	22	22_партия_40198		Лопухин сказал также, что, по его сведениям, Азеф был наиболее крупным провокатором в партии социалистов-революционеров: в последнее время он получал до 14000 рублей в год.	86:92	0:172
партия	NN	example	22	22_партия_18003		Эта партия возникла после раскола крупнейшей оппозиционной организации страны-- Белорусского народного фронта-- на VI съезде летом 1999 года на сторонников основателя партии и движения Зенона Позняка, который с 1996 года находится в эмиграции, и приверженцев политика-прагматика«новой волны» Винцука Вечёрко.	4:10	0:308
партия	NN	example	22	22_партия_50788		Поэтому обе семейные партии были застигнуты катастрофой врасплох.	21:27	0:65
партия	NN	example	22	22_партия_22719		По всей стране продолжается широкое обсуждение директив XIX съезда партии.	67:73	0:74
партия	NN	example	22	22_партия_28256		Во-первых, сама не дура, во-вторых, в партии не состояла, упряма и самостоятельна во всем, что, несомненно, вызывает восхищение у желторотой молодежи.	38:44	0:150
партия	NN	example	22	22_партия_41199		Исходя из изложенного и принимая во внимание, что действия органов в моем деле и в деле дочери никаким образом не основаны ни на процессуальных нормах, ни на Конституции СССР, что необъявленное обвинение является грубейшим искажением принципов советской законности, я... ходатайствую о применении Вашего протеста на протокольное постановление ОСО при НКВД от 9/9 1938 г. по моему делу и делу дочери моей Елены Урицкой, так как постановление это, как доказано, не вяжется ни с советской логикой, ни с моим отношением к Советской власти и партии.	537:543	0:544
партия	NN	example	22	22_партия_20972		Партия и другие структуры работали среди населения.	0:6	0:51
партия	NN	example	22	22_партия_37045		-- Павлуша, я кандидат партии.	23:29	0:30
партия	NN	example	22	22_партия_42336		В 1883 году, как член партии«Народная воля», он состоял членом боевой дружины вместе с Мартыновым и нашим другим шлиссельбуржцем рабочим Антоновым.	22:28	0:147
партия	NN	example	22	22_партия_20528		ЦК КПСС недостаточно осведомлен о расстановке сил в руководстве братских стран и партий, политических позициях того или иного лидера(второго и третьего эшелонов) и т. п.	81:87	0:169
партия	NN	example	22	22_партия_45267		В ту же сторону действует отправка муки по жел. дор., за неимением вагонов, мелкими партиями.	84:92	0:93
партия	NN	example	22	22_партия_21764		Но я остался членом партии, цели и принципы партии и всего движения Зеленых мне по-прежнему близки.	20:26	0:99
партия	NN	example	22	22_партия_52915		Как многие другие, он через советскую службу вошел в партию.	53:59	0:60
партия	NN	example	22	22_партия_47044		«Нижегородский Кооператор» помогает Коммунистической партии и Советской власти в проведении различных кампаний по линии кооперации, давая соответствующие руководящие статьи и информацию о ходе кампании по всем кооперативным объединениям.	53:59	0:237
партия	NN	example	22	22_партия_41520		Лодка идет за новой партией.	20:27	0:28
партия	NN	example	22	22_партия_25079		В 1904 году в партии появилась группа«аграрных террористов»(лидеры-- М.И. Соколов, Е.И. Лозинский), объединившаяся впоследствии с так называемой Московской оппозицией(В.В. Мазурин и др.) в«Союз социалистовсоциалистов--максималистов», провозгласивший террор своим основным средством борьбы.	14:20	0:289
партия	NN	example	22	22_партия_59642		В настоящее время мы видим во изобилии к нам милость Божию: злодеи наши со всех сторон окружены; свободный выезд из стана, партиями, от нас везде посланными, совершенно воспрещен; люди и лошади изнуряются голодом, и каждый день во всех местах убитыми и пленными теряют они до 500 человек, что подтвердить могут и граждане ваши Гг. Елисеев и Лебедев.	123:131	0:349
партия	NN	example	22	22_партия_60999		Крепкая социально-революционная партия в этот трудный период берет на себя тяжелую ответственность и лишь во имя своей обдуманности, энергии и последовательности имеет право на то безусловное руководство деятельностью своих членов, которое ей необходимо.	32:38	0:254
партия	NN	example	22	22_партия_23228		В годы, когда советский народ, под руководством партии, приступил к выполнению первой сталинской пятилетки, женщины города и деревни с горячим энтузиазмом откликнулись на обращенный к ним призыв любимого вождя:«Единым фронтом со Всеми трудящимися под руководством рабочего класса-- вперед за уничтожение капитализма, за укрепление диктатуры пролетариата, за построение нового, социалистического общества!».	48:54	0:406
партия	NN	example	22	22_партия_56372		Одна лишь социально-революционная партия, прочно укрепившись среди городского и фабричного населения и заняв удобные и многочисленные позиции в крестьянстве, может послужить тем ферментом, который необходим для возбуждения городского и деревенского движения.	34:40	0:258
партия	NN	example	22	22_партия_40883		--_Мой друг, всякая политическая партия оставила бы религию в покое.	33:39	0:68
партия	NN	example	22	22_партия_10090		Его любили, уважали за прямоту, многим из сидящих в зале он давал рекомендацию в партию, поэтому, когда он, приглаживая редкие седые волосы, занял место Долгина, его встретили одобрительной тишиной.	81:87	0:198
