lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дело	NN	example	22	22_дело_167305		Средневековые люди верили не только в Страшный суд, который наступит в«конце времен» и воздаст каждому по его делам, но и в немедленные божьи кары и награды[34].	110:115	0:161
дело	NN	example	22	22_дело_84823		Чудное это дело-- во время дождя в Сенате сидеть, слушать, как законы обсуждаются.	11:15	0:82
дело	NN	example	22	22_дело_245173		-- Вот мы решили так,-- продолжал Шафров, еще больше придвигаясь к Ляле, точно дело все усложнялось и запутывалось,-- пригласить петь Санину и Карсавину... сначала они споют соло, потом дуэтом...	79:83	0:195
дело	NN	example	22	22_дело_22624		Китаец, формально считавшийся оперным певцом, завербовал сотрудника французского министерства иностранных дел, выдавая себя за женщину.	106:109	0:135
дело	NN	example	22	22_дело_137817		Все дело в том, чтобы найти количественные закономерности, связывающие структуру химического соединения с его способностью к химическим взаимодействиям.	4:8	0:152
дело	NN	example	22	22_дело_350143		Ежели какая-нибудь экстренность по делам, то либо написать ему потрудитесь, либо мне, говорю, сообщите для передачи, а мы уж немедленно же и зависящее распоряжение сделаем, коли это важная экстренность».	35:40	0:203
дело	NN	example	22	22_дело_437577		Домой он вернулся поздненько, погладил белокурую голову спящего сына, грамматика, и поговорил со старшим, ритором, об отце ректоре, о задачках, разрядах и тому подобных ученых вопросах, спросил виновного мужика, поил ли он коней, и затем лег на белый деревянный диванчик с решетчатою спинкою, а о своем деле-- ничего.	303:307	0:317
дело	NN	example	22	22_дело_46099		-- А в самом деле, где же индейцы?	13:17	0:34
дело	NN	example	22	22_дело_40669		Теленков побежал благодарить Овсянникова за помощь, а тот сделал удивленные глаза и сказал, что он к этому делу не имеет никакого отношения.	107:111	0:140
дело	NN	example	22	22_дело_355459		Челобитье великого князя сначала ободрило Ахмата, но когда после того московский князь не исполнил его требования, Ахмат понял дело так, что русские не боятся его, а между тем посланный вниз по Волге отряд под начальством Ноздреватого и Нордоулата напал на Сарай, разграбил его, и до Ахмата, быть может, дошли об этом слухи.	127:131	0:324
дело	NN	example	22	22_дело_460067		На сей раз это вам не кажется, Это она на самом деле.	48:52	0:53
дело	NN	example	22	22_дело_358800		К сожалению, впереди предстоят не менее кровопролитные дела.	55:59	0:60
дело	NN	example	22	22_дело_133963		-- Комбинат, по сути дела, еще ребенок: ему всего четыре года,-- теперь мои воспоминания прервал Сергей Александрович Новиков, старший инженер производственного отдела министерства.	21:25	0:181
дело	NN	example	22	22_дело_80705		Нынче на постройке всё было на этот счет спокойно, ни от кого не предвиделось подвоха, и Устинов хлопотал по делу, бегал туда-сюда, спорил, доказывал, показывал.	109:113	0:161
дело	NN	example	22	22_дело_37568		А дело топчется.	2:6	0:16
дело	NN	example	22	22_дело_274908		Не в богатстве дело, а в том, чтобы иметь настоящее хозяйство, а к праздникам заготовить и закоптить жирные окорока.	15:19	0:116
дело	NN	example	22	22_дело_176796		И чем дальше, тем больше одолевало пугающее сомнение: он ли был это на самом деле?	77:81	0:82
дело	NN	example	22	22_дело_115568		Все дело в том, что подобный телевизор уже сам по себе представляет часть дизайн-решения квартиры: для него нужна специальная мебель, на которой он будет выглядеть оптимально.	4:8	0:175
дело	NN	example	22	22_дело_173990		Дескать, не без дела сидим, а чутко прислушиваемся к веяниям времени.	16:20	0:69
дело	NN	example	22	22_дело_152348		Фёдор Акинфович упоминается на воеводстве под 1339 годом, а его брат Иван-- в 1349 году, когда тот возглавлял рать в походе на Новгород Великий(«воевать» Новгород, как мы видим, было фамильным делом Ратшичей).	193:198	0:209
дело	NN	example	22	22_дело_346029		Пора, пора наконец заняться делом»...	28:33	0:37
дело	NN	example	22	22_дело_92878		В этот момент, стоя на преподавательской кафедре, семинарист Бурденко, казалось, и в самом деле испуганно вглядывался во взметнувшееся к небесам зловещее пламя, слышал треск и шипение раздираемого жаром дерева, плач детей, рыдания женщин, видел обезумевших лошадей и коров, опаленных ворон, и-- кричал, как действительно застигнутый бедой, во весь голос:	91:95	0:354
дело	NN	example	22	22_дело_401038		Во-первых, надо было петлю сделать и к пальто пришить-- дело минуты.	56:60	0:68
дело	NN	example	22	22_дело_169440		и делам Твоим удивлюсь.	2:7	0:23
дело	NN	example	22	22_дело_296972		И вот Лу жила именно в этой среде, во всяком случае, ей часто приходилось иметь дело с этими людьми.	80:84	0:100
дело	NN	example	22	22_дело_427204		Дело отвечает само за себя и имеет свой собственный внутренний интерес, достаточно значительный, чтобы представлялась крайность прибегать к сдабриванию его какими-нибудь околичностями.	0:4	0:184
дело	NN	example	22	22_дело_310253		Перед нами-- решающая фигура во всем деле.	37:41	0:42
дело	NN	example	22	22_дело_132287		И его показания, возможно, пригодятся: вчера генпрокуратура Литвы решала вопрос о возбуждении против Шлежявичюса уголовного дела.	124:128	0:129
дело	NN	example	22	22_дело_35583		На самом деле он прирожденный журналист.	9:13	0:40
дело	NN	example	22	22_дело_378616		-- Это не будет новостью для вашего величества, вам известно, что я, будучи военным министром, поселил в 1807 году на казенных землях Могилевской губернии два батальона елецкого и полоцкого полков, но дело не получило развития по независящим от меня обстоятельствам...	201:205	0:268
дело	NN	example	22	22_дело_158002		На любом предприятии, имеющем дело с продуктами питания, принимается множество мер, суть которых сводится к одному-- не допустить отравления людей пищей.	30:34	0:153
дело	NN	example	22	22_дело_436891		Кишенский прятался и писал в своих фельетонах намеки на то самое мошенничество, которое сам устроил; Михаил Бодростин был смущен полученными им по городской почте анонимными письмами, извещавшими его, что указываемое в такой-то газете дело о фальшивых векселях непосредственно касается его.	235:239	0:290
дело	NN	example	22	22_дело_295551		Левые колеса уже катятся по тротуару-- вот-вот мы зацепим осью дощатый забор министерства морских дел петлюровской директории.	98:101	0:126
дело	NN	example	22	22_дело_285509		Он требовал, чтобы Исполнительный Комитет вмешался немедленно, поставив дело на официальную почву.	72:76	0:98
дело	NN	example	22	22_дело_227336		Дальнейшее-- не мое дело.	20:24	0:25
