lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
информация	NN	example	22	22_информация_33569		По городу было расставлено 300 тыс. камер наблюдения, за информацию о возможных угрозах проведению Олимпиады власти обещали выплачивать награду в семь с лишним тысяч долларов.	57:67	0:175
информация	NN	example	22	22_информация_11245		Исходный набор информации составили данные по 46 исследованиям в 1-й и 2-й группе и по 33 исследованиям в 3-й группе.	15:25	0:117
информация	NN	example	22	22_информация_14103		Получить дополнительную информацию, программу для автоматизированного заполнения Декларации по налогу на доходы физического лица за 2002 год(форма 3-НДФЛ), определить номер налоговой инспекции по адресу проживания вы можете на официальном сайте УМНС России по г. Москве.	24:34	0:270
информация	NN	example	22	22_информация_32674		-- Судя по той информации, которой мы располагаем, загоревшийся кабель должны были заменить еще десять лет назад,-- подтверждает эту гипотезу первый заместитель генерального директора ВНИИ кабельной промышленности Григорий Свалов.	15:25	0:230
информация	NN	example	22	22_информация_4288		Самое главное сейчас-- это принять смену, получить максимум информации от первого экипажа, а все остальное потом.	60:70	0:113
информация	NN	example	22	22_информация_29742		В результате статистической обработки массовой информации можно выявить тесные связи между ростом колец и колебаниями температур и осадков.	47:57	0:139
информация	NN	example	22	22_информация_20091		Одна из цитат: самый продаваемый товар-- это страх и информация.	53:63	0:64
информация	NN	example	22	22_информация_109		-- Могут ли потребители информации как-то повлиять на ситуацию, если они больше не хотят таких новостей?	24:34	0:104
информация	NN	example	22	22_информация_123		Однако информацию ингушской стороны об оружии и боеприпасах, пропавших вместе с Хисматулиным и Башковым(2 автомата, пулемет и 600 патронов), Чибизов подтвердил.	7:17	0:160
информация	NN	example	22	22_информация_27638		Следовательно, и относительно простые синтетические полимеры несут в себе некоторые элементы информации, которые, хотя и не приводят к самоупорядочению или самоорганизации, свойственным биополимерам, при надлежащем внешнем воздействии могут привести к сходным эффектам.	93:103	0:269
информация	NN	example	22	22_информация_13102		Необходимо отметить, что в задачах классификации текстовой информации пока не найдено эффективных алгоритмов обучения, сочетающих достоинства малой вычислительной сложности и высокой степени обобщения(точности решающего правила).	59:69	0:229
информация	NN	example	22	22_информация_11188		2 ст. 49 Закона, поскольку нарушение личных неимущественных прав автора действительно затрагивает общественные интересы: доведение до публики произведения в искаженном виде, неверная информация об авторе произведения.	183:193	0:217
информация	NN	example	22	22_информация_15973		* информационно-аналитическое и программно-технологическое обеспечение обработки, анализа и представления пространственно-временной информации о состоянии природных ресурсов и окружающей природной среды руководству министерства и в Ситуационном центре МПР;	132:142	0:256
информация	NN	example	22	22_информация_35158		Бизнесмены платят милиционерам за крышу, охрану и информацию, состоятельные преступники-- за безмятежность и покой, остальные-- сами знаете...	50:60	0:142
информация	NN	example	22	22_информация_33438		В основе успеха атаки Джорджа Сороса против фунта стерлингов в сентябре 1992 года лежало сочетание точного анализа фундаментальных данных и наличия фактически инсайдерской информации о намерениях заинтересованных сторон.	172:182	0:220
