lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
муж	NN	example	22	22_муж_44749		Оглянувшись с улыбкой на мужа, который успел только крикнуть:«Берегись, лошадь горячая!»-- она сделала знак своим спутницам и помчалась вперегонку с ними, сначала по дороге, потом в поле-- через канавы, кочки, рвы и плетни.	25:29	0:223
муж	NN	example	22	22_муж_4423		Тогда, встречая в театре некоторых знакомых-- крупных работников, я по привычке здоровалась, но не получала даже ответного кивка и все удивлялась, пока муж не приказал мне не узнавать бывших знакомых моего отца.	152:155	0:211
муж	NN	example	22	22_муж_62203		Сознательно или бессознательно, но признавал это и всегда сосредоточенно-величественный и загадочно-молчаливый муж ее, и молодой, считавший себя далеким от ее влияния, сын.	111:114	0:172
муж	NN	example	22	22_муж_78306		Хоть около меня были любимые и наиболее дорогие для меня существа: муж, ребенок, моя мать и брат, но мне недоставало чего-то главного, недоставало родины, России.	67:70	0:162
муж	NN	example	22	22_муж_81886		На примѣръ: мыть дѣтей предъ крещеніемъ; посыпать у дѣвокъ предъ бракомъ землею головы въ знакъ покорности мужу; поливать водою могилы, а иногда и арбузнымъ сокомъ.	107:111	0:164
муж	NN	example	22	22_муж_58908		Можете ли вы предположить возможность мужа, который рыдает над гробом своей жены, с которой сорок лет грызся, как кошка с собакою?	38:42	0:130
муж	NN	example	22	22_муж_29396		Все выходные мужа по Киеву возила-- такой класс!!:-) Давайте девченки, дерзайте в вождении!!:-) Мне больше всего понравился урок, где рассказывали как правильно размещать деток в а/м и специальные кресла для наибольшей безопасности-- класс!!	13:17	0:241
муж	NN	example	22	22_муж_5273		-- Что мужу скажешь?-- ревниво поинтересовался Александр Антонович.	7:11	0:67
муж	NN	example	22	22_муж_68292		Она была родом генуэзка, даже очень хорошей фамилии, и оставила мужа, чтоб иметь удовольствие путешествовать с моим белокурым приятелем.	64:68	0:136
муж	NN	example	22	22_муж_3141		А вот окунешься в теплые воды Карибского моря-- и ты не ты, не мягкий обходительный муж, а кровожадный буканьер с несколькими ножами на кожаном ремне и короткой саблей.	84:87	0:168
муж	NN	example	22	22_муж_16682		-- снова-- уравнял-- он-- себя-- и-- Цахилганова-- себя-- и-- её-- мужа-- как-- имеющий-- на-- это-- какое-то-- туманное-- право--	67:71	0:130
муж	NN	example	22	22_муж_66615		В те восемь месяцев, во время которых она, будучи взята на поруки, ожидала суда, она не только помирилась с мужем, но так полюбила его, что суд застал ее живущей с мужем душа в душу.	108:113	0:182
муж	NN	example	22	22_муж_55288		Я удивляюсь, почему многие женщины ревнивость мужей своих почитают за доказательство любви их.	46:51	0:94
муж	NN	example	22	22_муж_62044		-- Не муж,-- грустно сказала Фленушка.	6:9	0:38
муж	NN	example	22	22_муж_52416		"За богатым мужем жить-- 	Во цветном платье ходить."	11:16	0:50
муж	NN	example	22	22_муж_33945		Сынок посадил его в большую коробку на балконе, набросал туда травы и морковки, а сверху, чтобы животное не сбежало, придавил большой банкой с красной краской, которую только что купил муж, чтобы покрасить тамбур.	185:188	0:213
