lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ряд	NN	example	22	22_ряд_12316		Игра по нотам дала бы возможность прослушать многие первоклассные сочинения, которые при настоящих обстоятельствах публика не имеет возможности слушать в концертах; так например, весьма желательно было бы, чтобы в репертуар концертов вошли такие вещи, как Первая и Вторая сонаты Рубинштейна, чудная соната fis-moll, целый ряд пьес ор. 72 Чайковского, из которых только один раз пришлось увидеть на афише«Meditation», ряд пьес ор. 37 его же, под названием«Времена года», из которых более известна публике Баркарола, укажу затем еще на Variations ор. 19, чрезвычайно интересные; упомяну еще ор. 82 Рубинштейна, из которого исполняется Polka, да изредка Трепак, между тем в этом сборнике в числе других пьес есть прекрасные Чардаш и Тарантелла.	322:325	0:741
ряд	NN	example	22	22_ряд_23320		Однако, начиная с 1971 года, в Институте парапсихологии в США Г. Шмидтом был осуществлен целый ряд экспериментов, заставляющих усомниться в невозможности ретроспективных акций.	95:98	0:176
ряд	NN	example	22	22_ряд_9885		Неподалеку от кафедры сидят в первом ряду два старика профессора: маленький тщедушный терапевт и могучий, с седой львиной гривой, анатом.	37:41	0:137
ряд	NN	example	22	22_ряд_70312		Вон-- длинный ряд вывесок, возвещающих место жительства разных артистов по части гребенки, иголки, шила и ножниц: это все знаменитости.	14:17	0:135
ряд	NN	example	22	22_ряд_3572		Перед каждым праздником я видел, как взрослые готовятся к чему-то из ряда вон выходящему.	69:73	0:89
ряд	NN	example	22	22_ряд_58499		Скорняк уже перебрал, подпустил парочку хоря, и теперь заправская будет шуба,-- прямо купец с Рядов.	94:99	0:100
ряд	NN	example	22	22_ряд_26945		Собственно, можно усмотреть переходное звено от крестово-купольных храмов к шатровой церкви в бесстолпных посадских храмах, тянущихся вверх своими рядами кокошников, но скорее здесь некое параллельное развитие конструктивной мысли-- стоит лишь сравнить эти церкви, как становится ясно, что разница в масштабах здесь была делом не количественным, а качественным.	147:153	0:361
ряд	NN	example	22	22_ряд_2909		В 1971-- 1973 годы я написал целый ряд публицистических статей.	35:38	0:63
ряд	NN	example	22	22_ряд_5595		Изорванные и вышвырнутые им листки со скучными записями опускались, кружась, как снег, на первые ряды кресел.	97:101	0:109
ряд	NN	example	22	22_ряд_21270		И Охотный ряд ломился от ее произведений, добровольно, за наличные проданных купцам.	10:13	0:84
ряд	NN	example	22	22_ряд_62740		Ложимся мы с писарем на бурку, разостланную возле горящего костра, чернильницу ставим в горячую золу и, дрожа всем телом, над углями отогревая чернила, леденеющие на пере, выводим на бумаге ряды букв чудовищного вида.	190:194	0:217
ряд	NN	example	22	22_ряд_10528		За ним ряд похожих домов, дальше виднелись холмы с редкими деревьями, поблескивало гладкое шоссе до Бомбея и Океана.	7:10	0:116
ряд	NN	example	22	22_ряд_40700		Это же относится к целому ряду других предметов: бесконечные даты и имена в истории-- без ясного представления об исторических процессах.	26:30	0:137
ряд	NN	example	22	22_ряд_66128		Великий князь был спасен только мгновенным движением трех матросов, стоявших также в рядах бунтовщиков.	85:90	0:103
ряд	NN	example	22	22_ряд_44778		Только что переданный рассказ входит в цикл рассказов об индийском царе; таких циклов мы в индийской литературе знаем целый ряд, так же как и в других литературах, восточных и западных; около крупных или в том или в другом отношении любопытных исторических личностей, особенно правителей, всегда создавались циклы[легенд], частью несомненно основанных на действительности, и, что необходимо отметить, легенды одного цикла часто с соответствующими времени и месту изменениями приурочиваются к другому циклу.	124:127	0:506
