lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
данные	NN	example	22	22_данные_17210		Это новый этап развития интернета, значительно расширяющий возможности сбора, анализа и распространения данных.	104:110	0:111
данные	NN	example	22	22_данные_3028		Ага, вот последние данные...	19:25	0:28
данные	NN	example	22	22_данные_22453		При обсуждении вопроса о методологии сопоставления жилищных услуг представители СНГ подчеркнули, что в регионе СНГ будет применяться так называемый«количественный метод», использовавшийся в предыдущих раундах сопоставлений ВВП стран СНГ; этот метод предполагает исчисление композитного индекса физического объема жилищных услуг путем агрегирования данных о размерах жилищ и наличии удобств; при таком методе паритеты для жилищных услуг исчисляются косвенным образом путем деления индекса стоимости жилищных услуг на упомянутый индекс физического объема жилищных услуг.	348:354	0:568
данные	NN	example	22	22_данные_35044		По неуточненным данным подразделения 8 гмп при выходе из окружения имели следующих потери:	16:22	0:90
данные	NN	example	22	22_данные_2416		Поэтому, когда наутро данные прослушивания легли на стол Гиммлера, он, рассвирепев поначалу, а после, когда гнев остыл, испугавшись, вызвал Мюллера и приказал ему выяснить-- только осторожно: кто разговаривал из спецкомнаты правительственной связи сегодня ночью с штабквартирой НСДАП, с Борманом.	22:28	0:296
данные	NN	example	22	22_данные_8504		Информация носит рекламный характер, так как содержит данные в основном по возможности применения покрытий.	54:60	0:107
данные	NN	example	22	22_данные_39035		В то же время моими помощниками были собраны данные о некоторых озерах Смоленской губернии(в Поречском и Вельском уездах).	45:51	0:122
данные	NN	example	22	22_данные_14508		По данным следствия, четырежды судимый Жафар Коваленко последний раз вышел на свободу в 1994 году.	3:9	0:98
данные	NN	example	22	22_данные_21582		Также в ходе пересмотра были произведены некоторые улучшения в части методологии и источников данных, например:	94:100	0:111
данные	NN	example	22	22_данные_13796		Сводные данные о белках различных представителей найровирусов	8:14	0:61
данные	NN	example	22	22_данные_32511		Только не надо путать стихии-- с данным, его«лицо»(не-лицо) удостаивать своей ревности(страдания).	33:39	0:98
данные	NN	example	22	22_данные_9990		Однако Госкомстат России свидетельствует, а Минэкономразвития России эти данные подтверждает, что и экономический рост, и реформы исчерпали свои резервы.	73:79	0:153
данные	NN	example	22	22_данные_20864		В 2003 г. комиссия при ООН отвергла аналогичную российскую заявку, не подкрепленную соответствующими детальными данными.	112:119	0:120
данные	NN	example	22	22_данные_36081		Так ли происходило это событие, или не так, и вообще происходило ли оно в действительности, судить трудно, за неимением веских и убедительных исторических данных.	155:161	0:162
данные	NN	example	22	22_данные_15788		Подготовка исходных горно-геологических данных производится в соответствии с п. 4.1.	40:46	0:84
данные	NN	example	22	22_данные_21158		Поэтому необходимо уходить от стимулирования затрат и повторного счета, использовать только данные СНС и отказаться от показателей старой системы учета, основанной на балансе народного хозяйства.	92:98	0:195
данные	NN	example	22	22_данные_12878		По данным ВОЗ, ежегодно около 50 млн. человек в мире заболевают гепатитом В, а умирают до 2 млн. человек(из них примерно 100 тыс. от молниеносной формы, около 700 тыс. от цирроза печени и 300 тыс. от первичной гепатокарциномы.	3:9	0:226
данные	NN	example	22	22_данные_22964		Большое значение при этом приобретают данные сравнительной анатомии, изучающей структурные преобразования сходных органов у разных животных.	38:44	0:140
данные	NN	example	22	22_данные_12220		В пределах западного участка Каинсайской мульды по данным сейсморазведки МОГТ прогнозируется наличие солей мощностью в первые сотни метров.	51:57	0:139
данные	NN	example	22	22_данные_32760		Согласно официальным данным, чумные заболевания продолжают распространяться, с каждым днем захватывая новые участки города и концентрируясь пока преимущественно на окраинах.	21:27	0:173
данные	NN	example	22	22_данные_16917		– модуль управления КСЗ, среди задач которого: а) организация взаимодействия СЗ, входящих в КСЗ и имеющих различное назначение, б) анализ событий безопасности и инициация тех или иных СЗ по мере необходимости, в) реализация интерфейса доступа к данным хранилища, г) оповещение администраторов.	245:251	0:293
данные	NN	example	22	22_данные_13590		Необходимо дальнейшее накопление данных о роли вируса Дхори в патологии человека и сельскохозяйственных животных.	33:39	0:113
данные	NN	example	22	22_данные_28862		Попытаться реконструировать идеологические представления древнего человека и связанные с ними обряды мы можем, опираясь на данные этнографии о системе инициаций первобытнообщинной эпохи и их позднейшей модификации-- тайных мужских союзах.	123:129	0:238
данные	NN	example	22	22_данные_515		По данным газеты«Филадельфия инкуайрер», еженедельно 2100 человек обращаются в ЦРУ с просьбой об устройстве на службу.	3:9	0:118
данные	NN	example	22	22_данные_11210		В настоящее время активно развиваются технологии параллельной обработки данных на основе мультипроцессорных и мультимашинных систем.	72:78	0:132
данные	NN	example	22	22_данные_9831		Я иду в боксы той или иной команды, когда там что-то происходит, когда там как раз работают над машиной, когда мне необходимы какие-то специальные данные-- например, если хочу оценить полученные результаты, проверить состояние резины после большого количества пройденных кругов-- или мое присутствие требуется в связи с какой-то проблемой.	147:153	0:339
данные	NN	example	22	22_данные_24263		Я думаю, отсутствие у других стран опытных данных о крупных дизельных установках позволило немцам ввести в заблуждение мировую общественность и создать корабли, в 1,5-1,7 раза более крупные, чем разрешалось по Версальскому миру.	43:49	0:228
данные	NN	example	22	22_данные_25271		На вход такого устройства подаются сигнал, вводные данные, на выходе получается результат, а что происходит внутри черного ящика, неизвестно.	51:57	0:141
