lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
точка	NN	example	22	22_точка_37482		Как и следовало ожидать, Набоков встал на чисто формальную точку.	59:64	0:65
точка	NN	example	22	22_точка_13246		Исследователи считают, что этот случай подтверждает существующую точку зрения о возможности передачи вируса при половых контактах между женщинами, и рекомендуют лесбийским парам применять специальные женские презервативы и не пользоваться одними«игрушками» без дезинфекции.	65:70	0:273
точка	NN	example	22	22_точка_2124		С разных точек комнаты Лопатин снимал Тимонина, безучастно сидящего на краю кровати рядом с беспомощной жертвой.	9:14	0:112
точка	NN	example	22	22_точка_3841		С моей точки зрения, введение рыночных отношений надо было начинать с торговли и сельского хозяйства, дав полную инициативу купцу и крестьянину.	7:12	0:144
точка	NN	example	22	22_точка_43089		Высшая точка, достигнутая шаром, равнялась 15 300 метр.	7:12	0:55
точка	NN	example	22	22_точка_41938		Из задних рядов едва виден ринг; оба боксера кажутся точками-- и публику задних рядов осведомляет особый гигантский рупор; но и его звуки не способны долетать до райка, их перехватывают специальные телефонисты и передают дальше по сложной системе телефонов, связанных с рупорами...	53:60	0:281
точка	NN	example	22	22_точка_50008		Правительство обеспечивает полную свободу выборов в станицах и войсковых частях, и каждый гражданин сможет развить свою агитацию и отстаивать свою точку зрения на назначенных выборах в Войсковой круг.	147:152	0:200
точка	NN	example	22	22_точка_11953		Ученые из Великобритании проанализировали жизнь многих величайших мыслителей и нашли некоторые условия, которые, с точки зрения исследователей, являются основополагающими компонентами для того, чтобы отдельно взятый индивид стал яркой интеллектуальной личностью.	115:120	0:262
точка	NN	example	22	22_точка_25764		Создание локомотива серии«Нв» интересно с технической точки зрения: оно результат коренного изменения во взглядах русских инженеров на использование железнодорожного транспорта.	54:59	0:177
точка	NN	example	22	22_точка_25894		Летом 1976 года миллионы людей во всех точках земного шара не уставали задавать себе этот вопрос.	39:45	0:97
точка	NN	example	22	22_точка_41210		Мы вполне понимаем с этой точки зрения то негодование, которое высказывает по поводу этой нетерпимости д-р Бразоль в своем письме в одну из газет.	26:31	0:146
точка	NN	example	22	22_точка_46716		Не гимн Клеанфа должны мы противопоставить трагедиям Эсхила, а трактаты Посидония, и разобрать те и другие не с поэтической, а с религиозно-философской точки зрения, сводя грандиозные символы элевсинского певца к отвлеченным рассуждениям,-- тогда результат будет иной.	152:157	0:268
точка	NN	example	22	22_точка_2312		Попал в точку?	8:13	0:14
точка	NN	example	22	22_точка_5602		Ничего такого мы не нашли, да и не рассчитывали, обыск был простой формальностью, но с точки зрения женщины я ей в душе искренне посочувствовала.	87:92	0:145
точка	NN	example	22	22_точка_9036		-- Если смотреть с точки зрения грамматики, так у вас все какие-то обезличенные глагольные окончания.	19:24	0:101
точка	NN	example	22	22_точка_22776		Прямая, параллельная стороне АB треугольника ABC, пересекает сторону BC в точке М, а сторону АС-- в точке N.	74:79	0:108
точка	NN	example	22	22_точка_39131		Мечты о совершенном воплощении во времени абсолютного общественного идеала-- не только утопичны, теоретически несостоятельны;-- они сомнительны даже и с морально-философской точки зрения.	174:179	0:187
точка	NN	example	22	22_точка_57195		С точки зрения этих целей мы смекаем даже, для чего явилась княжна Х....ая.	2:7	0:75
точка	NN	example	22	22_точка_51001		С той точки зрения, которую я приводил выше,-- и то и другое является живой силой.	6:11	0:82
точка	NN	example	22	22_точка_4371		Кроме романов(перу Мориака принадлежит около двадцати) он за пятьдесят лет литературной деятельности написал множество эссе, исследований, статей, дневниковых размышлений о христианстве и— с христианской точки зрения— о современном состоянии человечества; его мысли казались еретическими богословам, вызывали сочувствие у единомышленников, но большинство читателей Мориака оставались равнодушными к этой стороне его творчества.	204:209	0:427
точка	NN	example	22	22_точка_51015		Я вообще протекционист, и с моей дилетантской точки зрения мне кажется, что мы только можем выиграть от самой строгой запретительной системы.	46:51	0:141
точка	NN	example	22	22_точка_1619		Энтузиазм Центра подпитывал тот факт, что американцы с англичанами приступили к раскопкам сразу в четырех точках в окрестностях Иерусалима.	106:112	0:139
точка	NN	example	22	22_точка_37413		Все это, с моей точки зрения, к лучшему.	16:21	0:40
точка	NN	example	22	22_точка_9774		От первого слова до точки эта книга покоилась на том, что все умрут(все остальные книги пишутся для того, чтобы вышло наоборот), примут участие в неизбежном общественно полезном процессе задыхания и хрипения, и мертвения, и будут вести себя как рыбки за кормом, собаки с электродом, парниковые огурцы, проще, чем маленькие дети у кондитерской витрины,-- тропы, жизненные дороги, все эти удивительно неповторяющиеся лица и несхожие судьбы сольются в одну ржавую трубу, одинаково прожурчат тритри--пять колен и кончатся-- одинаково легко сломается именно то, что жалеешь всего больше,-- неповторимость; я прочел и второй раз в жизни почуял дуновение силы, что ломает всех, сломает всех-- на несколько невыносимых мгновений я поверил.	20:25	0:731
точка	NN	example	22	22_точка_36514		В пятницу же была поставлена точка в дискуссии о том, где будут голосовать на референдуме 23 марта вынужденные переселенцы, находящиеся в Ингушетии.	29:34	0:148
точка	NN	example	22	22_точка_45701		Нагие могли стоять на такой же точке зрения.	31:36	0:44
точка	NN	example	22	22_точка_45425		Кондратьева сорвал завесу и показал, что с точки зрения производства положение России сейчас на душу населения стоит на уровне 75% и, вероятно, ниже довоенного времени.	43:48	0:168
точка	NN	example	22	22_точка_44788		Другим делом была подготовка покушения в Москве на адмирала Дубасова, который после разгрома московского восстания, естественно, с точки зрения революционеров подлежал высшей каре.	131:136	0:180
точка	NN	example	22	22_точка_7250		Здесь я вижу лишнее доказательство правильности сделанного выбора точки отсчета.	66:71	0:80
точка	NN	example	22	22_точка_3689		Потому что вот тут и пришло самое главное, что должно было прийти с открыткой,-- жалость, боль за тетку, которая фейерверком ставит точку на жизни.	132:137	0:147
точка	NN	example	22	22_точка_8736		Мечтая о встрече с ним, я надеялся поставить точку: вот вам последний живой отпрыск моего героя, и вот вам последний разговор, проясняющий середину романа и, одновременно, самим своим фактом этот роман завершающий.	45:50	0:214
точка	NN	example	22	22_точка_5556		Отсюда, понятно, и точка зрения у нас на человека подозрительная.	19:24	0:65
точка	NN	example	22	22_точка_56456		Следствием такого направленья было то, что мы до того забежали вперед, до того разошлись с действительностью, что не имели ни одной точки, на которой бы могли, без тягостного чувства, помириться с нею.	132:137	0:201
точка	NN	example	22	22_точка_44306		Это продолжается менее минуты и, чтобы удвоить время, я делаю переход по пахоте на противоположную точку, шагах в двадцати расстояния, и становлюсь там опять в ожидании группы.	99:104	0:176
точка	NN	example	22	22_точка_16333		Если все малы по сравнению с d, флуктуации носят трехмерный характер, поверхности постоянного уровня в пространстве=const топологически эквивалентны сфере; если один из радиусов велик по сравнению с d, то поверхность уровня эквивалентна цилиндру; если два,-- то поверхность вырождается в плоскость; если три,-- в точку.	313:318	0:319
