lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
работа	NN	example	22	22_работа_224750		По условиям своей работы ему приходится переезжать с места на место и часто бывать в командировках.	18:24	0:99
работа	NN	example	22	22_работа_27141		Убивают несоответствием выполняемой работы и условий, в которых она проводится.	36:42	0:79
работа	NN	example	22	22_работа_3151		Специалисты давно ведут работы, направленные на то, чтобы сделать огромные информационные залежи действительно легкодоступными и полезными.	24:30	0:139
работа	NN	example	22	22_работа_84359		Чем интенсивнее сжимаются и разжимаются мышцы, напоминая работу сердца, тем интенсивнее происходит смывание тканей кровью.	57:63	0:122
работа	NN	example	22	22_работа_53651		Четвертое: необходимо срочно достать молоко-- и не простое, а молозиво только что родившей самки, иначе у малышей не наладится нормальная работа желудка.	138:144	0:153
работа	NN	example	22	22_работа_129967		Внедрение Государственной системы обеспечения единства измерений-- один из важных этапов этой работы.	94:100	0:101
работа	NN	example	22	22_работа_41339		И знаете, не так уж страшно в цехе, хотя работа изнурительная и многие женщины калечатся или заболевают неизлечимыми болезнями.	41:47	0:127
работа	NN	example	22	22_работа_75234		Россия считает, что целью работы по рассмотрению действия ДНЯО должно оставаться сохранение и укрепление Договора, а также противодействие попыткам его расшатывания и тем более ревизии.	26:32	0:185
работа	NN	example	22	22_работа_94439		Я его, товарищи, на работу брать не хотел, а теперь предлагаю: бригаде Бенюха выдать премию сто рублей и присвоить ему самому шестой разряд».	20:26	0:141
работа	NN	example	22	22_работа_223910		Он изнурял себя работой, часами не слезая с лобогрейки, и все же вспоминал Наталью; память настойчиво воскрешала давно минувшее, различные, зачастую незначительные эпизоды совместной жизни, разговоры.	16:23	0:200
работа	NN	example	22	22_работа_116067		Электронный навигатор, несмотря на некоторые погрешности в работе, оказался чрезвычайно полезным устройством.	59:65	0:109
работа	NN	example	22	22_работа_226377		Работа к крайнему огорчению моему подвигалась очень медленно.	0:6	0:61
работа	NN	example	22	22_работа_9876		В цирке все время идет работа-- репетиции, представления.	23:29	0:57
работа	NN	example	22	22_работа_208959		Приведенный перечень вопросов не исчерпывает всей работы органов тыла.	50:56	0:70
работа	NN	example	22	22_работа_66522		P.S. В 1989 году Аркадий Павлович Чайников поступает учиться в Московскую высшую школу тренеров и заканчивает работу в Дубне.	110:116	0:125
работа	NN	example	22	22_работа_87340		В жене происходит своя душевная работа, свой рост, свой личностный выбор, которого не заменить никаким послушанием.	32:38	0:115
работа	NN	example	22	22_работа_20091		До нас, аспирантов академии, мелкими кусочками доходила информация, что вот-вот Хрущева освободят от работы.	101:107	0:108
работа	NN	example	22	22_работа_42033		Жебровский с непривычки к такой работе быстро уставал, и его отправили за руль.	32:38	0:79
работа	NN	example	22	22_работа_28839		Мы оба тогда подумали, что это связано с папиной работой за границей: уже давно, перебирая в уме совершенно непонятный набор фамилий арестованных и неарестованных, все замечали, что к весне этого года людей, побывавших за границей, как будто совершенно не осталось на свободе.	49:56	0:276
работа	NN	example	22	22_работа_1286		-- После такой победы можно найти работу получше.	34:40	0:49
работа	NN	example	22	22_работа_150292		Мой предшественник, кажется, махнул на все рукой, целиком положившись на оперативников, да и то сказать, ему не до работы было-- он сейчас в больнице лежит с подозрением на опухоль желудка.	115:121	0:189
работа	NN	example	22	22_работа_65146		-- подводить итоги боевой подготовки, воспитательной работы, воинской дисциплины, внутреннего порядка и ставить задачи должностным лицам по устранению выявленных недостатков, организации воспитательной работы и укреплению воинской дисциплины на предстоящую неделю;	53:59	0:264
работа	NN	example	22	22_работа_35887		Пришлось помочь сыну уйти из охраны и перевести его на работу в казначейство.	55:61	0:77
работа	NN	example	22	22_работа_142398		Не стоит вдаваться в подробности, но стиль работы первого секретаря был авторитарным.	43:49	0:85
работа	NN	example	22	22_работа_198136		Таких кружков насчитывается 6-- с общим числом членов в 130 чел., но планомерной работы, за исключением кружка при Союзе транспортников, не ведется.	81:87	0:148
работа	NN	example	22	22_работа_107424		Джонс, позвольте, рантье и воротничёк дают технологию, работу, деньги и аграриям Америки и заводским рабочим Китая, а что даёт негр в Франции?	55:61	0:142
работа	NN	example	22	22_работа_53051		Все равно на работу он не ходит,-- сказал кто-то из президиума.	13:19	0:63
работа	NN	example	22	22_работа_99861		Хорошая координация движений отличается ритмичной работой ног, не зависимой от движений руками.	50:57	0:95
работа	NN	example	22	22_работа_14566		Дальнейшая судьба Блюмкина такова: сначала он бежал на Украину, потом явился с повинной, был амнистирован и даже принят обратно на работу в ЧК.	131:137	0:143
работа	NN	example	22	22_работа_122006		Эти же элементы обеспечивают одновременно более плавную работу цепи с меньшей вибрацией.	56:62	0:88
работа	NN	example	22	22_работа_144475		При самовластье любой формации эта публика сидит по полуподвалам и для отвода глаз сочиняет нормативы на газосварочные работы, интригует помаленьку и любит ходить по инстанциям.	119:125	0:177
работа	NN	example	22	22_работа_30512		Это была адская работа.	16:22	0:23
работа	NN	example	22	22_работа_114401		Самолётостроители, за работу!	22:28	0:29
работа	NN	example	22	22_работа_241644		Но уже несколько лет назад я указал в работе, выполненной мною совместно с Вейнбергом и Менилем, что у очень старого попугая, за несколько лет до смерти впавшего в дряхлость, в нервных клетках не оказалось и следа пигментных зерен.	38:44	0:231
работа	NN	example	22	22_работа_111206		Когда группа вернулась в Москву и начались павильонные съёмки, работа и дальше продолжались в том же сумасшедшем, невероятном темпе.	63:69	0:132
