lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
язык	NN	example	22	22_язык_98450		Между тем Фатер и Таппе чувствовали, что для языка русского иностранное воззрение не годится, что для него нужно особое объяснение, особая точка зрения, и старались ее отыскать; конечно, они не нашли ее, но и то уже, что почувствовали ее потребность, что искали ее, составляет в глазах наших не маловажную услугу.	45:50	0:313
язык	NN	example	22	22_язык_73917		Русская литература за это время на основе очень развитого уже литературного языка создала ряд выдающихся оригинальных произведений, во главе которых стоят памятники мирового значения--«Повесть временных лет» и«Слово о полку Игореве».	76:81	0:233
язык	NN	example	22	22_язык_69222		В языке наш несдержан.	2:7	0:22
язык	NN	example	22	22_язык_107088		-- Я не люблю лживых поповских языков, Мариетт, смазанных сверху правдой, как приманка для мух.	31:37	0:95
язык	NN	example	22	22_язык_88423		Сѣченовъ, побывавшій разъ въ Ораніенбаумѣ, говорилъ, что дворецъ и мѣстечко напомнили ему сказаніе библейское о столпотвореніи вавилонскомъ, гдѣ раздавались всѣ языки земные.	161:166	0:174
язык	NN	example	22	22_язык_29758		-- Действительно, его язык работает быстрее, чем голова.	22:26	0:56
язык	NN	example	22	22_язык_40663		Aham-kara, букв. делание, изготовление Я, переводится на современные языки как«сознание Я», но в kara есть смысл поделки и подделки.	69:74	0:132
язык	NN	example	22	22_язык_79553		Моя книга«Три столицы» при переводе на французский язык была названа«Возрождение России».	51:55	0:89
язык	NN	example	22	22_язык_89845		Но если-бы кто-нибудь положилъ на одну изъ нихъ всю массу народа, его обычаи и законы, его исторію и религію, а на другую языкъ, то увидѣлъ бы, что языкъ занялъ бы средину.	122:127	0:172
язык	NN	example	22	22_язык_56115		Мужчинам удобно было бы таким языком прическу поправлять.	30:36	0:57
язык	NN	example	22	22_язык_83999		Несчастные больные, не зная арабского языка, гибнут от голода, валяясь не только в трущобах, по дворам гошей, но и на людных площадях, улицах.	38:43	0:142
язык	NN	example	22	22_язык_47623		Однако в настоящее время язык жестов(мимика и пантомимика) является лишь как бы аккомпанементом к основному тексту звуковой речи: жест имеет в нашей речи лишь вспомогательное, второстепенное значение.	25:29	0:200
язык	NN	example	22	22_язык_85942		Площадка и грохот составляли весь нехитрый прибор, на котором производилась промывка золотоносных песков, на ученом языке горных инженеров этот прибор называется вашгердом.	116:121	0:172
язык	NN	example	22	22_язык_73942		А рать у этих обезьян очень велика, и есть у них свой язык, а детей родят они много, и которые дети родятся ни в отца, ни в мать, тех бросают они по дорогам, и люди берут их, обучают всякому рукоделью, а некоторых продают, но ночью, чтобы не знали, как убежать обратно; некоторых же учат«базы миканет»(т. е. танцевать).	54:58	0:319
язык	NN	example	22	22_язык_45875		Однако возможно функциональное расщепление одного языка с тенденцией последующего возникновения самостоятельных диалектов или даже языков.	50:55	0:138
язык	NN	example	22	22_язык_41895		Язык-- это как бы продолжение человеческого мозга.	0:4	0:50
язык	NN	example	22	22_язык_51810		Проходит какое-то время, раздается звонок, и голос на ломаном русском языке говорит, что он звонит от Роберта Форда, называет свое имя, которое я не расслышал, и спрашивает, когда можно зайти.	70:75	0:192
язык	NN	example	22	22_язык_26328		Во-первых, знание системы не есть принципиальное условие владения языком.	66:72	0:73
язык	NN	example	22	22_язык_25114		«И вырвал грешный мой язык…»	22:26	0:28
язык	NN	example	22	22_язык_42414		Специфические для письменной речи обороты утяжеляют язык.	52:56	0:57
язык	NN	example	22	22_язык_87207		Мне, так же как и им, известно было, что если б я письма распечатал и прочитал, то надлежало бы со всех списать копии, перевести их на японский язык и потом все это вместе отправить в столицу.	144:148	0:192
язык	NN	example	22	22_язык_3523		Мендельштейн не успевал осваивать весь объем и держал небольшой штат литературных«негров», которые за малую долю помогали Семе разгребать авгиевы конюшни того, что на журналистском языке именуется«джинсой».	181:186	0:206
язык	NN	example	22	22_язык_36824		Как показал И. М. Сеченов, выполнение любого строго направленного двигательного акта было бы невозможно при закрытых глазах без мышечно-суставных ощущений, или, говоря языком кибернетики, без обратной связи.	168:174	0:207
язык	NN	example	22	22_язык_46894		Компромисс«Переводчик должен искать компромисса между насилием над подлинником и насилием над своим языком».	100:106	0:108
язык	NN	example	22	22_язык_59211		Руслан Аврамченко(один из создателей международного языка арос, написал книгу«Модель экономики отделения от государства России»):«Я-- человек не говорящий, я-- человек мыслящий».	52:57	0:178
язык	NN	example	22	22_язык_94448		Мы стали писать гораздо хуже наших предшественников, мы перестали любить занятие родным языком и, наконец, незаметно утрачивали музыку, душу языка из-за целого ряда холодных форм и их изменений.	141:146	0:194
язык	NN	example	22	22_язык_46234		Из этого вытекает, что ни одно описание некоторого факта или действия в их отношении к реальному денотату или семантической системе естественного языка не может быть определено как событие или несобытие до того, как не решен вопрос о месте его во вторичном структурном семантическом поле, определяемом типом культуры.	146:151	0:317
язык	NN	example	22	22_язык_34336		Сегодня глобализация-- это одна и та же реклама, одни и те же фильмы и телевизионные форматы по всему миру; это Всемирные Олимпийские игры, которые когда-то были чисто греческими; это победа на конкурсе Евровидения гречанки, исполняющей индийскую мелодию на английском языке; это, наконец, Интернет.	269:274	0:299
язык	NN	example	22	22_язык_95235		Тэн был в эти годы человеком лет сорока, скромной, я бы сказал, учительской наружности, так же скромно одет в черное, носил пенсне, говорил в начале лекции слабоватым голосом, но дальше все одушевлялся, и его дикция и самый язык делались живее, горячее и колоритнее.	224:228	0:266
язык	NN	example	22	22_язык_65627		Но кельты исчезли, их язык позабыт.	22:26	0:35
язык	NN	example	22	22_язык_6167		А они с Митей сразу нашли общий язык.	32:36	0:37
язык	NN	example	22	22_язык_97891		Современный язык литературы и образованного общества должно разобрать также отдельно и подробно, в отношениях лексикальном, грамматическом, литературном, не забывая ни писателей образцовых, заботившихся о своем языке и слоге, ни писателей небрежных, бессознательно повторявших худое и хорошее из привычек языка книг и общества, не забывая также влияния иностранного, вольно и невольно проникавшего в состав и формы языка, в слог и т. д.	12:16	0:436
язык	NN	example	22	22_язык_80256		Десятки других языков и наречий он знал вполне корректно.	15:21	0:57
язык	NN	example	22	22_язык_91018		Роль арабовъ перешла къ евреямъ, которые стали переводить ихъ классиковъ и на латинскій языкъ: она сохранялась за ними до конца среднихъ вѣковъ.	88:93	0:144
язык	NN	example	22	22_язык_51056		Но когда я был молод, я принадлежал к чисто русской православной среде, где мы и не думали употреблять иностранные языки и включать в свою среду нерусских.	115:120	0:155
