lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
система	NN	example	22	22_система_23774		Зинченко В. П. Психологические основы педагогики(Психолого-педагогические основы построения системы развивающего обучения Д.Б. Эльконина-- В.В. Давыдова).	92:99	0:154
система	NN	example	22	22_система_49100		После этого разработкой системы казачьих знамён занялась созданная в 2000 году Геральдическая комиссия российского казачества при этом управлении.	24:31	0:146
система	NN	example	22	22_система_65887		В результате в нашей системе летосчисления 1-й год до н. э. непосредственно примыкает к 1-му году н. э.	21:28	0:103
система	NN	example	22	22_система_76927		Кстати, в США системы управления для Минобороны опираются в значительной мере на решения компании SAP(Германия) при наличии собственной развитой IT-индустрии.	14:21	0:158
система	NN	example	22	22_система_80287		А потом, я уверен, мы вместе дадим генеральное сражение буржуазной власти и капиталистической системе!	94:101	0:102
система	NN	example	22	22_система_93666		Несколько опорных пунктов, расположенных на важных направлениях и в районах(секторах) населенных пунктов, объединяются в одну общую систему обороны и составляют узлы обороны.	132:139	0:174
система	NN	example	22	22_система_50078		А потому, поняв двигательные механизмы системы, мы вынуждены признать ее табу.	39:46	0:78
система	NN	example	22	22_система_9076		Изучив наземный парк средств, которые уже работали для всех других космических программ, Фортушенко с Каплановым и Талызиным предложили использовать комплекс наземных станций системы«Сатурн», разработанных в НИИ-695 под руководством Гуськова.	175:182	0:242
система	NN	example	22	22_система_85585		Но, с другой стороны, и собственная его система может рассматриваться как принципиально позитивная в своих истоках и в своих надеждах.	40:47	0:134
система	NN	example	22	22_система_60749		Система социальных установок называется системой аттитюда и интенсивно изучается социальной психологией.	0:7	0:104
система	NN	example	22	22_система_52042		При более длительном применении диеты Аткинса можно предположить возможность обострения таких недугов, как подагра(из-за избытка мясных продуктов, богатых пуринами), заболеваний сердечно-сосудистой системы(из-за значительного количества насыщенных жиров в рационе).	198:205	0:265
система	NN	example	22	22_система_24638		Возможны и другие варианты данной математической модели как в части иной прикладной значимости(например, за основу можно взять сборочное производство), так и в части другого наполнения целевой функции и системы ограничений с учетом конкретной специфики прикладной системы.	203:210	0:272
система	NN	example	22	22_система_4291		Всякое государство есть, как я понимаю, некая кристаллографическая система, которая жестко связывает аморфные слои населения, составляющие народ.	67:74	0:145
система	NN	example	22	22_система_91420		Не будучи связаны в стройную систему, все ведомства очень легко поддавались изменениям и часто их вызывали(очерк московского управления см. у Владимирского-Буданова«Обзор истории русского права» и у А. Д. Градовского«Высшая администрация в России и генерал-прокуроры»).	29:36	0:269
система	NN	example	22	22_система_35398		«Система рукопашного боя Алесея Кадочникова».	1:8	0:45
система	NN	example	22	22_система_93197		Герцен в то же время усердно занимался в университете; при окончании его он представил сочинение(о системе Коперника), однако не был удостоен золотой медали по причине того, что в сочинении было&quot;слишком много философии&quot;.	99:106	0:230
система	NN	example	22	22_система_51587		Под ним понимают аргумент в дифференциальных уравнениях движения тел Солнечной системы в гравитационном поле.	79:86	0:109
система	NN	example	22	22_система_8774		Эта комбинированная система управления была создана в НИИ-49.	20:27	0:61
система	NN	example	22	22_система_29266		Благодаря осознанному использованию высококачественных комплектующих двигателя и системы привода, а также широкой гаммы предлагаемых машин с объемом ковша 0.8--6.0 куб. м в сочетании с интеллектуальной системой кинематики, удалось добиться значительного увеличения сбыта этих машин во всем мире.	81:88	0:295
система	NN	example	22	22_система_6891		На территории города река Лысьва с притоками растекается системой Лысьвенского, Травянского и Заболотинского прудов.	57:65	0:116
система	NN	example	22	22_система_85833		Система солидаризма требует поэтому предоставления правительственной власти руководящего значения в социальной и хозяйственной жизни страны.	0:7	0:140
система	NN	example	22	22_система_76303		Скорее всего, это некоторое возобладание ног над головой, дыхания над рефлексией и прочих элементарных телесных радостей первой сигнальной системы над схемами и уравнениями второй.	139:146	0:180
система	NN	example	22	22_система_25742		Эти критерии, в отличие от прямой«минимаксной» постановки, позволяют минимизировать все виды затрат на создание и целевое применение проектируемой системы при рационально обоснованном, достаточном уровне ее продуктивного использования по прямому назначению и при целевом рационально ограниченном расходовании выделенных ресурсов.	147:154	0:329
система	NN	example	22	22_система_79372		В точке неравновесного состояния(точке бифуркации, согласно теории динамических систем Ильи Пригожина) система обрушивается, вызывая катастрофу, то есть переход в новое состояние.	103:110	0:179
система	NN	example	22	22_система_58734		Так, эндокриноциты стенки пищеварительного тракта образуют гастро-энтеропанкреатическую систему эндокринных клеток, оказывающую выраженное регулирующее влияние на секрецию пищеварительных желез, моторику стенки тонкой и толстой кишки и т. п.	88:95	0:241
система	NN	example	22	22_система_28261		Обеспечивающие функции государственной службы в системе МВД России способствуют реализации общих и основных функций.	48:55	0:116
система	NN	example	22	22_система_76347		Думается, что стремление найти свое место в нынешней политической системе подтолкнуло Рогозина к тому, чтобы активно защищать предлагаемый президентом Дмитрием Медведевым проект Договора об общеевропейской безопасности, поддерживать твердую линию Кремля на переговорах с Западом и в отношении событий вокруг Грузии(об этом-- в последних главах книги).	66:73	0:351
