lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
страна	NN	example	22	22_страна_100112		Тот же комитет, сведущий в международной обстановке, мог бы на всякий случай напомнить разработчикам о мировом финансовом кризисе; о том, что Россия от него почему-то пострадала больше азиатских соседей; о том, что страны Балтии уже год как банкроты.	215:221	0:250
страна	NN	example	22	22_страна_2398		Поэтому чрезмерная зависимость Америки от нефтеимпорта станет усилением натиска на основного поставщика нефти-- страны ОПЕК, считают европейские аналитики.	112:118	0:155
страна	NN	example	22	22_страна_91459		Твой угольный, твой горький Могучий мозг, гори, гори стране!	53:59	0:60
страна	NN	example	22	22_страна_37237		У нас иной размер страны, трудно себе представить, что иностранные банки дойдут до самых крайних территорий.	18:24	0:108
страна	NN	example	22	22_страна_90500		8 Они обошли всю страну и через девять месяцев и двадцать дней вернулись в Иерусалим.	17:23	0:85
страна	NN	example	22	22_страна_52309		Последний форум поставил рекорд представительности: свыше 570 фирм, 19 стран-участниц(Европа, США, Канада), более полумиллиона посетителей.	71:76	0:139
страна	NN	example	22	22_страна_17947		Многие из них собирались в Ижевске, Туле, Вятских Полянах, Златоусте, в ряде зарубежных стран.	88:93	0:94
страна	NN	example	22	22_страна_42824		Любой бизнес, сказал премьер, можно представить как незаконное предпринимательство, что лишь повредит экономическому развитию страны.	126:132	0:133
страна	NN	example	22	22_страна_124920		7 ноября папанинцы вместе со всей нашей великой страной праздновали 20-летие Великой Октябрьской социалистической революции.	48:55	0:124
страна	NN	example	22	22_страна_72326		Эти страны оказываются отлучены от глобальной экономики, против чего как раз и выступал Кофи Аннан, говоря о«задачах нового тысячелетия».	4:10	0:137
страна	NN	example	22	22_страна_64508		Такой тандем возможен только в нашей стране.	37:43	0:44
страна	NN	example	22	22_страна_110507		Борьба«яблочников» против повышения тарифов ЖКХ вступила в новую фазу: за счет партии в 1500 домах страны установлены счетчики расхода воды, которые наглядно покажут, сколько в действительности платят граждане за услуги ЖКХ.	99:105	0:224
страна	NN	example	22	22_страна_65398		Мы хотим, чтобы наши дети выросли патриотами своей страны, уважали её историю и были готовы принять на себя ответственность за её будущее.	51:57	0:138
страна	NN	example	22	22_страна_72101		Гораздо в большей мере, чем в других странах.	37:44	0:45
страна	NN	example	22	22_страна_127275		К каким гнусным средствам борьбы против страны социализма прибегают троцкистско-бухаринские фашистские агенты, видно хотя бы из того, как действовала банда шпионов, вредителей, диверсантов и убийц, орудовавшая в ряде районов Ленинградской области.	40:46	0:247
страна	NN	example	22	22_страна_29661		Страна, которая травит своих поэтов, делает хуже самой себе.	0:6	0:60
страна	NN	example	22	22_страна_41102		В 1964 г. Анатолий Иванович возглавил Управление лесного хозяйства и лесосырьевых баз Минлеспрома СССР и в течение четырех лет стремился развивать объемы работ по лесному хозяйству в недрах лесозаготовительной индустрии страны, придавая особое значение лесовосстановительным мероприятиям в леспромхозах.	220:226	0:303
страна	NN	example	22	22_страна_56966		Втягивая в свой«черный ящик» отборный интеллектуальный потенциал страны, ее лучшие материальные ресурсы, ВПК обрекал остальные отрасли на научно-техническое отставание и даже застой, оставлял их без средств на модернизацию.	65:71	0:223
страна	NN	example	22	22_страна_45291		Вопрос: Каков будет следующий этап работы по Единому экономическому пространству и когда страны ЕЭП ощутят первые результаты этой работы?	89:95	0:137
страна	NN	example	22	22_страна_84100		На этом фоне в стране усиливается дефицит потребительских товаров, растет денежная эмиссия, повышаются цены колхозного рынка.	15:21	0:125
страна	NN	example	22	22_страна_17800		Установлены связи с Министерством обороны и Комитетом по конвенции при Президенте страны.	82:88	0:89
страна	NN	example	22	22_страна_62307		-- Во всех капиталистических странах,-- заключает Маресьев,-- силами реакции ведется непрерывная пропаганда вражды к Советскому Союзу.	29:36	0:134
страна	NN	example	22	22_страна_31985		В.В. Комаровский в цитированной выше статье отмечает:«Четыре первых года перестройки рабочий класс оставался практически в стороне от каких-либо форм участия в процессах, набиравших силу в стране».	189:195	0:197
страна	NN	example	22	22_страна_108865		Лишь 9% населения страны проявляет интерес к спорту.	18:24	0:52
страна	NN	example	22	22_страна_36909		Когда страна боролась с фашизмом, никто даже в мыслях не задавал себе вопроса, какой национальности его товарищ.	6:12	0:112
страна	NN	example	22	22_страна_22291		Этот итог давал возможность определить относительную долю каждой страны в общей численности населения планеты.	65:71	0:110
страна	NN	example	22	22_страна_38114		Накануне в городах Йокосука и Токио прошли консультативные встречи представителей стран, поддержавших ИБОР.	82:87	0:107
страна	NN	example	22	22_страна_4482		Это теплые страны, и поскольку виноград в них растет более сладкий, вина тоже стали слаще, вкус их стал более фруктовым.	11:17	0:120
страна	NN	example	22	22_страна_72464		В XXI веке руководители многих стран будут бороться не с наводнениями, а с засухами.	31:36	0:84
страна	NN	example	22	22_страна_101806		Алтайский край принимает участие в реализации около 40% действующих на территории страны федеральных целевых программ.	82:88	0:118
страна	NN	example	22	22_страна_74077		Почти во всех странах СНГ сохранилась и массовая русская пресса: в Казахстане популярна«Казахстанская правда», в Узбекистане--«Правда Востока», на Украине--«Киевские ведомости», в Азербайджане-- газета«Вышка».	14:21	0:209
страна	NN	example	22	22_страна_116395		-- Мой вопрос-- вопрос интеллигентам вчерашнего дня: страна-- в опасном положении.	53:59	0:82
страна	NN	example	22	22_страна_95605		У англосаксов не было титула«барон», он пришёл в страну позднее с норманнскими завоевателями.	49:55	0:93
страна	NN	example	22	22_страна_79849		Реализация этой концепции привела к существенному переформированию ландшафтов на территории нашей страны— осушению болот, орошению пустынь, строительству искусственных морей, наступлению на степи с помощью лесозащитных полос, управлению погодой, идее поворота рек вспять, акклиматизации южных видов в северных широтах.	98:104	0:318
страна	NN	example	22	22_страна_13666		Англия-- островная страна, скульптурная форма в пространстве.	19:25	0:61
